Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Research and Development Expense,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
SYK,2020-12,-1.157B,3.024B,1.545B,761.00M,0,1.51,1.49,18.33B,5.182B,2.717B,2020-12,3.494B,568.00M,0,0,2.752B,0,13.23B,770.00M,3.355B,671.00M,103.00M,255.00M,4.262B,1.562B,13.08B,34.33B,38.00M,9.707B,5.041B,21.25B,24.62B,16.20B,1.947B,1.254B,2.701B
SYK,2020-09,-917.00M,7.161B,1.276B,1.119B,0,1.66,1.63,13.04B,4.839B,2.461B,2020-09,3.459B,621.00M,0,0,2.529B,0,12.01B,861.00M,2.89B,780.00M,159.00M,242.00M,3.737B,1.244B,12.99B,32.29B,38.00M,13.54B,4.689B,19.30B,18.74B,14.61B,1.60B,1.124B,2.426B
SYK,2020-06,-715.00M,6.619B,1.216B,1.11B,0,-0.22,-0.22,13.09B,4.775B,1.548B,2020-06,3.442B,-83.00M,0,0,2.527B,0,11.81B,-20.00M,2.767B,-87.00M,-4.00M,233.00M,2.764B,1.225B,12.75B,31.48B,38.00M,12.80B,4.405B,18.73B,18.68B,14.32B,1.568B,1.065B,2.203B
SYK,2020-03,-623.00M,4.048B,1.257B,1.103B,0,1.32,1.3,13.13B,4.776B,2.331B,2020-03,3.359B,493.00M,0,0,2.607B,0,9.404B,629.00M,2.629B,590.00M,97.00M,254.00M,3.588B,1.33B,13.12B,29.44B,38.00M,10.74B,4.162B,16.32B,18.70B,12.16B,1.702B,1.179B,2.646B
SYK,2019-12,-606.00M,4.425B,1.428B,859.00M,0,1.94,1.9,13.30B,4.714B,2.703B,2019-12,2.98B,725.00M,0,0,2.567B,0,10.23B,957.00M,2.586B,936.00M,211.00M,254.00M,4.131B,1.38B,12.81B,30.17B,37.00M,11.06B,4.40B,17.36B,19.11B,12.96B,1.746B,1.059B,2.893B
SYK,2019-09,-553.00M,2.036B,1.257B,526.00M,0,1.24,1.23,12.76B,4.603B,2.33B,2019-09,3.269B,466.00M,0,0,2.46B,0,7.889B,677.00M,2.628B,581.00M,115.00M,246.00M,3.587B,1.291B,12.32B,26.66B,37.00M,8.566B,3.921B,14.34B,18.09B,10.42B,1.653B,938.00M,2.438B
SYK,2019-06,-630.00M,1.839B,1.27B,539.00M,0,1.29,1.26,12.95B,4.478B,2.38B,2019-06,3.198B,480.00M,0,0,2.387B,0,7.974B,730.00M,2.767B,565.00M,85.00M,246.00M,3.65B,1.282B,11.94B,26.35B,37.00M,8.185B,3.946B,14.41B,18.17B,10.46B,1.65B,947.00M,2.408B
SYK,2019-03,-565.00M,1.758B,1.233B,521.00M,0,1.1,1.09,12.95B,4.342B,2.283B,2019-03,3.064B,412.00M,0,0,2.297B,0,7.95B,541.00M,2.661B,480.00M,68.00M,225.00M,3.516B,1.403B,11.69B,25.94B,37.00M,7.888B,3.713B,14.24B,18.05B,10.53B,1.742B,965.00M,2.284B
SYK,2018-12,-631.00M,3.699B,1.34B,1.373B,0,5.52,5.44,12.73B,4.277B,2.456B,2018-12,2.955B,2.068B,0,0,2.291B,0,8.486B,711.00M,2.517B,657.00M,-1.411B,221.00M,3.796B,1.431B,11.73B,27.23B,37.00M,9.733B,4.807B,15.50B,17.50B,10.69B,1.745B,996.00M,2.332B
SYK,2018-09,-604.00M,2.21B,1.087B,1.275B,0,1.58,1.55,11.10B,4.152B,2.155B,2018-09,2.893B,590.00M,0,0,2.178B,0,5.928B,580.00M,2.13B,534.00M,-56.00M,221.00M,3.242B,1.242B,9.86B,22.08B,37.00M,7.918B,4.153B,12.22B,14.17B,8.071B,1.575B,839.00M,2.076B
