Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
T,2021-03,4.199B,11.34B,21.09B,19.50B,5.029B,1.04,1.04,296.28B,149.02B,22.85B,2021-03,3.347B,7.55B,-1.87B,-1.87B,149.02B,61.89B,182.46B,7.661B,52.07B,10.06B,2.122B,43.94B,9.382B,165.49B,546.98B,7.621B,62.75B,76.61B,363.91B,484.23B,287.30B,15.19B,52.07B,16.97B
T,2020-12,4.33B,9.74B,22.91B,3.47B,6.176B,-1.95,-1.95,281.58B,352.46B,22.78B,2020-12,0,-13.88B,-1.894B,-1.894B,152.03B,60.47B,175.98B,5.62B,52.38B,-15.55B,-2.038B,45.69B,10.18B,161.67B,525.76B,7.621B,52.01B,63.44B,346.52B,473.75B,283.08B,17.16B,44.23B,20.22B
T,2020-09,649.00M,9.758B,19.84B,5.898B,5.862B,0.39,0.39,297.43B,358.34B,22.50B,2020-09,0,2.816B,-1.972B,-1.972B,153.27B,60.45B,175.04B,6.205B,47.80B,3.934B,766.00M,42.34B,9.266B,175.55B,538.55B,7.621B,49.97B,59.56B,343.50B,488.58B,283.93B,16.30B,47.80B,19.38B
T,2020-06,129.00M,16.94B,17.98B,15.58B,5.723B,0.17,0.17,299.33B,357.58B,22.97B,2020-06,0,1.281B,-2.041B,-2.041B,153.64B,58.39B,175.62B,5.851B,48.17B,2.498B,935.00M,40.95B,9.831B,175.90B,547.90B,7.621B,56.56B,69.47B,354.44B,491.34B,284.98B,17.12B,48.17B,19.13B
T,2020-03,-385.00M,9.955B,19.28B,17.07B,5.96B,0.63,0.63,300.01B,353.20B,23.50B,2020-03,0,4.61B,-2.018B,-2.018B,152.93B,58.49B,168.79B,7.486B,46.68B,6.265B,1.302B,42.78B,8.79B,177.78B,545.35B,7.621B,52.70B,69.70B,349.90B,492.65B,280.20B,16.01B,46.68B,19.91B
T,2019-12,5.47B,12.13B,22.74B,11.84B,6.124B,0.33,0.33,303.86B,357.58B,24.08B,2019-12,0,2.394B,-2.049B,-2.049B,154.17B,59.50B,173.11B,6.779B,49.42B,3.138B,434.00M,46.82B,10.34B,184.22B,551.67B,7.621B,54.76B,68.91B,349.74B,496.91B,280.82B,17.31B,40.94B,22.64B
T,2019-09,2.137B,6.588B,20.15B,11.61B,6.097B,0.5,0.5,303.85B,361.72B,24.43B,2019-09,0,3.70B,-2.083B,-2.083B,155.79B,57.79B,175.86B,7.901B,50.42B,4.886B,937.00M,44.59B,9.584B,183.05B,548.80B,7.621B,50.70B,68.13B,354.47B,498.10B,286.34B,16.53B,50.42B,22.92B
T,2019-06,3.289B,8.423B,20.51B,12.77B,5.734B,0.51,0.51,307.42B,357.57B,24.44B,2019-06,0,3.713B,-2.149B,-2.149B,154.72B,58.71B,178.36B,7.50B,47.87B,5.073B,1.099B,44.96B,9.844B,184.26B,546.91B,7.621B,47.22B,66.38B,352.83B,499.70B,286.46B,16.94B,47.87B,22.38B
T,2019-03,4.345B,6.516B,20.74B,11.54B,5.956B,0.56,0.56,309.01B,352.75B,24.09B,2019-03,0,4.096B,-2.141B,-2.141B,152.29B,59.21B,182.20B,7.233B,47.16B,5.371B,1.023B,44.83B,9.649B,185.11B,548.38B,7.621B,46.47B,64.65B,353.43B,501.91B,288.78B,16.86B,47.16B,23.86B
T,2018-12,4.249B,5.204B,23.31B,10.26B,5.948B,0.66,0.66,310.20B,330.69B,24.68B,2018-12,0,4.858B,-2.112B,-2.112B,131.47B,57.86B,166.25B,6.206B,46.75B,5.745B,615.00M,47.99B,10.59B,184.09B,531.86B,7.621B,51.43B,64.42B,337.98B,480.44B,273.56B,18.48B,40.82B,26.47B
T,2018-09,5.383B,8.657B,20.71B,14.90B,6.045B,0.65,0.65,312.58B,327.68B,25.03B,2018-09,0,4.718B,-2.051B,-2.051B,130.35B,60.50B,168.51B,7.269B,44.47B,6.207B,1.391B,45.74B,9.598B,183.85B,534.87B,7.621B,53.11B,65.42B,349.90B,481.76B,284.48B,17.76B,44.47B,26.31B
T,2018-06,5.716B,13.52B,17.46B,21.67B,5.914B,0.81,0.81,312.05B,324.89B,21.53B,2018-06,0,5.132B,-2.023B,-2.023B,129.56B,59.66B,168.50B,6.466B,41.01B,6.78B,1.532B,38.99B,8.684B,182.98B,534.69B,7.621B,55.29B,68.59B,350.56B,479.40B,281.97B,15.06B,41.01B,25.49B
T,2018-03,7.386B,48.87B,17.95B,29.32B,5.081B,0.75,0.75,219.12B,317.13B,20.09B,2018-03,0,4.662B,-1.771B,-1.771B,125.12B,45.73B,133.72B,6.201B,36.18B,6.141B,1.382B,38.04B,7.897B,145.92B,446.34B,6.495B,78.50B,70.58B,299.27B,367.84B,228.69B,13.89B,36.18B,16.29B
T,2017-12,7.017B,50.50B,21.93B,38.37B,4.213B,3.08,3.08,219.72B,313.50B,19.75B,2017-12,0,19.04B,-1.926B,-1.926B,125.22B,43.21B,125.97B,4.195B,37.22B,-1.283B,-20.42B,41.68B,9.484B,140.86B,444.10B,6.495B,79.15B,81.39B,302.09B,364.95B,220.70B,15.56B,32.27B,16.52B
T,2017-09,5.58B,48.50B,19.17B,8.551B,4.503B,0.49,0.49,221.09B,326.24B,20.50B,2017-09,0,3.029B,-1.686B,-1.686B,126.46B,64.38B,154.73B,5.807B,34.64B,4.974B,1.851B,39.67B,8.65B,124.96B,443.86B,6.495B,76.36B,47.69B,317.76B,367.51B,270.06B,14.69B,34.64B,15.88B
T,2017-06,5.389B,25.62B,18.60B,10.83B,4.371B,0.63,0.63,221.80B,323.10B,21.23B,2017-06,0,3.915B,-1.395B,-1.395B,126.18B,61.93B,132.82B,6.526B,32.81B,6.07B,2.056B,39.84B,8.559B,124.72B,420.80B,6.495B,53.55B,48.01B,294.94B,367.25B,246.92B,14.71B,32.81B,15.00B
T,2017-03,5.16B,14.88B,18.11B,12.68B,4.493B,0.56,0.56,221.87B,319.11B,21.26B,2017-03,0,3.469B,-1.293B,-1.293B,125.29B,61.10B,120.57B,6.356B,33.52B,5.378B,1.804B,39.36B,8.772B,123.84B,411.90B,6.495B,45.73B,50.69B,286.92B,366.18B,236.23B,14.90B,33.52B,15.08B
T,2016-12,4.961B,5.788B,21.42B,9.832B,4.519B,0.39,0.39,222.07B,319.65B,20.42B,2016-12,0,2.437B,-1.221B,-1.221B,124.90B,60.13B,113.68B,3.805B,34.58B,3.191B,676.00M,41.84B,10.48B,123.14B,403.82B,6.495B,38.37B,50.58B,279.71B,365.45B,229.14B,16.61B,30.11B,16.79B
T,2016-09,4.85B,5.895B,18.89B,7.982B,4.637B,0.54,0.54,223.47B,316.26B,22.00B,2016-09,0,3.328B,-1.224B,-1.224B,123.92B,59.65B,117.24B,6.408B,34.48B,5.193B,1.775B,40.89B,9.013B,123.61B,402.98B,6.495B,37.37B,47.10B,278.37B,365.60B,231.27B,15.59B,34.48B,16.86B
T,2016-06,4.814B,7.208B,18.48B,9.528B,4.465B,0.55,0.55,224.72B,313.02B,22.04B,2016-06,0,3.408B,-1.258B,-1.258B,123.54B,58.22B,117.31B,6.56B,32.47B,5.421B,1.906B,40.52B,8.909B,123.40B,401.81B,6.495B,36.00B,46.46B,277.44B,365.80B,230.97B,15.48B,32.47B,15.83B
T,2016-03,5.18B,10.01B,18.40B,8.399B,4.55B,0.62,0.61,225.09B,309.38B,22.14B,2016-03,0,3.803B,-1.207B,-1.207B,123.45B,57.49B,122.10B,7.131B,31.58B,6.007B,2.122B,40.54B,8.441B,123.43B,403.64B,6.495B,38.00B,44.53B,279.23B,365.64B,234.70B,15.00B,31.58B,16.07B
T,2015-12,5.334B,5.121B,19.69B,7.636B,4.682B,0.65,0.65,225.28B,306.23B,22.43B,2015-12,0,4.006B,-1.143B,-1.143B,124.45B,56.18B,118.52B,7.567B,33.73B,6.307B,2.221B,42.12B,8.384B,122.67B,402.67B,6.495B,35.99B,47.82B,279.03B,366.68B,231.22B,14.86B,29.13B,16.53B
T,2015-09,5.294B,6.202B,17.80B,7.535B,4.64B,0.5,0.5,226.87B,302.19B,21.30B,2015-09,0,2.994B,-1.146B,-1.146B,122.84B,53.04B,119.40B,5.923B,35.76B,4.735B,1.657B,39.09B,9.107B,121.82B,399.99B,6.495B,34.95B,47.94B,277.20B,365.04B,229.26B,15.37B,35.76B,16.33B
T,2015-06,7.039B,20.96B,15.08B,8.603B,4.075B,0.59,0.59,158.23B,289.86B,17.94B,2015-06,0,3.082B,-932.00M,-932.00M,114.35B,38.52B,105.07B,5.773B,27.85B,4.922B,1.738B,33.02B,7.467B,86.86B,326.49B,6.495B,43.16B,40.53B,238.99B,283.33B,198.46B,12.16B,27.85B,13.82B
T,2015-03,7.341B,4.444B,14.48B,8.181B,4.221B,0.63,0.63,157.32B,285.13B,18.10B,2015-03,0,3.263B,-899.00M,-899.00M,113.20B,38.02B,88.27B,5.557B,25.25B,4.728B,1.389B,32.58B,7.961B,86.50B,308.03B,6.495B,27.41B,37.65B,220.92B,280.62B,183.27B,12.54B,25.25B,13.59B
T,2014-12,8.061B,8.603B,18.46B,6.056B,4.105B,-0.77,-0.77,136.66B,282.30B,15.98B,2014-12,0,-3.999B,-856.00M,-856.00M,112.90B,38.44B,75.78B,-3.349B,25.28B,-6.213B,-2.295B,34.44B,14.76B,89.72B,296.83B,6.495B,33.61B,37.28B,206.56B,263.23B,169.28B,19.33B,21.72B,14.53B
