Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Research and Development Expense,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
TAP,2020-12,-1.168B,770.10M,1.399B,1.067B,0,-6.32,-6.32,19.71B,7.667B,895.20M,2020-12,664.30M,-1.370B,-64.80M,-64.80M,4.250B,2.382B,7.208B,246.90M,2.092B,-1.337B,36.60M,0,2.294B,648.30M,12.36B,27.33B,522.20M,2.419B,3.910B,14.71B,24.91B,10.80B,648.30M,1.990B,687.10M
TAP,2020-09,-1.383B,731.30M,1.551B,1.242B,0,1.58,1.58,21.03B,7.551B,1.202B,2020-09,657.70M,342.80M,-67.90M,-67.90M,4.180B,2.276B,7.130B,568.00M,3.068B,450.40M,104.00M,0,2.754B,634.50M,13.51B,28.68B,522.20M,2.640B,4.310B,14.90B,26.03B,10.59B,634.50M,3.068B,817.30M
TAP,2020-06,-1.546B,780.80M,1.457B,613.00M,0,0.9,0.9,20.95B,4.587B,1.047B,2020-06,639.10M,195.00M,-69.70M,-69.70M,4.344B,2.218B,8.074B,522.30M,3.193B,401.70M,204.50M,0,2.503B,524.50M,13.00B,28.64B,662.40M,2.543B,3.806B,15.37B,26.10B,11.57B,524.50M,3.193B,842.80M
TAP,2020-03,-1.661B,666.10M,1.479B,1.445B,0,-0.54,-0.54,20.84B,4.663B,623.80M,2020-03,681.50M,-117.00M,-68.90M,-68.90M,4.394B,2.184B,8.032B,-5.90M,2.558B,-158.70M,-43.30M,0,2.103B,629.70M,12.69B,28.46B,662.40M,2.372B,4.003B,15.52B,26.09B,11.51B,629.70M,2.558B,744.90M
TAP,2019-12,-1.162B,523.40M,1.52B,974.80M,0,0.76,0.75,21.29B,4.707B,966.20M,2019-12,615.90M,163.70M,-68.20M,-68.20M,4.546B,2.259B,8.110B,353.30M,2.072B,206.60M,40.40M,0,2.486B,612.90M,13.42B,28.86B,662.40M,2.184B,3.696B,15.19B,26.68B,11.49B,612.90M,1.965B,820.30M
TAP,2019-09,-1.378B,410.20M,1.685B,1.238B,0,-1.86,-1.86,21.14B,7.167B,1.156B,2019-09,642.80M,-402.80M,-65.60M,-65.60M,4.587B,2.214B,8.179B,466.00M,2.650B,-308.60M,90.70M,0,2.842B,690.20M,13.16B,28.75B,662.40M,2.287B,3.889B,15.35B,26.46B,11.46B,690.20M,2.650B,950.60M
TAP,2019-06,-1.179B,490.20M,1.760B,1.080B,0,1.52,1.52,22.06B,0,1.188B,2019-06,698.10M,329.40M,-65.60M,-65.60M,4.663B,2.200B,8.641B,418.80M,3.000B,400.60M,70.40M,0,2.948B,769.70M,13.90B,30.06B,663.00M,2.600B,4.080B,15.92B,27.46B,11.84B,769.70M,3.000B,1.108B
TAP,2019-03,-1.183B,234.40M,1.413B,1.685B,0,0.7,0.7,22.03B,0,890.30M,2019-03,687.90M,151.40M,-73.30M,-73.30M,4.707B,2.152B,8.606B,235.10M,2.518B,181.30M,32.20M,0,2.303B,655.20M,13.65B,29.82B,662.80M,2.338B,4.202B,15.94B,27.49B,11.73B,655.20M,2.518B,1.051B
TAP,2018-12,-1.15B,1.058B,1.596B,1.594B,0,0.35,0.35,22.04B,0,822.70M,2018-12,591.80M,76.00M,-70.90M,-70.90M,4.608B,2.129B,8.894B,159.70M,2.094B,69.30M,-6.40M,0,2.419B,663.00M,13.51B,30.11B,662.80M,2.766B,4.301B,16.37B,27.34B,12.07B,663.00M,1.861B,871.00M
TAP,2018-09,-996.40M,750.10M,1.714B,1.602B,0,1.57,1.56,22.33B,0,1.220B,2018-09,631.90M,338.30M,-67.40M,-67.40M,4.594B,1.854B,8.970B,506.30M,2.821B,410.10M,64.50M,0,2.934B,713.90M,13.86B,30.47B,662.80M,2.812B,4.423B,16.38B,27.66B,11.96B,713.90M,2.821B,1.118B
