Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
TDG,2020-12,-277.00M,4.907B,567.00M,626.00M,-0.42,-0.42,10.53B,1.292B,541.00M,2020-12,1.284B,50.00M,-267.00M,-267.00M,777.00M,437.00M,19.39B,329.00M,937.00M,53.00M,3.00M,1.108B,183.00M,-3.728B,18.56B,1.00M,7.074B,1.563B,22.28B,11.48B,20.72B,212.00M,197.00M,627.00M
TDG,2020-09,-401.00M,4.717B,637.00M,625.00M,1.43,1.43,10.50B,1.184B,536.00M,2020-09,1.283B,82.00M,-268.00M,-268.00M,752.00M,430.00M,19.38B,319.00M,705.00M,76.00M,-25.00M,1.173B,176.00M,-3.972B,18.40B,1.00M,6.96B,1.616B,22.36B,11.44B,20.75B,217.00M,309.00M,720.00M
TDG,2020-06,-490.00M,4.549B,531.00M,629.00M,-0.1,-0.1,10.49B,727.98M,491.00M,2020-06,1.344B,-6.00M,-263.00M,-263.00M,744.00M,372.00M,19.41B,302.00M,1.022B,34.00M,39.00M,1.022B,147.00M,-4.183B,18.18B,1.00M,6.771B,1.651B,22.36B,11.41B,20.71B,189.00M,231.00M,726.00M
TDG,2020-03,-503.00M,2.668B,625.00M,629.00M,5.56,5.56,10.52B,0,818.00M,2020-03,1.313B,319.00M,-255.00M,-255.00M,748.00M,385.00M,17.93B,599.00M,1.027B,337.00M,14.00M,1.443B,173.00M,-4.209B,16.64B,1.00M,5.20B,1.656B,20.84B,11.44B,19.18B,219.00M,266.00M,999.00M
TDG,2019-12,-252.00M,4.194B,664.00M,430.00M,2.07,2.07,10.58B,0,801.00M,2019-12,1.294B,304.00M,-270.00M,-270.00M,753.00M,448.00M,17.95B,561.00M,2.92B,293.00M,59.00M,1.465B,200.00M,-4.303B,18.16B,1.00M,6.652B,3.35B,22.46B,11.50B,19.10B,240.00M,265.00M,1.025B
TDG,2019-09,-379.00M,1.467B,659.00M,430.00M,4.63,4.63,10.56B,0,882.00M,2019-09,1.233B,347.00M,-245.00M,-245.00M,757.00M,441.00M,16.47B,631.00M,684.00M,367.00M,50.00M,1.541B,196.00M,-2.894B,16.26B,1.00M,4.865B,1.538B,19.14B,11.39B,17.60B,251.00M,384.00M,1.068B
TDG,2019-06,-175.78M,2.717B,808.00M,380.81M,2.57,2.57,11.42B,0,713.00M,2019-06,1.414B,145.00M,-241.00M,-241.00M,745.54M,641.00M,16.50B,463.00M,999.83M,183.00M,55.00M,1.521B,212.00M,-1.321B,17.70B,0.575M,5.411B,1.381B,19.01B,12.29B,17.63B,250.00M,310.45M,1.162B
TDG,2019-03,-157.04M,2.441B,518.00M,747.97M,3.6,3.6,11.34B,0,650.00M,2019-03,1.453B,202.00M,-205.00M,-205.00M,737.60M,658.18M,16.51B,489.00M,978.22M,263.00M,63.00M,1.168B,139.00M,-1.492B,17.80B,0.573M,5.596B,1.726B,19.28B,12.20B,17.55B,161.00M,318.59M,1.141B
TDG,2018-12,-80.99M,2.337B,429.00M,375.51M,3.05,3.05,8.001B,0,564.00M,2018-12,838.70M,196.00M,-172.00M,-172.00M,395.97M,375.05M,12.51B,428.00M,575.76M,250.00M,54.00M,993.00M,116.00M,-1.667B,12.39B,0.57M,3.927B,951.27M,14.06B,8.463B,13.10B,136.00M,176.01M,657.68M
TDG,2018-09,4.10M,2.073B,452.60M,375.34M,4.11,4.11,8.012B,0,596.76M,2018-09,805.29M,228.70M,-173.31M,-173.31M,388.33M,399.50M,12.50B,447.95M,400.72M,282.31M,51.55M,1.049B,130.60M,-1.808B,12.20B,0.569M,3.657B,900.38M,14.01B,8.540B,13.11B,148.81M,206.97M,704.31M
