Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Research and Development Expense,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
TEL,2021-03,-246.00M,1.748B,2.528B,919.00M,47.00M,1.53,1.51,6.89B,9.954B,1.21B,2021-03,2.134B,506.00M,-5.00M,-5.00M,3.662B,140.00M,3.602B,635.00M,4.12B,611.00M,106.00M,174.00M,3.738B,401.00M,9.669B,20.97B,149.00M,7.422B,5.039B,11.30B,13.54B,6.259B,575.00M,1.793B,2.921B
TEL,2020-12,-305.00M,1.098B,2.376B,685.00M,36.00M,1.15,1.14,7.00B,9.48B,1.146B,2020-12,2.066B,381.00M,-12.00M,-12.00M,3.768B,144.00M,3.516B,623.00M,3.398B,435.00M,60.00M,162.00M,3.522B,361.00M,9.861B,20.27B,149.00M,6.481B,4.083B,10.40B,13.78B,6.322B,523.00M,1.629B,2.64B
TEL,2020-09,-445.00M,945.00M,2.292B,810.00M,0,0.7,0.69,6.817B,0,969.00M,2020-09,1.95B,230.00M,-10.00M,-10.00M,3.65B,143.00M,3.452B,469.00M,2.604B,337.00M,109.00M,148.00M,3.261B,352.00M,9.383B,19.24B,149.00M,5.784B,3.69B,9.859B,13.46B,6.169B,500.00M,1.706B,2.377B
TEL,2020-06,-509.00M,474.00M,1.841B,691.00M,0,-0.12,-0.12,6.755B,0,707.00M,2020-06,2.227B,-41.00M,-11.00M,-11.00M,3.598B,161.00M,3.395B,240.00M,3.036B,127.00M,185.00M,146.00M,2.548B,321.00M,9.036B,18.84B,149.00M,5.319B,3.727B,9.696B,13.52B,5.969B,467.00M,1.271B,2.146B
TEL,2020-03,-571.00M,796.00M,2.166B,603.00M,0,-1.37,-1.37,6.782B,0,1.029B,2020-03,2.001B,-456.00M,-6.00M,-6.00M,3.558B,126.00M,3.752B,519.00M,3.356B,-410.00M,42.00M,158.00M,3.195B,352.00M,9.066B,19.37B,154.00M,5.715B,3.959B,10.20B,13.65B,6.237B,510.00M,1.39B,2.461B
TEL,2019-12,-414.00M,742.00M,2.138B,561.00M,0,0.08,0.08,7.448B,0,1.03B,2019-12,2.003B,26.00M,-6.00M,-6.00M,3.659B,142.00M,3.412B,502.00M,2.843B,470.00M,447.00M,161.00M,3.168B,367.00M,10.56B,19.98B,154.00M,5.566B,3.404B,9.419B,14.41B,6.015B,528.00M,1.433B,2.338B
TEL,2019-09,-503.00M,927.00M,2.248B,570.00M,0,1.11,1.1,7.336B,0,1.052B,2019-09,1.836B,372.00M,-7.00M,-7.00M,3.574B,156.00M,3.395B,521.00M,2.689B,437.00M,61.00M,159.00M,3.30B,372.00M,10.57B,19.69B,154.00M,5.554B,3.54B,9.124B,14.14B,5.584B,531.00M,1.759B,2.32B
TEL,2019-06,-201.00M,546.00M,2.279B,602.00M,0,2.25,2.23,7.464B,0,1.11B,2019-06,1.961B,757.00M,-9.00M,-9.00M,3.636B,203.00M,3.434B,596.00M,3.092B,513.00M,-245.00M,158.00M,3.389B,356.00M,10.62B,19.75B,154.00M,5.422B,3.694B,9.126B,14.33B,5.432B,514.00M,1.438B,2.463B
TEL,2019-03,-160.00M,565.00M,2.294B,612.00M,0,1.3,1.29,7.222B,0,1.118B,2019-03,1.97B,439.00M,-11.00M,-11.00M,3.596B,196.00M,3.37B,579.00M,3.255B,520.00M,91.00M,166.00M,3.412B,373.00M,9.994B,19.26B,157.00M,5.446B,3.867B,9.268B,13.82B,5.401B,539.00M,1.485B,2.463B
TEL,2018-12,-257.00M,505.00M,2.233B,585.00M,0,0.81,0.8,7.296B,0,1.114B,2018-12,1.986B,276.00M,-22.00M,-22.00M,3.55B,207.00M,3.382B,564.00M,2.886B,461.00M,78.00M,161.00M,3.347B,389.00M,10.24B,19.19B,157.00M,5.378B,3.471B,8.952B,13.81B,5.481B,550.00M,1.538B,2.38B
