Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Current Debt & Capital Lease Obligation,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Income (Quarterly),Net Income,Net Loan Assets,Net PP&E,Non-Current Portion of LTD and Capital Lease Obligation,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
TFC,2021-03,-1.516B,155.94B,5.889B,0.99,0.98,29.55B,3.787B,2021-03,1.477B,291.52B,3.787B,37.75B,6.242B,1.824B,351.00M,5.482B,2.208B,67.88B,517.54B,13.85B,157.29B,5.889B,449.66B,484.06B,433.32B,2.264B,6.242B,9.452B
TFC,2020-12,716.00M,139.66B,4.792B,0.91,0.9,29.45B,9.573B,2020-12,1.329B,301.54B,7.013B,39.60B,6.603B,1.641B,311.00M,5.651B,2.166B,70.81B,509.23B,14.79B,160.30B,6.092B,438.32B,463.08B,420.67B,2.084B,6.603B,9.385B
TFC,2020-09,470.00M,123.24B,4.904B,0.79,0.79,28.70B,7.323B,2020-09,1.138B,306.29B,7.323B,41.01B,6.00B,1.396B,255.00M,5.572B,2.133B,69.87B,499.18B,14.79B,143.16B,6.244B,429.21B,435.52B,411.76B,2.123B,6.00B,9.927B
TFC,2020-06,847.00M,119.00B,4.505B,0.67,0.67,28.98B,7.679B,2020-06,955.00M,315.45B,7.679B,42.13B,0,1.149B,191.00M,5.871B,2.064B,68.78B,504.34B,13.88B,139.68B,5.70B,435.45B,435.81B,418.37B,1.875B,0,10.66B
TFC,2020-03,898.00M,114.75B,12.70B,0.73,0.73,29.24B,7.498B,2020-03,1.06B,318.83B,7.498B,65.66B,0,1.287B,224.00M,5.611B,2.056B,65.89B,506.23B,11.34B,132.53B,12.70B,440.17B,444.27B,415.84B,2.185B,0,9.673B
TFC,2019-12,-844.00M,93.79B,15.99B,0.76,0.75,29.93B,9.717B,2019-12,721.00M,309.61B,7.432B,41.34B,0,879.00M,153.00M,3.625B,1.51B,66.38B,473.08B,11.81B,111.77B,18.22B,406.52B,428.89B,376.07B,1.401B,0,4.418B
TFC,2019-09,-1.026B,39.00B,10.40B,0.96,0.95,11.43B,5.676B,2019-09,825.00M,149.28B,2.022B,25.52B,0,1.046B,218.00M,3.003B,1.197B,32.23B,236.75B,6.889B,39.00B,16.65B,204.45B,233.73B,187.80B,1.227B,0,0
TFC,2019-06,-1.119B,28.49B,10.34B,1.1,1.09,11.51B,0,2019-06,886.00M,152.23B,2.029B,22.64B,0,1.119B,234.00M,3.042B,1.149B,31.70B,230.87B,6.883B,28.49B,16.95B,199.11B,228.17B,182.16B,1.187B,0,0
TFC,2019-03,-1.421B,29.19B,6.305B,0.98,0.97,11.58B,0,2019-03,792.00M,148.33B,2.078B,24.73B,0,975.00M,177.00M,2.898B,1.114B,30.82B,227.68B,6.883B,29.19B,12.30B,196.80B,224.71B,184.50B,1.095B,0,0
TFC,2018-12,-1.715B,28.88B,4.927B,0.99,0.97,11.70B,0,2018-12,798.00M,148.44B,3.493B,23.71B,0,1.01B,205.00M,2.94B,1.198B,30.12B,225.70B,6.87B,34.29B,5.178B,195.52B,211.50B,184.91B,1.276B,0,0
