Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Research and Development Expense,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
TFX,2020-12,-297.30M,375.88M,327.62M,100.50M,0,1.63,1.61,5.106B,1.127B,383.55M,2020-12,513.20M,76.13M,-18.52M,-18.52M,574.55M,484.68M,2.464B,116.88M,385.66M,76.56M,-0.04M,33.77M,711.18M,232.91M,3.336B,7.153B,47.81M,1.422B,540.03M,3.816B,5.730B,3.276B,266.68M,119.88M,395.07M
TFX,2020-09,-323.69M,347.48M,298.98M,91.75M,0,2.51,2.46,4.593B,548.17M,329.32M,2020-09,526.12M,116.59M,-16.44M,-16.44M,548.17M,486.35M,2.127B,128.43M,346.66M,115.65M,-0.951M,29.22M,628.30M,171.67M,3.236B,6.613B,47.70M,1.421B,475.25M,3.377B,5.193B,2.902B,200.89M,107.79M,390.48M
TFX,2020-06,-346.82M,553.54M,288.66M,83.00M,0,0.25,0.24,4.604B,534.38M,278.37M,2020-06,514.76M,11.46M,-15.52M,-15.52M,534.38M,488.97M,2.421B,57.82M,316.53M,23.29M,11.85M,29.36M,567.03M,191.19M,3.097B,6.765B,47.60M,1.545B,456.62M,3.668B,5.221B,3.211B,220.56M,125.48M,374.89M
TFX,2020-03,-364.72M,406.48M,297.02M,53.62M,0,2.83,2.78,4.630B,534.74M,333.62M,2020-03,488.86M,131.15M,-14.86M,-14.86M,534.74M,489.68M,2.437B,158.43M,300.93M,142.23M,11.07M,27.40M,630.64M,147.80M,3.073B,6.702B,47.56M,1.447B,402.30M,3.629B,5.255B,3.226B,175.19M,111.34M,441.71M
TFX,2019-12,-344.39M,301.08M,303.23M,50.00M,0,2.34,2.29,4.402B,1.027B,377.72M,2019-12,476.56M,108.26M,-16.82M,-16.82M,543.88M,439.56M,1.960B,126.54M,331.57M,101.30M,-6.511M,31.13M,680.95M,220.05M,2.979B,6.310B,47.54M,1.306B,563.06M,3.330B,5.003B,2.767B,251.18M,109.61M,418.67M
TFX,2019-09,-364.50M,257.54M,293.24M,50.00M,0,4.95,4.85,4.407B,544.76M,355.08M,2019-09,472.59M,228.93M,-19.08M,-19.08M,544.76M,468.94M,2.053B,117.80M,315.02M,98.55M,-130.38M,27.98M,648.32M,209.29M,2.853B,6.257B,47.46M,1.238B,530.36M,3.404B,5.020B,2.874B,237.28M,103.93M,396.66M
TFX,2019-06,-325.91M,303.90M,300.27M,50.00M,0,1.81,1.77,4.492B,533.02M,352.24M,2019-06,461.32M,83.38M,-20.29M,-20.29M,533.02M,604.86M,2.178B,109.14M,295.10M,87.17M,3.844M,27.60M,652.51M,215.50M,2.665B,6.314B,47.40M,1.245B,493.89M,3.650B,5.069B,3.156B,243.10M,112.51M,382.14M
TFX,2019-03,-340.69M,271.21M,289.61M,86.62M,0,0.89,0.87,4.522B,522.24M,323.97M,2019-03,445.57M,40.90M,-22.35M,-22.35M,522.24M,610.61M,2.174B,89.90M,303.33M,52.89M,10.97M,27.15M,613.58M,206.92M,2.570B,6.268B,47.32M,1.183B,520.92M,3.698B,5.085B,3.177B,234.07M,110.17M,375.76M
TFX,2018-12,-341.08M,357.16M,357.42M,86.62M,0,1.97,1.93,4.572B,889.70M,284.20M,2018-12,427.78M,90.59M,-23.09M,-23.09M,432.77M,608.22M,2.072B,119.48M,320.90M,96.18M,8.664M,27.80M,641.62M,136.91M,2.540B,6.278B,47.25M,1.236B,582.46M,3.738B,5.042B,3.156B,164.71M,112.65M,366.29M
TFX,2018-09,-289.17M,356.28M,267.10M,77.25M,0,1.23,1.21,4.486B,0,342.57M,2018-09,411.07M,56.52M,-26.85M,-26.85M,421.26M,606.08M,2.076B,101.31M,331.31M,55.25M,-1.286M,26.36M,609.67M,214.89M,2.507B,6.201B,47.19M,1.241B,549.29M,3.694B,4.960B,3.144B,241.26M,110.98M,374.34M
