Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
TGT,2021-01,-756.00M,8.511B,20.48B,1.355B,2.76,2.73,668.00M,49.38B,7.854B,2021-01,10.65B,1.38B,-106.00M,-106.00M,29.11B,2.048B,13.75B,1.836B,15.89B,1.73B,350.00M,28.34B,5.448B,14.44B,51.25B,42.00M,20.76B,20.12B,36.81B,30.49B,16.68B,6.018B,14.78B,1.135B
TGT,2020-10,-797.00M,5.996B,15.51B,131.00M,2.02,2.01,686.00M,48.74B,7.123B,2020-10,12.71B,1.014B,-632.00M,-632.00M,28.98B,1.171B,14.69B,1.935B,19.23B,1.298B,284.00M,22.63B,4.647B,13.32B,50.66B,42.00M,20.31B,19.36B,37.34B,30.35B,17.98B,5.188B,14.20B,962.00M
TGT,2020-07,-833.00M,7.284B,15.67B,109.00M,3.38,3.35,699.00M,48.31B,7.302B,2020-07,8.876B,1.69B,-122.00M,-122.00M,28.97B,1.121B,16.43B,2.30B,15.78B,2.189B,499.00M,22.98B,4.46B,12.58B,48.00B,42.00M,17.62B,15.89B,35.42B,30.38B,19.53B,5.002B,10.73B,1.10B
TGT,2020-04,-854.00M,4.566B,14.51B,168.00M,0.57,0.56,0,47.91B,5.105B,2020-04,8.584B,284.00M,-117.00M,-117.00M,28.82B,1.122B,16.32B,468.00M,14.24B,329.00M,45.00M,19.62B,4.06B,11.17B,44.81B,42.00M,14.62B,14.41B,33.64B,30.19B,19.22B,4.637B,9.625B,0
TGT,2020-01,-868.00M,2.577B,17.06B,361.00M,1.65,1.63,0,48.18B,6.343B,2020-01,8.992B,834.00M,-118.00M,-118.00M,28.52B,2.154B,13.61B,1.198B,11.99B,1.051B,218.00M,23.40B,4.505B,11.83B,42.78B,42.00M,12.90B,14.49B,30.95B,29.88B,16.46B,5.145B,10.98B,0
TGT,2019-10,-773.00M,969.00M,12.94B,1.159B,1.4,1.39,0,47.62B,5.73B,2019-10,11.40B,714.00M,-113.00M,-113.00M,28.54B,1.215B,12.72B,1.002B,15.45B,901.00M,195.00M,18.66B,4.153B,11.54B,43.74B,42.00M,13.80B,16.61B,32.20B,29.94B,15.59B,4.728B,11.26B,0
TGT,2019-07,-782.00M,1.656B,12.62B,1.153B,1.83,1.82,0,46.94B,5.797B,2019-07,9.122B,938.00M,-120.00M,-120.00M,28.07B,1.082B,12.48B,1.324B,13.21B,1.217B,279.00M,18.42B,3.912B,11.84B,41.57B,43.00M,12.12B,14.36B,29.73B,29.45B,15.37B,4.473B,9.152B,0
TGT,2019-04,-792.00M,1.173B,12.25B,1.056B,1.54,1.53,0,46.18B,5.379B,2019-04,9.06B,795.00M,-126.00M,-126.00M,27.72B,1.034B,13.42B,1.135B,12.18B,1.021B,229.00M,17.63B,3.663B,11.12B,40.62B,43.00M,11.61B,13.24B,29.50B,29.01B,16.26B,4.244B,8.36B,0
TGT,2019-01,-805.00M,1.556B,16.90B,1.218B,1.54,1.52,0,46.18B,6.078B,2019-01,9.497B,798.00M,-109.00M,-109.00M,27.50B,2.014B,12.23B,1.117B,11.60B,1.014B,216.00M,22.98B,4.376B,11.30B,41.29B,43.00M,12.52B,15.01B,29.99B,28.77B,14.98B,4.961B,10.69B,0
TGT,2018-10,-714.00M,825.00M,12.54B,1.535B,1.18,1.17,0,45.98B,5.286B,2018-10,12.39B,622.00M,-115.00M,-115.00M,27.60B,970.00M,12.15B,819.00M,16.06B,713.00M,97.00M,17.82B,3.937B,11.08B,43.57B,43.00M,14.64B,17.59B,32.49B,28.93B,14.90B,4.467B,11.96B,0
