Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
TJX,2021-01,-606.07M,10.47B,7.883B,2.427B,0,0.2702,0.27,99.00M,20.75B,3.061B,2021-01,4.337B,325.52M,-47.13M,-47.13M,14.03B,301.27M,13.08B,867.53M,6.316B,508.14M,182.62M,10.94B,2.193B,5.833B,30.81B,1.205B,15.74B,10.80B,24.98B,15.07B,14.18B,2.193B,5.336B,497.40M
TJX,2020-10,-742.86M,10.58B,7.062B,2.400B,0,0.72,0.71,96.73M,20.54B,3.055B,2020-10,4.998B,866.66M,-52.90M,-52.90M,14.03B,78.01M,13.24B,1.069B,9.418B,1.016B,149.34M,10.12B,1.986B,5.567B,31.57B,1.201B,16.65B,11.82B,26.00B,14.91B,14.18B,1.986B,6.189B,649.38M
TJX,2020-07,-722.94M,6.620B,5.174B,2.340B,0,-0.18,-0.18,97.13M,20.52B,1.493B,2020-07,3.744B,-214.22M,-57.30M,-57.30M,14.16B,91.77M,13.32B,-34.68M,5.307B,-92.02M,122.20M,6.668B,1.528B,4.661B,26.57B,1.199B,11.52B,7.647B,21.91B,15.05B,14.26B,1.528B,2.422B,749.85M
TJX,2020-04,-797.32M,4.288B,4.414B,1.399B,0,-0.74,-0.74,94.47M,20.41B,-5.577M,2020-04,4.946B,-887.49M,-23.40M,-23.40M,14.28B,113.23M,15.11B,-1.319B,3.270B,-1.343B,-455.36M,4.409B,1.314B,4.739B,25.42B,1.198B,10.30B,4.670B,20.68B,15.12B,16.01B,1.314B,1.082B,654.11M
TJX,2020-01,-673.17M,3.217B,8.742B,1.411B,0,0.8185,0.81,95.55M,20.43B,3.465B,2020-01,4.873B,984.79M,-3.026M,-3.026M,14.39B,397.54M,10.05B,1.329B,4.084B,1.326B,341.48M,12.21B,2.135B,5.948B,24.15B,1.199B,8.891B,7.150B,18.20B,15.25B,11.05B,2.135B,3.174B,433.23M
TJX,2019-10,-637.41M,2.060B,7.440B,1.412B,0,0.69,0.68,96.31M,20.20B,3.011B,2019-10,6.275B,828.26M,-3.30M,-3.30M,14.32B,203.52M,10.06B,1.125B,6.275B,1.122B,293.86M,10.45B,1.886B,5.543B,24.29B,1.203B,9.375B,7.687B,18.75B,14.91B,11.06B,1.886B,3.469B,442.88M
TJX,2019-07,-712.82M,2.186B,7.026B,1.354B,0,0.63,0.62,95.94M,19.69B,2.756B,2019-07,5.087B,758.96M,-2.90M,-2.90M,13.99B,196.98M,9.978B,1.024B,5.247B,1.021B,262.34M,9.782B,1.731B,5.303B,22.85B,1.209B,8.269B,6.601B,17.55B,14.59B,10.95B,1.731B,2.645B,377.06M
TJX,2019-04,-633.28M,2.235B,6.638B,1.343B,0,0.58,0.57,96.68M,19.43B,2.640B,2019-04,5.057B,700.18M,-0.80M,-0.80M,13.83B,167.28M,9.856B,937.30M,5.238B,936.48M,236.30M,9.278B,1.702B,5.132B,22.49B,1.213B,8.067B,6.581B,17.36B,14.42B,10.78B,1.702B,2.769B,393.28M
TJX,2019-01,-630.32M,3.030B,8.034B,0,0,0.6824,0.68,97.55M,10.73B,3.094B,2019-01,4.579B,841.54M,1.505M,1.505M,5.255B,393.66M,2.477B,1.177B,4.023B,1.179B,337.04M,11.13B,1.917B,5.049B,14.33B,1.217B,8.469B,5.531B,9.277B,5.857B,3.746B,1.917B,3.211B,346.30M
TJX,2018-10,-591.85M,2.712B,6.983B,0,0,0.62,0.61,97.35M,10.47B,2.842B,2018-10,5.543B,762.25M,-3.188M,-3.188M,5.166B,236.77M,2.233B,1.086B,6.014B,1.047B,284.26M,9.826B,1.756B,5.257B,15.03B,1.233B,9.317B,6.014B,9.768B,5.708B,3.755B,1.756B,3.419B,517.41M
TJX,2018-07,-598.40M,2.873B,6.636B,0,0,0.59,0.58,98.11M,10.28B,2.695B,2018-07,4.499B,739.63M,-3.029M,-3.029M,5.100B,225.07M,2.232B,995.59M,5.138B,992.56M,252.93M,9.331B,1.700B,5.227B,14.11B,620.77M,8.440B,5.138B,8.884B,5.671B,3.747B,1.700B,2.724B,485.38M
TJX,2018-04,-555.53M,3.117B,6.178B,0,0,0.57,0.56,98.61M,10.08B,2.510B,2018-04,4.370B,716.38M,-4.148M,-4.148M,5.026B,260.65M,2.231B,959.71M,4.977B,955.56M,239.18M,8.689B,1.551B,5.262B,14.01B,625.20M,8.422B,4.977B,8.745B,5.585B,3.768B,1.551B,2.756B,368.31M
TJX,2018-01,-441.86M,3.265B,7.849B,0,0,0.6937,0.685,100.07M,9.968B,3.111B,2018-01,4.187B,877.28M,-4.089M,-4.089M,5.006B,277.81M,2.453B,1.216B,3.726B,1.112B,235.10M,10.96B,1.896B,5.148B,14.06B,1.256B,8.486B,5.126B,8.910B,5.572B,3.784B,1.896B,3.002B,327.17M
TJX,2017-10,-602.92M,2.876B,6.150B,0,0,0.51,0.5,196.36M,9.613B,2.612B,2017-10,4.726B,641.44M,-7.981M,-7.981M,4.858B,374.28M,2.230B,1.028B,5.468B,1.02B,378.56M,8.762B,1.584B,4.646B,13.88B,632.30M,8.390B,5.468B,9.232B,5.488B,3.764B,1.584B,3.107B,365.60M
TJX,2017-07,-560.73M,2.952B,5.973B,0,0,0.435,0.425,197.52M,9.594B,2.385B,2017-07,3.864B,552.96M,-9.677M,-9.677M,4.745B,392.65M,2.229B,901.38M,4.657B,891.70M,338.74M,8.358B,1.484B,4.541B,12.94B,636.27M,7.568B,4.657B,8.395B,5.368B,3.738B,1.484B,2.449B,323.84M
TJX,2017-04,-695.43M,3.127B,5.530B,0,0,0.415,0.41,195.58M,9.238B,2.254B,2017-04,3.736B,536.28M,-9.841M,-9.841M,4.601B,304.69M,2.228B,842.35M,4.605B,832.51M,296.23M,7.784B,1.412B,4.554B,12.76B,643.28M,7.548B,4.605B,8.210B,5.215B,3.605B,1.412B,2.584B,334.36M
TJX,2017-01,-694.23M,3.473B,6.787B,0,0,0.5245,0.515,195.87M,9.003B,2.681B,2017-01,3.645B,677.93M,-9.616M,-9.616M,4.533B,350.71M,2.404B,1.103B,3.580B,1.094B,415.73M,9.468B,1.578B,4.511B,12.88B,646.32M,7.751B,4.758B,8.373B,5.133B,3.616B,1.578B,2.807B,258.83M
TJX,2016-10,-801.56M,2.826B,5.844B,0,0,0.42,0.415,343.83M,9.525B,2.448B,2016-10,4.384B,549.79M,-12.46M,-12.46M,4.319B,317.11M,2.227B,985.24M,4.895B,889.83M,340.05M,8.292B,1.463B,4.330B,12.87B,651.90M,7.942B,4.895B,8.537B,4.925B,3.643B,1.463B,2.739B,321.84M
TJX,2016-07,-659.68M,2.225B,5.563B,0,0,0.425,0.42,344.85M,9.396B,2.319B,2016-07,3.871B,562.17M,-11.26M,-11.26M,4.263B,360.18M,1.616B,925.84M,4.314B,914.58M,352.41M,7.882B,1.393B,4.451B,11.67B,656.64M,6.811B,4.314B,7.219B,4.860B,2.905B,1.393B,2.329B,302.74M
TJX,2016-04,-536.41M,2.348B,5.372B,0,0,0.385,0.38,346.45M,9.299B,2.170B,2016-04,3.905B,508.35M,-10.19M,-10.19M,4.230B,349.00M,1.615B,835.16M,4.297B,824.97M,316.62M,7.542B,1.335B,4.535B,11.70B,661.08M,6.878B,4.297B,7.170B,4.827B,2.873B,1.335B,2.363B,294.14M
TJX,2016-01,-667.47M,2.448B,6.388B,0,0,0.5022,0.495,193.91M,8.244B,2.574B,2016-01,3.695B,666.47M,-10.96M,-10.96M,4.138B,318.50M,1.700B,1.077B,3.317B,1.066B,399.34M,8.962B,1.497B,4.307B,11.49B,663.50M,6.773B,4.402B,7.183B,4.718B,2.781B,1.497B,2.608B,238.07M
TJX,2015-10,-545.18M,2.123B,5.507B,0,0,0.44,0.43,342.06M,8.925B,2.247B,2015-10,4.442B,587.26M,-13.00M,-13.00M,4.067B,380.79M,1.624B,954.20M,4.730B,941.19M,353.93M,7.753B,1.292B,4.350B,11.99B,669.53M,7.348B,4.730B,7.642B,4.644B,2.912B,1.292B,2.773B,289.73M
TJX,2015-07,-536.95M,2.238B,5.219B,0,0,0.405,0.4,308.54M,8.729B,2.145B,2015-07,3.750B,549.34M,-10.81M,-10.81M,3.996B,391.87M,1.624B,897.00M,4.161B,886.19M,336.86M,7.364B,1.248B,4.276B,11.34B,674.37M,6.797B,4.161B,7.065B,4.544B,2.904B,1.248B,2.327B,275.70M
TJX,2015-04,-507.39M,2.589B,4.920B,0,0,0.35,0.345,309.31M,8.570B,1.945B,2015-04,3.532B,474.60M,-11.62M,-11.62M,3.937B,436.82M,1.624B,776.74M,4.137B,765.12M,290.51M,6.866B,1.169B,4.290B,11.37B,680.38M,6.872B,4.137B,7.076B,4.494B,2.939B,1.169B,2.395B,277.08M
TJX,2015-01,-554.38M,2.776B,5.959B,0,0,0.4733,0.465,309.87M,8.341B,2.345B,2015-01,3.218B,648.23M,-9.002M,-9.002M,3.868B,310.97M,1.685B,1.039B,2.992B,1.030B,381.40M,8.304B,1.306B,4.264B,10.99B,684.73M,6.577B,3.930B,6.725B,4.411B,2.795B,1.306B,2.373B,226.30M
TJX,2014-10,-244.47M,2.431B,5.204B,0,0,0.43,0.425,310.74M,8.297B,2.162B,2014-10,3.959B,594.96M,-10.04M,-10.04M,3.850B,463.74M,1.624B,969.14M,4.390B,959.10M,364.14M,7.366B,1.193B,4.374B,11.59B,688.90M,7.155B,4.390B,7.218B,4.437B,2.829B,1.193B,2.602B,260.94M
TJX,2014-07,-167.50M,2.468B,4.936B,0,0,0.375,0.365,311.44M,8.150B,1.981B,2014-07,3.388B,517.62M,-11.15M,-11.15M,3.776B,470.74M,1.624B,858.60M,3.825B,830.62M,312.99M,6.917B,1.123B,4.275B,10.92B,692.94M,6.594B,3.825B,6.647B,4.328B,2.822B,1.123B,2.179B,242.55M
TJX,2014-04,-161.82M,2.319B,4.678B,0,0,0.325,0.32,312.07M,7.907B,1.813B,2014-04,3.208B,454.32M,-9.595M,-9.595M,3.646B,475.07M,1.274B,740.13M,3.705B,730.53M,276.21M,6.491B,1.073B,4.283B,10.43B,700.31M,6.236B,3.705B,6.146B,4.194B,2.441B,1.073B,2.173B,255.78M
TJX,2014-01,-199.53M,2.444B,5.650B,0,0,0.4094,0.405,312.69M,7.698B,2.158B,2014-01,2.966B,582.29M,-7.509M,-7.509M,3.595B,496.30M,1.274B,943.30M,2.399B,935.79M,353.49M,7.809B,1.215B,4.230B,10.20B,705.02M,6.068B,3.518B,5.971B,4.133B,2.453B,1.215B,1.939B,210.09M
TJX,2013-10,-228.77M,2.262B,4.934B,0,0,0.44,0.43,313.46M,7.528B,2.047B,2013-10,3.663B,622.66M,-9.371M,-9.371M,3.541B,396.31M,1.274B,888.74M,4.044B,879.37M,256.72M,6.982B,1.159B,4.124B,10.67B,711.20M,6.624B,4.044B,6.545B,4.046B,2.502B,1.159B,2.375B,250.89M
TJX,2013-07,-260.10M,2.090B,4.587B,0,0,0.335,0.33,314.11M,7.254B,1.856B,2013-07,3.188B,479.56M,-8.919M,-8.919M,3.378B,375.35M,1.274B,781.36M,3.443B,772.45M,292.89M,6.442B,1.074B,3.850B,9.926B,715.24M,5.950B,3.443B,6.076B,3.976B,2.633B,1.074B,1.962B,221.16M
TJX,2013-04,-229.25M,2.228B,4.434B,0,0,0.315,0.31,312.95M,7.052B,1.756B,2013-04,3.091B,452.89M,-5.282M,-5.282M,3.273B,368.24M,1.274B,737.17M,3.499B,731.88M,279.00M,6.190B,1.019B,3.763B,9.840B,719.77M,5.976B,3.499B,6.078B,3.864B,2.579B,1.019B,2.057B,257.98M
TJX,2013-01,-213.39M,2.048B,5.515B,0,0,0.4147,0.41,316.27M,6.895B,2.209B,2013-01,3.014B,604.84M,-5.077M,-5.077M,3.223B,606.68M,774.55M,969.76M,2.632B,964.69M,359.84M,7.724B,1.240B,3.666B,9.512B,723.90M,5.712B,3.761B,5.846B,3.800B,2.085B,1.240B,2.204B,222.79M
TJX,2012-10,-164.91M,1.843B,4.566B,11.66M,0,0.315,0.31,179.95M,6.732B,1.845B,2012-10,3.297B,461.55M,-6.089M,-6.089M,3.056B,411.31M,774.53M,754.56M,3.599B,748.47M,286.92M,6.411B,1.090B,3.466B,9.172B,729.25M,5.695B,3.599B,5.706B,3.477B,2.107B,1.090B,2.086B,238.25M
TJX,2012-07,-198.98M,1.797B,4.275B,3.03M,0,0.285,0.28,179.93M,6.458B,1.670B,2012-07,3.008B,421.09M,-9.182M,-9.182M,2.856B,386.48M,774.51M,691.97M,3.214B,682.79M,261.70M,5.946B,978.51M,3.390B,8.637B,736.10M,5.341B,3.225B,5.247B,3.296B,2.021B,978.51M,1.876B,202.14M
TJX,2012-04,-153.30M,1.739B,4.166B,2.97M,0,0.28,0.275,179.98M,6.360B,1.632B,2012-04,2.910B,419.20M,-8.827M,-8.827M,2.828B,382.93M,783.86M,690.23M,3.149B,681.40M,262.20M,5.798B,942.13M,3.332B,8.503B,740.95M,5.232B,3.152B,5.171B,3.271B,2.020B,942.13M,1.933B,232.88M
TJX,2012-01,-192.58M,1.602B,4.884B,2.912M,0,0.3183,0.31,179.94M,6.121B,1.825B,2012-01,2.951B,475.31M,-9.071M,-9.071M,2.715B,612.07M,784.62M,767.65M,2.191B,758.58M,283.26M,6.710B,1.058B,3.209B,8.282B,746.70M,5.133B,3.063B,5.072B,3.149B,2.009B,1.058B,1.815B,204.30M
TJX,2011-10,-82.68M,1.029B,4.167B,2.854M,0,0.27,0.265,179.96M,6.084B,1.627B,2011-10,3.706B,406.49M,-8.551M,-8.551M,2.708B,462.38M,785.37M,672.30M,3.377B,663.75M,257.26M,5.793B,954.24M,3.183B,8.531B,377.14M,5.418B,3.380B,5.348B,3.113B,1.968B,954.24M,2.048B,235.98M
TJX,2011-07,-46.47M,1.060B,3.976B,2.798M,0,0.23,0.225,180.04M,6.151B,1.492B,2011-07,3.368B,348.34M,-9.109M,-9.109M,2.660B,295.97M,786.10M,568.55M,3.188B,559.44M,211.10M,5.468B,923.69M,3.105B,8.097B,380.98M,5.029B,3.191B,4.992B,3.068B,1.801B,923.69M,1.929B,218.08M
TJX,2011-04,-30.80M,1.462B,3.827B,0,0,0.17,0.17,180.07M,5.982B,1.393B,2011-04,3.015B,265.95M,-8.917M,-8.917M,2.575B,256.08M,786.82M,438.56M,3.099B,429.65M,163.70M,5.220B,954.47M,3.123B,7.984B,386.11M,5.008B,3.102B,4.861B,2.976B,1.759B,954.47M,1.883B,231.12M
