Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
TMUS,2020-12,-1.581B,10.38B,9.652B,9.51B,1.03B,0.6,0.6,99.24B,114.62B,10.69B,2020-12,2.527B,750.00M,-790.00M,-790.00M,72.22B,9.966B,94.71B,1.712B,9.19B,821.00M,71.00M,20.34B,4.758B,65.34B,200.16B,0,23.88B,21.70B,134.82B,176.28B,113.12B,8.977B,7.261B,7.853B
TMUS,2020-09,-1.621B,6.571B,7.681B,8.421B,1.078B,1.01,1,99.46B,109.88B,11.59B,2020-09,1.931B,1.253B,-806.00M,-806.00M,69.60B,10.37B,91.09B,2.565B,7.373B,1.66B,407.00M,19.27B,4.876B,64.49B,192.44B,0,19.46B,19.84B,127.96B,172.98B,108.12B,9.026B,5.383B,7.415B
TMUS,2020-06,-1.658B,11.08B,6.765B,10.26B,1.185B,0.09,0.09,99.82B,96.42B,10.91B,2020-06,1.549B,110.00M,-833.00M,-833.00M,59.34B,9.996B,84.39B,1.238B,8.292B,-208.00M,2.00M,17.67B,5.604B,63.00B,187.20B,0,24.32B,23.19B,124.20B,162.88B,101.01B,9.668B,6.328B,6.573B
TMUS,2020-03,-1.66B,1.112B,4.168B,5.105B,619.00M,1.11,1.1,38.49B,35.85B,6.945B,2020-03,1.225B,951.00M,-272.00M,-272.00M,35.85B,5.618B,34.69B,1.539B,6.231B,1.257B,306.00M,11.11B,3.688B,28.98B,87.23B,0,9.487B,14.76B,58.25B,77.74B,43.49B,5.406B,6.231B,4.268B
TMUS,2019-12,-868.00M,1.528B,5.212B,3.269B,631.00M,0.88,0.87,38.51B,68.75B,6.666B,2019-12,964.00M,751.00M,-273.00M,-273.00M,35.63B,5.607B,36.83B,1.234B,6.131B,965.00M,214.00M,11.88B,3.656B,28.79B,86.92B,0,9.305B,12.51B,58.13B,77.62B,45.63B,5.432B,5.191B,4.508B
TMUS,2019-09,-1.07B,1.653B,4.437B,3.72B,608.00M,1.02,1.01,38.52B,35.87B,6.624B,2019-09,801.00M,870.00M,-279.00M,-279.00M,35.87B,5.296B,23.01B,1.471B,6.658B,1.195B,325.00M,11.06B,3.498B,27.77B,86.11B,0,8.458B,12.87B,58.34B,77.65B,45.47B,5.153B,6.658B,4.267B
TMUS,2019-06,-813.00M,1.105B,4.31B,3.531B,620.00M,1.1,1.09,38.49B,34.88B,6.669B,2019-06,998.00M,939.00M,-279.00M,-279.00M,34.88B,5.09B,22.41B,1.541B,7.458B,1.24B,301.00M,10.98B,3.543B,26.97B,84.79B,0,8.114B,13.17B,57.82B,76.67B,44.65B,5.128B,7.458B,4.281B
TMUS,2019-03,-521.00M,1.439B,4.562B,3.961B,665.00M,1.07,1.06,37.69B,33.31B,6.518B,2019-03,1.261B,908.00M,-280.00M,-280.00M,33.31B,4.925B,21.52B,1.476B,7.572B,1.203B,295.00M,11.08B,3.442B,26.18B,83.07B,0,8.745B,13.33B,56.89B,74.33B,43.56B,5.042B,7.572B,4.231B
TMUS,2018-12,-332.00M,1.203B,5.17B,841.00M,698.00M,0.75,0.75,37.66B,54.66B,6.275B,2018-12,1.084B,640.00M,-296.00M,-296.00M,23.36B,7.253B,12.12B,1.137B,7.232B,838.00M,198.00M,11.44B,3.498B,24.72B,72.47B,0,8.281B,10.27B,47.75B,64.19B,37.48B,5.138B,6.329B,4.318B
TMUS,2018-09,0,329.00M,4.448B,783.00M,696.00M,0.94,0.93,37.68B,0,6.391B,2018-09,958.00M,795.00M,-313.00M,-313.00M,22.50B,7.131B,11.99B,1.44B,6.726B,1.13B,335.00M,10.84B,3.314B,24.36B,70.18B,0,7.286B,8.572B,45.83B,62.90B,37.26B,4.951B,6.726B,4.03B
TMUS,2018-06,5.00M,215.00M,4.302B,1.324B,722.00M,0.92,0.92,37.69B,49.50B,6.269B,2018-06,998.00M,782.00M,-318.00M,-318.00M,22.38B,6.833B,12.06B,1.45B,6.876B,1.068B,286.00M,10.57B,3.185B,23.39B,69.69B,0,7.091B,9.281B,46.30B,62.60B,37.02B,4.819B,6.876B,3.949B
TMUS,2018-03,8.00M,2.527B,4.434B,3.765B,791.00M,0.78,0.78,37.70B,45.72B,6.021B,2018-03,1.311B,671.00M,-411.00M,-411.00M,22.31B,6.543B,12.13B,1.282B,7.448B,881.00M,210.00M,10.46B,3.164B,22.88B,72.00B,0,9.609B,12.36B,49.13B,62.40B,36.77B,4.739B,7.448B,3.983B
TMUS,2017-12,4.00M,1.219B,5.039B,1.612B,779.00M,3.22,3.11,37.27B,0,5.72B,2017-12,1.566B,2.707B,-414.00M,-414.00M,22.20B,6.257B,26.71B,944.00M,8.096B,714.00M,-1.993B,10.76B,3.291B,22.56B,70.56B,0,8.915B,11.52B,48.00B,61.65B,36.49B,4.776B,6.984B,4.227B
TMUS,2017-09,3.00M,739.00M,4.211B,558.00M,790.00M,0.65,0.63,36.95B,0,5.808B,2017-09,999.00M,550.00M,-418.00M,-418.00M,21.57B,8.228B,13.16B,1.294B,6.359B,906.00M,356.00M,10.02B,3.098B,20.28B,67.92B,0,7.449B,8.103B,47.65B,60.47B,39.54B,4.514B,6.359B,3.894B
TMUS,2017-06,2.00M,181.00M,4.364B,1.202B,851.00M,0.68,0.67,37.04B,0,5.849B,2017-06,1.208B,581.00M,-390.00M,-390.00M,21.42B,7.848B,13.21B,1.415B,6.38B,934.00M,353.00M,10.21B,2.915B,19.61B,67.16B,0,6.78B,8.828B,47.54B,60.38B,38.72B,4.434B,6.38B,3.811B
TMUS,2017-03,1.00M,7.501B,4.094B,7.542B,934.00M,0.83,0.8,29.17B,0,5.519B,2017-03,1.021B,698.00M,-432.00M,-432.00M,21.24B,7.477B,13.10B,1.00B,6.416B,607.00M,-91.00M,9.613B,2.955B,18.96B,68.05B,0,15.90B,15.28B,49.08B,52.15B,33.80B,4.519B,6.416B,3.768B
TMUS,2016-12,1.00M,5.50B,4.732B,354.00M,986.00M,0.46,0.45,29.07B,0,5.502B,2016-12,1.111B,390.00M,-395.00M,-395.00M,20.94B,7.554B,21.83B,995.00M,6.718B,606.00M,216.00M,10.23B,2.959B,18.24B,65.89B,0,14.22B,9.022B,47.66B,51.67B,38.63B,4.507B,5.813B,3.866B
TMUS,2016-09,-1.00M,5.352B,3.975B,325.00M,980.00M,0.43,0.42,28.70B,0,5.33B,2016-09,1.039B,366.00M,-449.00M,-449.00M,20.57B,7.239B,21.82B,864.00M,6.459B,598.00M,232.00M,9.305B,2.898B,17.85B,64.27B,0,13.53B,8.119B,46.42B,50.74B,38.30B,4.466B,6.459B,3.60B
TMUS,2016-06,-4.00M,5.538B,4.048B,258.00M,936.00M,0.26,0.25,27.70B,0,5.239B,2016-06,1.388B,225.00M,-458.00M,-458.00M,20.57B,6.975B,21.57B,892.00M,7.188B,372.00M,147.00M,9.287B,2.772B,17.40B,63.97B,0,14.28B,8.752B,46.57B,49.69B,37.82B,4.347B,7.188B,3.736B
TMUS,2016-03,0,6.572B,3.795B,365.00M,895.00M,0.57,0.56,27.72B,0,4.869B,2016-03,1.443B,479.00M,-415.00M,-415.00M,20.62B,6.798B,20.50B,568.00M,7.684B,751.00M,272.00M,8.664B,2.749B,17.10B,63.06B,0,13.34B,9.369B,45.96B,49.72B,36.59B,4.301B,7.684B,4.066B
