Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
TPR,2020-12,-50.40M,1.652B,511.70M,560.40M,1.12,1.11,2.693B,2.405B,1.174B,2020-12,631.90M,311.00M,-18.70M,-18.70M,2.405B,113.00M,3.248B,389.40M,972.70M,374.30M,63.30M,1.685B,784.30M,2.891B,8.150B,2.80M,2.877B,1.533B,5.260B,5.273B,3.727B,784.30M,413.60M,436.30M
TPR,2020-09,-76.50M,1.522B,342.00M,1.053B,0.84,0.83,2.685B,2.446B,830.20M,2020-09,811.20M,231.70M,-19.40M,-19.40M,2.446B,87.70M,3.328B,202.20M,766.10M,185.40M,-46.30M,1.172B,628.00M,2.530B,8.133B,2.80M,2.846B,1.819B,5.603B,5.288B,3.784B,628.00M,334.10M,366.40M
TPR,2020-06,-92.20M,1.434B,215.90M,1.100B,-1.06,-1.06,2.680B,3.662B,498.90M,2020-06,736.90M,-293.80M,-20.30M,-20.30M,2.532B,225.60M,3.388B,-280.00M,641.80M,-300.80M,-7.00M,714.80M,778.90M,2.276B,7.924B,2.80M,2.553B,1.742B,5.648B,5.371B,3.906B,778.90M,231.30M,239.30M
TPR,2020-03,-96.70M,898.20M,456.50M,364.90M,-2.45,-2.45,2.680B,2.790B,616.20M,2020-03,852.90M,-677.10M,-13.50M,-13.50M,2.790B,204.60M,3.484B,-207.80M,774.00M,-705.00M,-27.90M,1.073B,824.00M,2.553B,7.743B,2.80M,2.132B,1.139B,5.190B,5.611B,4.051B,824.00M,200.10M,225.50M
TPR,2019-12,-85.00M,1.167B,606.30M,329.80M,1.08,1.08,3.161B,2.883B,1.210B,2019-12,748.30M,298.80M,-14.00M,-14.00M,2.883B,230.50M,3.499B,363.10M,922.50M,355.00M,56.20M,1.816B,846.60M,3.322B,8.700B,2.80M,2.511B,1.252B,5.378B,6.189B,4.125B,846.60M,252.40M,406.80M
TPR,2019-09,-96.00M,788.40M,443.40M,328.90M,0.07,0.07,3.163B,2.946B,914.50M,2019-09,880.20M,20.00M,-12.30M,-12.30M,2.946B,196.90M,3.563B,51.60M,883.10M,26.60M,6.60M,1.358B,862.90M,3.087B,8.450B,2.80M,2.204B,1.212B,5.363B,6.246B,4.151B,862.90M,254.30M,365.70M
TPR,2019-06,-83.20M,1.234B,514.50M,0.80M,0.51,0.51,3.228B,2.139B,999.20M,2019-06,778.30M,148.90M,-11.00M,-11.00M,938.80M,455.70M,1.602B,171.10M,917.20M,158.90M,10.00M,1.514B,828.10M,3.513B,6.877B,2.90M,2.557B,918.00M,3.364B,4.320B,2.446B,828.10M,393.30M,353.90M
TPR,2019-03,-90.50M,1.337B,415.50M,0.70M,0.4,0.4,3.221B,0,915.90M,2019-03,811.10M,117.40M,-10.60M,-10.60M,921.60M,245.30M,1.602B,109.80M,995.90M,95.20M,-22.20M,1.331B,806.10M,3.531B,6.970B,2.90M,2.662B,996.60M,3.439B,4.308B,2.442B,806.10M,336.90M,326.60M
TPR,2018-12,-91.50M,1.495B,597.30M,0.70M,0.88,0.88,3.225B,0,1.204B,2018-12,732.40M,254.80M,-13.20M,-13.20M,896.00M,243.10M,1.601B,376.50M,1.080B,367.50M,112.70M,1.801B,827.00M,3.488B,7.119B,2.90M,2.828B,1.081B,3.631B,4.291B,2.550B,827.00M,299.10M,418.60M
TPR,2018-09,-88.10M,1.063B,446.10M,0.70M,0.42,0.42,3.214B,0,935.10M,2018-09,820.90M,122.30M,-13.10M,-13.10M,888.30M,225.50M,1.600B,162.30M,898.70M,144.60M,22.30M,1.381B,772.80M,3.310B,6.703B,2.90M,2.468B,899.40M,3.394B,4.236B,2.494B,772.80M,292.90M,375.90M
TPR,2018-06,-82.80M,1.25B,481.90M,0.70M,0.74,0.73,3.217B,1.840B,1.002B,2018-06,673.80M,211.70M,-14.40M,-14.40M,885.40M,406.90M,1.600B,188.40M,937.50M,172.80M,-38.90M,1.484B,813.40M,3.245B,6.678B,2.90M,2.433B,938.20M,3.434B,4.246B,2.496B,813.40M,361.50M,339.90M
TPR,2018-03,-46.40M,1.038B,414.80M,0.70M,0.49,0.48,3.254B,1.490B,907.60M,2018-03,714.30M,140.30M,-16.90M,-16.90M,889.40M,240.10M,1.600B,159.00M,859.40M,142.10M,1.80M,1.322B,748.60M,3.138B,6.588B,2.90M,2.288B,860.10M,3.45B,4.300B,2.590B,748.60M,221.90M,391.90M
TPR,2017-12,-72.30M,2.092B,608.80M,800.60M,0.22,0.22,3.148B,1.781B,1.176B,2017-12,666.20M,63.20M,-22.20M,-22.20M,877.00M,173.40M,1.888B,346.40M,930.80M,324.20M,261.00M,1.785B,829.80M,2.949B,7.481B,2.80M,3.282B,1.731B,4.532B,4.199B,2.800B,829.80M,234.80M,393.40M
TPR,2017-09,-81.30M,1.671B,526.00M,800.60M,-0.06,-0.06,3.163B,0,762.90M,2017-09,852.80M,-17.70M,-20.50M,-20.50M,860.80M,267.50M,1.888B,-21.80M,934.30M,-42.30M,-24.60M,1.289B,784.70M,2.94B,7.454B,2.80M,3.022B,1.735B,4.514B,4.432B,2.780B,784.70M,292.70M,367.70M
TPR,2017-06,-86.90M,3.084B,379.30M,0,0.54,0.53,821.30M,0,754.50M,2017-06,469.70M,151.70M,-13.60M,-13.60M,691.40M,230.20M,1.580B,193.00M,753.80M,179.40M,27.70M,1.134B,561.50M,3.002B,5.832B,2.80M,3.953B,753.80M,2.830B,1.878B,2.076B,561.50M,289.70M,309.50M
TPR,2017-03,-93.80M,1.892B,289.50M,15.00M,0.44,0.43,824.00M,0,705.70M,2017-03,478.70M,122.20M,-4.00M,-4.00M,661.20M,0,591.80M,151.10M,636.30M,147.10M,24.90M,995.20M,554.60M,2.892B,4.661B,2.80M,2.770B,636.30M,1.769B,1.891B,1.133B,554.60M,129.20M,261.40M
TPR,2016-12,-115.70M,1.836B,415.50M,15.00M,0.71,0.71,811.90M,0,906.20M,2016-12,464.90M,199.70M,-5.10M,-5.10M,641.20M,0,591.60M,277.40M,715.20M,272.30M,72.60M,1.322B,628.80M,2.811B,4.679B,2.80M,2.766B,715.20M,1.868B,1.913B,1.152B,628.80M,152.50M,315.10M
TPR,2016-09,-67.60M,1.533B,322.90M,0,0.42,0.42,851.00M,0,714.70M,2016-09,546.80M,117.40M,-5.70M,-5.70M,774.60M,0,591.40M,165.90M,697.20M,160.20M,42.80M,1.038B,548.80M,2.728B,4.585B,2.80M,2.505B,697.20M,1.856B,2.079B,1.159B,548.80M,173.50M,245.10M
TPR,2016-06,-72.90M,1.319B,371.90M,0,0.29,0.29,849.20M,0,782.70M,2016-06,459.20M,81.50M,-7.40M,-7.40M,919.50M,0,861.20M,116.80M,811.70M,109.40M,27.90M,1.155B,665.90M,2.683B,4.893B,2.80M,2.173B,826.70M,2.210B,2.720B,1.383B,665.90M,280.60M,258.80M
TPR,2016-03,-92.10M,1.282B,320.10M,0,0.4,0.4,803.20M,0,713.00M,2016-03,464.10M,112.50M,-6.50M,-6.50M,823.20M,0,868.50M,134.30M,716.50M,127.80M,15.30M,1.033B,578.70M,2.625B,4.676B,2.80M,2.265B,731.50M,2.051B,2.411B,1.320B,578.70M,174.60M,263.20M
TPR,2015-12,-108.30M,1.337B,414.70M,15.00M,0.61,0.61,787.80M,1.574B,859.10M,2015-12,438.50M,170.10M,-6.30M,-6.30M,784.40M,182.40M,872.00M,261.00M,689.00M,254.70M,84.60M,1.274B,598.10M,2.567B,4.604B,2.80M,2.302B,704.00M,2.036B,2.302B,1.332B,598.10M,147.70M,303.60M
TPR,2015-09,-103.10M,1.276B,333.80M,15.50M,0.35,0.35,790.30M,1.482B,696.50M,2015-09,574.70M,96.40M,-6.70M,-6.70M,727.40M,194.90M,875.60M,141.40M,736.00M,134.70M,38.30M,1.030B,555.10M,2.474B,4.554B,2.80M,2.352B,751.00M,2.081B,2.203B,1.330B,555.10M,215.70M,246.90M
TPR,2015-06,-77.70M,1.526B,316.40M,11.30M,0.04,0.04,794.20M,0,687.70M,2015-06,485.10M,11.70M,-6.30M,-6.30M,732.60M,0,879.10M,38.80M,823.40M,32.50M,20.80M,1.004B,648.90M,2.490B,4.667B,2.80M,2.506B,834.70M,2.177B,2.160B,1.342B,648.90M,316.10M,219.50M
TPR,2015-03,-74.30M,2.021B,263.80M,7.50M,0.32,0.32,315.60M,0,665.50M,2015-03,456.90M,88.10M,-1.20M,-1.20M,668.40M,0,889.20M,124.00M,683.50M,122.80M,34.70M,929.30M,541.50M,2.540B,4.513B,2.80M,2.898B,691.00M,1.972B,1.615B,1.281B,541.50M,165.30M,196.90M
TPR,2014-12,-70.30M,1.065B,379.40M,20.00M,0.67,0.66,315.50M,0,840.00M,2014-12,447.20M,183.50M,0.40M,0.40M,684.00M,0,0.485M,275.40M,695.40M,275.80M,92.30M,1.219B,564.60M,2.518B,3.617B,2.80M,1.947B,715.40M,1.099B,1.670B,383.80M,564.60M,160.50M,228.50M
