Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Research and Development Expense,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
TRMB,2020-12,-98.50M,237.70M,361.20M,255.80M,560.50M,0.72,0.71,4.457B,727.00M,468.50M,2020-12,301.70M,180.30M,-17.90M,-17.90M,380.70M,395.60M,1.401B,127.60M,143.20M,128.30M,-52.40M,125.80M,829.70M,199.80M,3.597B,6.877B,0.30M,1.281B,1.311B,3.278B,5.596B,1.967B,340.90M,143.20M,620.50M
TRMB,2020-09,-161.00M,184.00M,352.40M,279.60M,445.20M,0.34,0.34,4.448B,382.80M,439.70M,2020-09,318.50M,84.70M,-19.60M,-19.60M,382.80M,365.80M,1.502B,114.10M,131.40M,96.40M,11.60M,117.90M,792.10M,191.00M,3.35B,6.624B,0.30M,1.101B,1.192B,3.273B,5.524B,2.082B,325.60M,131.40M,488.90M
TRMB,2020-06,-198.30M,196.40M,327.90M,268.20M,481.90M,0.25,0.25,4.453B,385.10M,405.70M,2020-06,338.60M,63.00M,-19.60M,-19.60M,385.10M,367.00M,1.677B,102.70M,128.90M,90.90M,27.70M,114.00M,733.60M,172.40M,3.212B,6.645B,0.20M,1.12B,1.170B,3.432B,5.525B,2.261B,303.00M,128.90M,478.80M
TRMB,2020-03,-230.90M,216.80M,351.30M,280.70M,498.20M,0.25,0.25,4.465B,374.60M,441.00M,2020-03,327.20M,61.90M,-20.50M,-20.50M,374.60M,363.40M,1.800B,101.20M,145.40M,79.40M,17.50M,118.20M,792.30M,204.70M,3.101B,6.706B,0.20M,1.193B,1.227B,3.603B,5.513B,2.376B,339.80M,145.40M,546.60M
TRMB,2019-12,-176.80M,189.20M,364.00M,219.00M,490.40M,1.12,1.11,4.359B,697.90M,460.00M,2019-12,312.10M,279.30M,-20.20M,-20.20M,381.70M,405.90M,1.738B,105.00M,159.30M,75.30M,-204.10M,119.60M,824.00M,219.00M,3.119B,6.641B,0.20M,1.212B,1.190B,3.520B,5.429B,2.33B,355.00M,159.30M,608.20M
TRMB,2019-09,-207.30M,184.60M,361.90M,236.30M,375.10M,0.31,0.31,4.162B,362.70M,422.00M,2019-09,290.10M,78.10M,-19.70M,-19.70M,362.70M,119.60M,1.623B,95.30M,171.60M,78.90M,0.80M,112.30M,783.90M,196.90M,2.787B,5.804B,0.20M,1.062B,1.059B,3.016B,4.742B,1.956B,326.70M,156.70M,516.10M
TRMB,2019-06,-180.40M,199.60M,394.20M,229.30M,408.10M,0.38,0.37,4.196B,347.70M,460.60M,2019-06,287.90M,94.60M,-20.60M,-20.60M,347.70M,123.00M,1.623B,112.60M,163.30M,115.40M,20.80M,119.60M,854.80M,208.70M,2.824B,5.876B,0.30M,1.121B,1.075B,3.051B,4.755B,1.976B,348.00M,148.40M,546.80M
TRMB,2019-03,-182.50M,216.70M,363.30M,246.80M,422.90M,0.25,0.25,4.238B,333.90M,438.30M,2019-03,303.70M,62.30M,-21.90M,-21.90M,333.90M,116.20M,1.743B,89.80M,161.70M,75.20M,12.80M,118.20M,801.60M,210.20M,2.742B,5.920B,0.30M,1.148B,1.09B,3.177B,4.772B,2.087B,348.50M,147.60M,549.00M
TRMB,2018-12,-186.10M,172.50M,350.30M,256.20M,348.40M,0.34,0.34,4.284B,475.00M,435.20M,2018-12,298.00M,86.50M,-22.40M,-22.40M,212.90M,141.10M,1.712B,91.50M,147.60M,68.00M,-18.80M,112.60M,785.50M,212.40M,2.674B,5.776B,0.30M,1.089B,1.055B,3.102B,4.687B,2.046B,343.70M,147.60M,512.60M
TRMB,2018-09,-153.90M,205.40M,368.30M,226.10M,326.10M,0.29,0.29,4.329B,0,426.90M,2018-09,286.30M,73.70M,-22.70M,-22.70M,206.10M,126.70M,1.787B,79.90M,172.10M,64.10M,-9.60M,114.10M,795.20M,211.30M,2.648B,5.782B,0.30M,1.061B,979.30M,3.134B,4.721B,2.154B,347.00M,155.70M,503.20M
