Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Current Debt & Capital Lease Obligation,EPS Basic,EPS Diluted,Goodwill and Intangibles,Income (Quarterly),Net Income,Net Loan Assets,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
TRV,2021-03,1.291B,79.51B,100.00M,2.89,2.87,4.335B,2021-03,733.00M,0,-82.00M,-82.00M,0,293.00M,6.45B,4.992B,891.00M,158.00M,8.313B,1.163B,28.27B,117.03B,23.90B,101.46B,5.092B,88.76B,86.88B,77.82B,1.163B,4.992B,20.78B
TRV,2020-12,2.502B,80.24B,600.00M,5.13,5.1,4.293B,2020-12,1.31B,0,-83.00M,-83.00M,0,558.00M,6.55B,4.617B,1.616B,306.00M,8.397B,1.142B,29.20B,116.76B,23.74B,101.43B,4.617B,87.56B,87.43B,76.85B,1.142B,4.617B,20.42B
TRV,2020-09,2.138B,79.49B,600.00M,3.24,3.23,4.263B,2020-09,827.00M,0,-87.00M,-87.00M,0,448.00M,6.45B,4.923B,986.00M,159.00M,8.275B,1.109B,27.85B,116.38B,23.65B,101.28B,5.523B,88.54B,86.80B,76.86B,1.109B,4.923B,20.89B
TRV,2020-06,1.882B,76.76B,600.00M,-0.16,-0.16,4.244B,2020-06,-40.00M,0,-85.00M,-85.00M,0,409.00M,6.449B,4.903B,-85.00M,-45.00M,7.401B,1.121B,26.94B,113.34B,23.61B,98.58B,5.503B,86.39B,83.87B,75.16B,1.121B,4.903B,20.87B
TRV,2020-03,-49.00M,72.47B,100.00M,2.34,2.33,4.237B,2020-03,600.00M,0,-84.00M,-84.00M,0,137.00M,5.959B,5.288B,720.00M,120.00M,7.908B,1.137B,25.20B,109.44B,23.54B,94.49B,5.888B,84.23B,79.62B,72.86B,1.137B,5.288B,20.99B
TRV,2019-12,640.00M,73.57B,100.00M,3.37,3.35,4.291B,2019-12,873.00M,0,-83.00M,-83.00M,0,188.00M,6.558B,4.982B,1.074B,201.00M,8.063B,1.085B,25.94B,110.12B,23.47B,95.00B,4.982B,84.18B,80.92B,73.15B,1.085B,4.982B,20.74B
TRV,2019-09,625.00M,73.12B,600.00M,1.52,1.5,4.258B,2019-09,396.00M,0,-84.00M,-84.00M,0,87.00M,6.458B,5.375B,432.00M,36.00M,8.013B,1.098B,25.61B,110.24B,23.43B,95.06B,5.475B,84.63B,80.49B,73.17B,1.098B,5.375B,21.09B
TRV,2019-06,206.00M,71.08B,600.00M,2.11,2.1,4.278B,2019-06,557.00M,0,-89.00M,-89.00M,0,0,6.458B,5.367B,665.00M,108.00M,7.834B,1.125B,25.32B,108.57B,23.37B,93.25B,5.467B,83.25B,78.66B,72.16B,1.125B,5.367B,21.31B
TRV,2019-03,-682.00M,69.95B,0,3.01,2.99,4.29B,2019-03,796.00M,0,-88.00M,-88.00M,0,0,6.457B,5.446B,967.00M,171.00M,7.671B,1.057B,24.34B,107.25B,23.24B,91.92B,6.046B,82.91B,77.50B,71.30B,1.057B,5.446B,21.04B
TRV,2018-12,-1.859B,67.82B,0,2.15,2.13,4.282B,2018-12,621.00M,0,-87.00M,-87.00M,0,0,5.964B,5.074B,746.00M,125.00M,7.796B,1.063B,22.89B,104.23B,23.14B,89.06B,5.674B,81.34B,74.97B,70.19B,1.063B,5.074B,20.66B
TRV,2018-09,-2.003B,67.22B,600.00M,2.65,2.62,4.309B,2018-09,709.00M,0,-86.00M,-86.00M,0,171.00M,5.964B,5.305B,806.00M,97.00M,7.723B,1.059B,22.46B,104.39B,23.09B,88.78B,5.905B,81.93B,74.62B,70.37B,1.059B,5.305B,20.84B
TRV,2018-06,-1.688B,66.64B,500.00M,1.93,1.92,4.287B,2018-06,524.00M,0,-90.00M,-90.00M,0,370.00M,5.964B,5.226B,631.00M,107.00M,7.477B,1.113B,22.62B,103.52B,23.04B,88.22B,5.726B,80.90B,73.79B,69.68B,1.113B,5.226B,20.87B
TRV,2018-03,-1.322B,67.15B,500.00M,2.45,2.42,4.30B,2018-03,669.00M,0,-89.00M,-89.00M,0,0,6.463B,5.333B,778.00M,109.00M,7.286B,1.062B,22.98B,103.68B,23.00B,88.60B,5.833B,80.70B,74.27B,69.70B,1.062B,5.333B,20.67B
TRV,2017-12,-343.00M,67.93B,600.00M,2,1.98,4.293B,2017-12,551.00M,0,-93.00M,-93.00M,0,0,5.971B,5.049B,860.00M,309.00M,7.451B,1.084B,23.73B,103.48B,22.89B,88.71B,5.649B,79.75B,75.20B,68.54B,1.084B,5.049B,20.23B
TRV,2017-09,-285.00M,68.40B,950.00M,1.06,1.05,4.291B,2017-09,293.00M,0,-95.00M,-95.00M,0,0,5.971B,5.18B,320.00M,27.00M,7.325B,1.045B,23.74B,104.31B,22.84B,89.45B,6.13B,80.57B,75.51B,68.97B,1.045B,5.18B,20.37B
TRV,2017-06,-344.00M,67.53B,950.00M,2.13,2.11,3.853B,2017-06,595.00M,0,-92.00M,-92.00M,0,0,5.97B,5.064B,790.00M,195.00M,7.184B,1.045B,23.86B,102.67B,22.78B,88.39B,6.014B,78.81B,74.20B,67.60B,1.045B,5.064B,20.20B
TRV,2017-03,-615.00M,66.33B,550.00M,2.19,2.17,3.85B,2017-03,617.00M,0,-89.00M,-89.00M,0,0,5.888B,5.097B,760.00M,143.00M,6.942B,996.00M,23.61B,101.25B,22.72B,86.96B,5.647B,77.63B,73.13B,67.02B,996.00M,5.097B,19.88B
TRV,2016-12,-755.00M,65.69B,550.00M,3.32,3.28,3.848B,2016-12,943.00M,0,-90.00M,-90.00M,0,0,5.887B,4.882B,1.302B,359.00M,7.193B,1.048B,23.22B,100.24B,22.61B,85.89B,5.432B,77.02B,72.34B,66.16B,1.048B,4.882B,19.62B
TRV,2016-09,660.00M,68.11B,100.00M,2.48,2.45,3.856B,2016-09,716.00M,0,-89.00M,-89.00M,0,0,6.336B,5.011B,947.00M,231.00M,6.961B,1.057B,24.44B,102.79B,22.42B,88.88B,5.111B,78.35B,74.80B,67.38B,1.057B,5.011B,20.03B
TRV,2016-06,965.00M,67.56B,100.00M,2.27,2.24,3.862B,2016-06,664.00M,0,-93.00M,-93.00M,0,0,6.336B,4.942B,887.00M,223.00M,6.785B,1.054B,24.71B,102.45B,22.35B,88.45B,5.042B,77.73B,74.30B,67.18B,1.054B,4.942B,20.16B
