Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Research and Development Expense,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
TTWO,2020-12,-5.584M,2.423B,346.24M,30.54M,991.48M,1.58,1.57,1.089B,297.01M,514.64M,2020-12,26.73M,182.25M,1.098M,1.098M,297.01M,31.81M,156.84M,175.68M,1.035B,216.45M,34.20M,86.43M,860.89M,238.53M,3.155B,5.966B,1.375M,4.160B,2.342B,2.811B,1.806B,469.02M,338.96M,100.16M,581.14M
TTWO,2020-09,-34.82M,2.386B,432.50M,29.05M,1.063B,0.87,0.86,1.051B,289.71M,408.64M,2020-09,26.93M,99.32M,2.706M,2.706M,289.71M,32.88M,150.79M,115.61M,1.029B,117.42M,18.10M,74.22M,841.14M,205.12M,2.901B,5.836B,1.373M,3.932B,2.326B,2.935B,1.904B,609.04M,293.03M,85.10M,787.82M
TTWO,2020-06,-52.13M,2.285B,476.69M,27.60M,928.10M,0.78,0.77,846.53M,286.92M,354.62M,2020-06,19.49M,88.50M,8.218M,8.218M,286.92M,32.85M,153.51M,82.14M,1.021B,90.36M,1.856M,73.11M,831.31M,186.95M,2.651B,5.369B,1.367M,3.687B,2.149B,2.718B,1.682B,569.47M,272.48M,56.41M,685.17M
TTWO,2020-03,-58.38M,2.002B,395.64M,25.19M,777.78M,1.08,1.07,839.53M,484.37M,364.90M,2020-03,19.11M,122.72M,14.28M,14.28M,286.17M,28.34M,152.06M,121.50M,1.064B,124.63M,1.912M,68.72M,760.54M,162.18M,2.539B,4.949B,1.359M,3.493B,2.039B,2.410B,1.455B,371.05M,243.40M,65.68M,592.56M
TTWO,2019-12,-38.49M,1.984B,437.09M,24.11M,841.81M,1.44,1.43,889.16M,280.47M,493.04M,2019-12,24.43M,163.64M,11.94M,11.94M,280.47M,32.96M,151.40M,176.59M,1.022B,188.78M,25.13M,82.52M,930.13M,221.60M,2.402B,4.880B,1.358M,3.435B,2.096B,2.478B,1.445B,381.27M,316.45M,82.49M,647.46M
TTWO,2019-09,-54.46M,1.505B,468.25M,22.27M,901.81M,0.63,0.63,972.56M,248.48M,389.59M,2019-09,39.29M,71.82M,8.054M,8.054M,248.48M,25.38M,118.79M,75.15M,1.213B,82.87M,11.06M,76.20M,857.84M,226.22M,2.182B,4.815B,1.356M,3.388B,2.290B,2.633B,1.427B,343.12M,314.45M,114.95M,858.60M
TTWO,2019-06,-43.99M,1.542B,241.47M,21.79M,826.08M,0.41,0.41,1.093B,251.25M,298.99M,2019-06,23.85M,46.28M,10.42M,10.42M,251.25M,22.10M,125.13M,52.12M,948.94M,62.16M,15.88M,68.96M,540.46M,166.65M,2.086B,4.366B,1.355M,2.821B,1.942B,2.280B,1.545B,337.89M,246.87M,55.38M,352.62M
TTWO,2019-03,-37.19M,1.571B,258.91M,0,843.30M,0.5,0.5,1.058B,297.51M,280.09M,2019-03,28.20M,56.83M,10.34M,10.34M,127.88M,21.06M,0,59.28M,950.46M,64.53M,7.698M,56.59M,539.01M,153.15M,2.041B,4.243B,1.346M,2.828B,1.952B,2.202B,1.415B,250.69M,220.82M,72.80M,395.73M
TTWO,2018-12,-50.95M,1.601B,898.48M,0,818.41M,1.59,1.57,1.061B,0,350.25M,2018-12,39.79M,179.95M,8.071M,8.071M,114.67M,69.14M,0,45.85M,1.016B,59.85M,-120.10M,62.30M,1.249B,231.96M,2.027B,4.387B,1.344M,2.975B,2.099B,2.360B,1.412B,260.34M,304.40M,74.62M,823.48M
TTWO,2018-09,-37.20M,1.025B,234.88M,0,559.02M,0.22,0.22,1.271B,0,257.79M,2018-09,40.54M,25.37M,4.975M,4.975M,110.90M,15.41M,0,25.99M,801.34M,30.96M,5.594M,60.56M,492.67M,161.48M,1.944B,3.655B,1.341M,2.192B,1.490B,1.711B,1.463B,220.96M,231.80M,77.30M,534.63M
TTWO,2018-06,-41.02M,1.102B,131.36M,0,450.57M,0.63,0.62,1.199B,246.46M,256.62M,2018-06,10.64M,71.69M,6.601M,6.601M,105.85M,15.86M,5.232M,70.60M,823.54M,77.45M,5.754M,50.71M,387.98M,126.04M,1.852B,3.456B,1.338M,2.074B,1.391B,1.604B,1.382B,212.58M,186.01M,33.77M,239.74M
TTWO,2018-03,-15.73M,1.424B,189.21M,0,802.15M,0.8,0.77,1.143B,188.52M,261.06M,2018-03,15.16M,90.85M,1.398M,1.398M,102.48M,355.59M,8.068M,89.56M,770.61M,91.28M,0.423M,54.13M,450.27M,107.90M,1.489B,3.738B,1.327M,2.409B,1.727B,2.249B,1.329B,521.94M,171.51M,35.03M,247.65M
TTWO,2017-12,-31.10M,1.322B,267.98M,0,1.144B,0.22,0.21,1.085B,176.13M,212.86M,2017-12,30.86M,25.14M,3.374M,3.374M,96.57M,44.50M,13.84M,9.552M,772.07M,12.23M,-12.91M,49.98M,480.84M,145.46M,1.401B,3.683B,1.326M,2.448B,2.072B,2.282B,1.235B,209.67M,203.30M,46.00M,425.93M
