Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Research and Development Expense,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
TWTR,2020-12,-66.09M,7.472B,432.92M,1.096B,58.98M,0.28,0.27,1.371B,4.285B,856.12M,2020-12,222.12M,-27.06M,-27.06M,2.424B,31.46M,3.389B,251.92M,626.59M,224.02M,1.903M,247.94M,1.289B,356.25M,7.970B,13.38B,0.004M,8.637B,1.953B,5.409B,4.742B,3.456B,604.19M,234.66M,1.042B
TWTR,2020-09,-90.09M,7.681B,361.39M,1.070B,57.18M,0.04,0.04,1.348B,4.028B,574.84M,2020-09,28.66M,-22.45M,-22.45M,2.221B,28.84M,3.278B,56.11M,650.47M,29.68M,1.024M,208.88M,936.23M,309.86M,7.812B,13.09B,0.004M,8.590B,1.935B,5.277B,4.499B,3.342B,518.74M,272.81M,747.55M
TWTR,2020-06,-93.00M,7.766B,288.04M,144.97M,70.52M,-1.75,-1.75,1.349B,3.497B,395.40M,2020-06,-1.378B,-14.82M,-14.82M,1.783B,26.58M,3.988B,-273.93M,519.32M,-289.11M,1.089B,215.81M,683.44M,453.52M,7.658B,12.55B,0.004M,8.495B,841.11M,4.890B,4.052B,4.048B,669.33M,180.04M,600.78M
TWTR,2020-03,-158.00M,7.671B,284.04M,155.84M,44.73M,-0.01,-0.01,1.334B,3.362B,523.60M,2020-03,-8.396M,-0.373M,-0.373M,1.748B,25.37M,3.981B,-7.443M,383.03M,-15.54M,-7.139M,200.39M,807.64M,330.66M,8.796B,13.54B,0.004M,8.468B,710.02M,4.745B,5.073B,4.035B,531.04M,198.29M,656.38M
TWTR,2019-12,-70.53M,6.639B,314.01M,170.44M,68.99M,0.15,0.15,1.312B,3.280B,693.33M,2019-12,118.77M,7.55M,7.55M,1.729B,24.17M,3.118B,152.88M,402.59M,158.09M,39.32M,198.24M,1.007B,342.21M,8.704B,12.70B,0.004M,7.620B,832.48M,3.999B,5.083B,3.167B,540.45M,207.12M,850.18M
TWTR,2019-09,-115.91M,5.816B,281.06M,166.17M,69.44M,0.05,0.05,1.290B,3.142B,542.66M,2019-09,36.52M,4.122M,4.122M,1.658B,20.33M,2.379B,44.14M,355.55M,47.76M,11.24M,178.55M,823.72M,319.96M,8.416B,11.60B,0.004M,6.624B,762.63M,3.185B,4.976B,2.423B,498.52M,186.44M,684.19M
TWTR,2019-06,-46.94M,6.687B,277.96M,1.099B,72.95M,1.46,1.43,1.298B,3.132B,563.42M,2019-06,1.120B,4.57M,4.57M,1.677B,23.39M,2.395B,75.69M,438.91M,87.78M,-1.032B,159.24M,841.38M,328.49M,8.345B,12.52B,0.004M,7.513B,1.734B,4.177B,5.009B,2.443B,487.73M,243.35M,719.90M
TWTR,2019-03,-56.66M,6.460B,264.01M,1.091B,35.50M,0.25,0.25,1.269B,2.977B,522.88M,2019-03,190.80M,3.281M,3.281M,1.620B,20.26M,2.395B,93.66M,376.08M,96.50M,-94.30M,146.25M,786.89M,282.98M,7.089B,11.15B,0.004M,7.256B,1.622B,4.056B,3.889B,2.435B,429.22M,212.41M,684.22M
TWTR,2018-12,-65.31M,6.209B,268.34M,965.37M,38.95M,0.34,0.33,1.272B,2.165B,640.49M,2018-12,255.30M,-0.26M,-0.26M,885.08M,17.85M,1.755B,206.91M,356.16M,206.54M,-48.77M,141.17M,908.84M,292.41M,6.806B,10.16B,0.004M,7.111B,1.516B,3.357B,3.052B,1.841B,433.58M,184.92M,788.70M
TWTR,2018-09,-63.09M,5.957B,243.64M,960.39M,50.74M,1.04,1.02,1.273B,2.233B,514.47M,2018-09,789.18M,-2.269M,-2.269M,904.03M,20.73M,1.747B,91.87M,311.64M,87.26M,-701.92M,150.76M,758.11M,271.84M,6.453B,9.746B,0.004M,6.720B,1.458B,3.294B,3.026B,1.836B,422.60M,153.17M,621.94M
TWTR,2018-06,-56.43M,5.661B,230.18M,82.06M,67.46M,0.13,0.13,1.278B,2.187B,480.36M,2018-06,100.12M,-8.022M,-8.022M,914.80M,17.08M,2.614B,79.62M,352.17M,65.87M,-34.25M,138.57M,710.54M,262.16M,5.571B,8.861B,0.004M,6.541B,594.42M,3.290B,2.321B,2.696B,400.73M,194.30M,614.94M
TWTR,2018-03,-22.32M,4.529B,222.82M,86.57M,29.07M,0.08,0.08,1.236B,2.027B,442.05M,2018-03,61.00M,-10.83M,-10.83M,801.91M,15.54M,1.722B,74.92M,320.37M,63.88M,2.885M,123.35M,664.87M,243.78M,5.210B,7.539B,0.004M,5.409B,528.65M,2.329B,2.130B,1.800B,367.12M,167.96M,611.84M
TWTR,2017-12,-31.58M,4.403B,217.98M,84.98M,27.82M,0.12,0.12,1.239B,1.928B,513.58M,2017-12,91.08M,-13.35M,-13.35M,773.72M,13.24M,1.709B,110.10M,371.92M,93.55M,2.474M,134.00M,731.56M,269.49M,5.047B,7.412B,0.004M,5.322B,583.28M,2.365B,2.091B,1.782B,403.48M,207.07M,664.27M
