Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Research and Development Expense,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
TXN,2020-12,-360.00M,6.568B,1.43B,550.00M,0,1.837,1.8,4.636B,5.781B,2.646B,2020-12,1.955B,1.688B,-48.00M,-48.00M,3.269B,440.00M,6.497B,1.86B,1.073B,1.927B,239.00M,388.00M,4.076B,398.00M,9.187B,19.35B,1.741B,10.24B,2.39B,10.16B,9.112B,7.774B,786.00M,549.00M,1.414B
TXN,2020-09,-335.00M,5.518B,1.364B,550.00M,0,1.47,1.45,4.684B,5.698B,2.453B,2020-09,2.072B,1.353B,-49.00M,-49.00M,3.19B,69.00M,6.247B,1.66B,979.00M,1.587B,234.00M,386.00M,3.817B,407.00M,8.325B,18.21B,1.741B,9.259B,2.185B,9.882B,8.948B,7.697B,793.00M,455.00M,1.392B
TXN,2020-06,-334.00M,4.96B,1.157B,551.00M,0,1.5,1.48,4.743B,5.741B,2.082B,2020-06,2.136B,1.38B,-48.00M,-48.00M,3.201B,60.00M,6.245B,1.302B,1.107B,1.279B,-101.00M,379.00M,3.239B,401.00M,7.644B,17.44B,1.741B,8.488B,2.163B,9.801B,8.957B,7.638B,780.00M,588.00M,1.176B
TXN,2020-03,-328.00M,4.742B,1.241B,1.051B,0,1.25,1.24,4.79B,5.736B,2.088B,2020-03,2.003B,1.174B,-45.00M,-45.00M,3.233B,64.00M,5.499B,1.294B,977.00M,1.224B,50.00M,377.00M,3.329B,417.00M,7.734B,17.28B,1.741B,8.31B,2.381B,9.549B,8.973B,7.168B,794.00M,425.00M,1.316B
TXN,2019-12,-347.00M,5.387B,1.253B,500.00M,0,1.147,1.12,4.771B,5.74B,2.097B,2019-12,2.001B,1.07B,-45.00M,-45.00M,3.303B,376.00M,5.562B,1.299B,909.00M,1.257B,187.00M,386.00M,3.35B,412.00M,8.907B,18.02B,1.741B,8.761B,2.123B,9.111B,9.257B,6.988B,798.00M,434.00M,1.074B
TXN,2019-09,-443.00M,5.067B,1.325B,499.00M,0,1.51,1.49,4.829B,5.683B,2.446B,2019-09,2.04B,1.425B,-43.00M,-43.00M,3.318B,49.00M,5.302B,1.668B,899.00M,1.58B,155.00M,379.00M,3.771B,399.00M,8.985B,17.99B,1.741B,8.713B,2.007B,9.007B,9.279B,7.00B,778.00M,455.00M,1.342B
TXN,2019-06,-457.00M,4.218B,1.308B,1.249B,0,1.38,1.36,4.919B,5.706B,2.36B,2019-06,2.079B,1.305B,-44.00M,-44.00M,3.365B,49.00M,4.558B,1.55B,921.00M,1.514B,209.00M,390.00M,3.668B,420.00M,8.486B,17.38B,1.741B,7.956B,2.646B,8.898B,9.428B,6.252B,810.00M,499.00M,1.419B
TXN,2019-03,-465.00M,4.086B,1.333B,750.00M,0,1.29,1.26,5.009B,5.642B,2.261B,2019-03,2.131B,1.217B,-38.00M,-38.00M,3.318B,43.00M,5.057B,1.458B,1.067B,1.377B,160.00M,389.00M,3.594B,414.00M,8.519B,17.44B,1.741B,7.951B,2.159B,8.924B,9.492B,6.765B,803.00M,590.00M,1.44B
TXN,2018-12,-473.00M,4.233B,1.31B,749.00M,0,1.3,1.27,5.079B,5.425B,2.407B,2018-12,2.217B,1.239B,-36.00M,-36.00M,3.183B,288.00M,4.319B,1.593B,1.001B,1.503B,264.00M,400.00M,3.717B,414.00M,8.994B,17.14B,1.741B,8.097B,2.474B,8.143B,9.04B,5.669B,814.00M,581.00M,1.207B
TXN,2018-09,-354.00M,5.113B,1.457B,749.00M,0,1.61,1.58,5.163B,5.25B,2.804B,2018-09,2.116B,1.57B,-36.00M,-36.00M,3.051B,43.00M,4.318B,2.018B,1.02B,1.924B,354.00M,390.00M,4.261B,396.00M,10.52B,18.57B,1.741B,9.468B,2.382B,8.057B,9.105B,5.675B,786.00M,596.00M,1.585B
TXN,2018-06,-371.00M,5.13B,1.398B,500.00M,0,1.43,1.4,5.25B,5.025B,2.619B,2018-06,2.09B,1.405B,-30.00M,-30.00M,2.855B,50.00M,5.066B,1.794B,994.00M,1.706B,301.00M,384.00M,4.017B,441.00M,10.63B,18.53B,1.741B,9.592B,1.466B,7.893B,8.935B,6.427B,825.00M,612.00M,1.551B
TXN,2018-03,-392.00M,4.079B,1.342B,500.00M,0,1.38,1.35,5.33B,4.907B,2.447B,2018-03,2.032B,1.366B,-23.00M,-23.00M,2.736B,53.00M,3.578B,1.629B,1.016B,1.553B,187.00M,385.00M,3.789B,433.00M,10.64B,17.51B,1.741B,8.59B,1.86B,6.865B,8.917B,5.005B,818.00M,621.00M,1.454B
TXN,2017-12,-384.00M,4.469B,1.31B,499.00M,0,0.3492,0.34,5.418B,4.789B,2.44B,2017-12,1.957B,344.00M,-21.00M,-21.00M,2.664B,78.00M,3.577B,1.645B,1.036B,1.55B,1.206B,386.00M,3.75B,409.00M,10.34B,17.64B,1.741B,8.734B,2.258B,7.305B,8.908B,5.047B,795.00M,594.00M,1.278B
TXN,2017-09,-505.00M,3.444B,1.46B,499.00M,0,1.29,1.26,5.498B,4.668B,2.656B,2017-09,1.908B,1.285B,-19.00M,-19.00M,2.567B,694.00M,3.084B,1.869B,921.00M,1.789B,504.00M,375.00M,4.116B,412.00M,10.99B,16.93B,1.741B,7.991B,2.055B,5.941B,8.938B,3.886B,787.00M,504.00M,1.576B
TXN,2017-06,-520.00M,2.984B,1.319B,378.00M,0,1.05,1.03,5.581B,4.656B,2.374B,2017-06,1.947B,1.056B,-20.00M,-20.00M,2.514B,668.00M,3.084B,1.562B,889.00M,1.486B,430.00M,378.00M,3.693B,434.00M,10.71B,16.44B,1.741B,7.511B,1.877B,5.73B,8.927B,3.853B,812.00M,536.00M,1.469B
TXN,2017-03,-527.00M,3.049B,1.258B,631.00M,0,0.99,0.97,5.662B,4.833B,2.144B,2017-03,1.843B,997.00M,-18.00M,-18.00M,2.501B,660.00M,2.98B,1.336B,872.00M,1.255B,258.00M,369.00M,3.402B,439.00M,10.64B,15.98B,1.741B,7.04B,1.602B,5.339B,8.938B,3.737B,808.00M,506.00M,1.337B
TXN,2016-12,-526.00M,3.49B,1.277B,634.00M,0,1.051,1.02,5.678B,4.923B,2.137B,2016-12,1.79B,1.047B,-19.00M,-19.00M,2.512B,33.00M,2.978B,1.392B,923.00M,1.497B,450.00M,340.00M,3.414B,405.00M,10.47B,16.43B,1.741B,7.457B,2.264B,5.958B,8.974B,3.694B,745.00M,479.00M,1.267B
TXN,2016-09,-542.00M,3.137B,1.391B,637.00M,0,1,0.98,5.756B,4.982B,2.284B,2016-09,1.808B,1.018B,-18.00M,-18.00M,2.545B,582.00M,2.977B,1.489B,889.00M,1.381B,363.00M,353.00M,3.675B,442.00M,10.29B,16.22B,1.741B,7.181B,2.17B,5.93B,9.035B,3.76B,795.00M,496.00M,1.447B
TXN,2016-06,-536.00M,2.539B,1.266B,1.249B,0,0.81,0.79,5.838B,5.152B,2.007B,2016-06,1.876B,819.00M,-21.00M,-21.00M,2.557B,572.00M,2.975B,1.212B,861.00M,1.102B,283.00M,341.00M,3.273B,454.00M,9.962B,15.69B,1.741B,6.689B,1.991B,5.731B,9.004B,3.74B,795.00M,474.00M,1.348B
TXN,2016-03,-531.00M,2.80B,1.179B,0,0,0.7,0.69,5.918B,5.29B,1.829B,2016-03,1.805B,711.00M,-22.00M,-22.00M,2.554B,420.00M,2.869B,1.066B,831.00M,950.00M,239.00M,322.00M,3.008B,441.00M,9.782B,15.69B,1.741B,6.659B,2.42B,5.904B,9.027B,3.484B,763.00M,454.00M,1.269B
TXN,2015-12,-532.00M,3.218B,1.308B,1.00B,3.00M,0.8267,0.8,5.991B,5.465B,1.881B,2015-12,1.691B,836.00M,-22.00M,-22.00M,2.596B,413.00M,3.12B,1.203B,891.00M,1.139B,303.00M,293.00M,3.189B,385.00M,9.946B,16.23B,1.741B,7.074B,2.555B,6.284B,9.156B,3.729B,678.00M,481.00M,1.165B
TXN,2015-09,-513.00M,2.735B,1.432B,1.00B,3.00M,0.77,0.76,6.078B,5.742B,1.997B,2015-09,1.771B,798.00M,-22.00M,-22.00M,2.629B,691.00M,3.132B,1.247B,882.00M,1.148B,350.00M,316.00M,3.429B,434.00M,9.97B,16.54B,1.741B,7.289B,2.50B,6.57B,9.251B,4.07B,750.00M,451.00M,1.481B
TXN,2015-06,-514.00M,3.306B,1.351B,1.75B,4.00M,0.66,0.65,6.167B,6.097B,1.881B,2015-06,1.885B,696.00M,-24.00M,-24.00M,2.685B,746.00M,3.134B,1.091B,959.00M,989.00M,293.00M,320.00M,3.232B,470.00M,10.20B,17.53B,1.741B,8.06B,3.193B,7.327B,9.472B,4.134B,790.00M,534.00M,1.434B
TXN,2015-03,-531.00M,3.304B,1.334B,1.00B,2.00M,0.62,0.61,6.257B,6.177B,1.816B,2015-03,1.844B,656.00M,-22.00M,-22.00M,2.758B,800.00M,3.638B,1.039B,933.00M,940.00M,284.00M,338.00M,3.15B,439.00M,10.37B,17.35B,1.741B,7.692B,2.286B,6.977B,9.654B,4.691B,777.00M,507.00M,1.394B
TXN,2014-12,-532.00M,3.541B,1.374B,1.001B,2.00M,0.7882,0.76,6.347B,6.266B,1.895B,2014-12,1.784B,825.00M,5.00M,5.00M,2.84B,469.00M,3.63B,1.155B,1.006B,1.087B,262.00M,311.00M,3.269B,429.00M,10.39B,17.37B,1.741B,7.421B,2.658B,6.982B,9.951B,4.324B,740.00M,508.00M,1.246B
TXN,2014-09,-468.00M,3.186B,1.457B,1.002B,1.00M,0.77,0.76,6.437B,6.393B,2.044B,2014-09,1.751B,826.00M,-23.00M,-23.00M,2.93B,921.00M,3.643B,1.249B,1.026B,1.155B,329.00M,332.00M,3.501B,463.00M,10.47B,17.90B,1.741B,7.756B,2.643B,7.429B,10.14B,4.786B,795.00M,499.00M,1.477B
TXN,2014-06,-512.00M,2.804B,1.411B,254.00M,1.00M,0.63,0.62,6.525B,6.452B,1.881B,2014-06,1.744B,683.00M,-24.00M,-24.00M,3.044B,923.00M,4.394B,1.06B,1.063B,961.00M,278.00M,349.00M,3.292B,472.00M,10.47B,17.81B,1.741B,7.456B,1.803B,7.344B,10.35B,5.541B,821.00M,511.00M,1.527B
TXN,2014-03,-520.00M,4.032B,1.376B,1.00B,2.00M,0.44,0.44,6.615B,6.426B,1.607B,2014-03,1.714B,487.00M,-25.00M,-25.00M,3.179B,974.00M,4.652B,762.00M,1.106B,671.00M,184.00M,366.00M,2.983B,479.00M,10.62B,18.94B,1.741B,8.36B,2.471B,8.315B,10.58B,5.844B,845.00M,506.00M,1.355B
