Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Research and Development Expense,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
TYL,2020-12,-0.046M,675.81M,144.62M,5.904M,461.28M,1.34,1.29,1.170B,324.65M,138.67M,2020-12,0,54.09M,0.99M,0.99M,186.74M,40.61M,16.28M,48.04M,97.10M,48.41M,-5.682M,22.41M,283.28M,62.74M,1.986B,2.607B,0.481M,1.113B,564.28M,621.16M,1.494B,56.89M,90.63M,14.01M,403.92M
TYL,2020-09,-0.046M,574.28M,142.24M,5.78M,436.50M,0.98,0.94,1.182B,186.15M,143.51M,2020-09,0,39.28M,0.586M,0.586M,186.15M,46.10M,12.87M,49.66M,92.76M,49.94M,10.65M,21.64M,285.75M,66.82M,1.898B,2.492B,0.481M,990.60M,535.04M,594.02M,1.502B,58.97M,93.85M,11.07M,383.42M
TYL,2020-06,-0.046M,403.69M,139.89M,6.217M,423.04M,1.35,1.3,1.194B,191.63M,131.20M,2020-06,0,53.89M,0,0,191.63M,44.88M,14.13M,41.34M,65.01M,41.81M,-12.08M,21.95M,271.09M,62.52M,1.829B,2.383B,0.481M,873.94M,494.26M,553.27M,1.509B,59.01M,89.86M,8.64M,433.67M
TYL,2020-03,-0.046M,340.24M,147.41M,6.373M,365.96M,1.2,1.16,1.207B,193.45M,129.13M,2020-03,0,47.55M,0,0,193.45M,45.94M,15.55M,33.89M,72.72M,34.88M,-12.67M,22.36M,276.54M,67.48M,1.713B,2.219B,0.481M,712.22M,445.06M,506.54M,1.507B,61.49M,95.24M,12.96M,334.80M
TYL,2019-12,-0.046M,272.08M,146.56M,6.387M,412.50M,1.2,1.15,1.219B,303.44M,142.28M,2019-12,0,46.79M,0,0,190.85M,48.64M,16.82M,45.16M,90.21M,47.79M,1.00M,21.17M,288.84M,70.26M,1.617B,2.192B,0.481M,679.70M,509.09M,574.56M,1.512B,65.46M,97.12M,14.98M,380.57M
TYL,2019-09,-0.046M,194.37M,144.68M,6.413M,391.56M,1.04,1,1.204B,190.12M,130.72M,2019-09,0,40.39M,0,0,190.12M,40.54M,18.13M,40.05M,78.84M,40.55M,0.162M,21.13M,275.40M,63.89M,1.520B,2.055B,0.481M,569.81M,476.81M,535.49M,1.485B,58.68M,90.66M,9.06M,347.99M
TYL,2019-06,-0.046M,42.37M,147.26M,6.039M,368.49M,0.83,0.8,1.213B,190.50M,127.86M,2019-06,0,32.00M,0,0,190.50M,40.30M,33.77M,36.67M,79.20M,36.42M,4.42M,20.10M,275.12M,65.83M,1.422B,1.949B,0.481M,453.57M,453.73M,527.80M,1.496B,74.07M,91.19M,8.311M,381.38M
TYL,2019-03,-0.046M,76.40M,131.02M,5.777M,319.90M,0.71,0.69,1.224B,184.68M,116.05M,2019-03,0,27.35M,0,0,184.68M,43.22M,103.96M,34.49M,77.70M,35.08M,7.729M,18.94M,247.07M,57.77M,1.359B,1.909B,0.481M,402.27M,403.38M,550.56M,1.507B,147.18M,81.56M,13.88M,298.98M
TYL,2018-12,-0.046M,178.58M,126.11M,0,350.51M,0.82,0.79,1.031B,244.52M,115.87M,2018-12,0,31.55M,0,0,155.18M,42.22M,0,38.93M,73.39M,40.11M,8.555M,17.34M,241.98M,55.13M,1.325B,1.791B,0.481M,518.86M,423.90M,466.12M,1.272B,42.22M,76.94M,6.91M,303.61M
TYL,2018-09,-0.046M,271.80M,124.44M,0,326.42M,1,0.96,1.032B,0,111.63M,2018-09,0,38.92M,0,0,156.50M,45.46M,0,37.58M,70.62M,38.63M,-0.298M,17.05M,236.07M,52.60M,1.422B,1.865B,0.481M,601.69M,397.04M,442.50M,1.263B,45.46M,74.04M,4.597M,294.80M
TYL,2018-06,-0.046M,152.71M,126.78M,0,316.08M,1.02,0.97,1.033B,224.01M,109.28M,2018-06,0,39.16M,0,0,154.46M,45.59M,10.00M,37.14M,57.80M,37.70M,-1.461M,15.83M,236.06M,52.26M,1.340B,1.760B,0.481M,501.99M,373.88M,419.47M,1.258B,45.59M,72.13M,4.839M,312.35M
TYL,2018-03,-0.046M,276.47M,118.37M,0,268.13M,1,0.95,878.80M,180.85M,102.80M,2018-03,0,37.82M,0,0,154.25M,44.86M,34.00M,38.84M,51.42M,39.44M,1.612M,13.05M,221.17M,47.60M,1.261B,1.626B,0.481M,532.64M,319.55M,364.41M,1.093B,44.86M,63.97M,6.421M,223.80M
TYL,2017-12,-0.046M,229.08M,112.35M,0,298.61M,1.64,1.56,887.60M,0,105.35M,2017-12,0,66.20M,0,0,152.32M,48.15M,135.00M,44.35M,72.85M,45.26M,-20.94M,12.02M,217.70M,45.62M,1.192B,1.611B,0.481M,520.82M,371.46M,419.62M,1.091B,48.15M,61.00M,8.174M,257.53M
