Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
UA,2020-12,-59.18M,1.517B,710.14M,162.56M,0,0.41,0.4,515.51M,2.079B,693.62M,2020-12,895.97M,184.45M,-15.01M,-15.01M,1.195B,0,1.843B,107.84M,954.81M,219.48M,34.69M,1.404B,585.78M,1.676B,5.031B,0.15M,3.223B,1.413B,3.355B,1.808B,1.941B,585.78M,575.95M,527.34M
UA,2020-09,-70.86M,865.61M,746.70M,156.88M,0,0.09,0.09,530.90M,1.241B,686.32M,2020-09,1.057B,38.95M,-14.96M,-14.96M,1.241B,0,1.870B,132.77M,952.41M,36.43M,-3.714M,1.433B,553.55M,1.470B,4.864B,0.15M,2.973B,1.448B,3.393B,1.890B,1.945B,553.55M,643.32M,806.92M
UA,2020-06,-71.54M,1.079B,358.47M,398.41M,0,-0.4,-0.4,525.62M,1.271B,349.17M,2020-06,1.199B,-182.90M,-11.34M,-11.34M,1.271B,0,1.880B,-130.74M,930.69M,-185.85M,-3.137M,707.64M,479.91M,1.423B,5.003B,0.15M,3.089B,1.619B,3.580B,1.914B,1.961B,479.91M,664.29M,568.43M
UA,2020-03,-70.25M,959.32M,499.26M,729.76M,0,-1.3,-1.3,526.16M,1.310B,430.98M,2020-03,940.24M,-589.68M,-5.96M,-5.96M,1.310B,0,1.507B,-121.72M,684.51M,-562.61M,21.55M,930.24M,552.70M,1.550B,4.838B,0.15M,2.868B,1.692B,3.287B,1.970B,1.596B,552.70M,417.40M,668.41M
UA,2019-12,-50.76M,788.07M,759.70M,125.90M,0,-0.03,-0.03,586.52M,2.194B,681.53M,2019-12,892.26M,-15.30M,-5.359M,-5.359M,1.384B,0,1.173B,74.07M,992.89M,65.25M,38.29M,1.441B,607.45M,2.150B,4.844B,0.149M,2.702B,1.422B,2.693B,2.141B,1.271B,607.45M,618.19M,708.71M
UA,2019-09,-49.37M,416.60M,739.56M,119.45M,0,0.23,0.23,579.61M,1.375B,689.90M,2019-09,906.54M,102.32M,-5.655M,-5.655M,1.375B,0,1.180B,138.92M,792.93M,132.84M,29.34M,1.429B,550.98M,2.154B,4.634B,0.149M,2.459B,1.200B,2.480B,2.175B,1.280B,550.98M,483.63M,843.50M
UA,2019-06,-39.49M,455.73M,637.41M,116.22M,0,-0.04,-0.04,588.29M,1.402B,554.32M,2019-06,965.71M,-17.35M,-5.988M,-5.988M,1.402B,0,1.193B,-11.48M,911.44M,-18.60M,-5.74M,1.192B,565.80M,2.048B,4.680B,0.149M,2.444B,1.333B,2.632B,2.235B,1.299B,565.80M,607.38M,735.18M
UA,2019-03,-40.18M,288.73M,659.94M,107.25M,0,0.05,0.05,588.84M,1.401B,544.79M,2019-03,875.25M,22.48M,-4.238M,-4.238M,1.401B,0,1.185B,35.26M,645.59M,30.35M,8.131M,1.205B,509.53M,2.050B,4.436B,0.149M,2.207B,1.094B,2.386B,2.229B,1.292B,509.53M,377.40M,743.68M
UA,2018-12,-38.99M,557.40M,764.75M,25.00M,0,0.01,0.01,588.29M,1.482B,625.23M,2018-12,1.019B,4.218M,-7.302M,-7.302M,826.87M,0,703.83M,37.78M,901.30M,-17.48M,-21.24M,1.390B,587.45M,2.017B,4.245B,0.148M,2.594B,1.316B,2.228B,1.651B,912.17M,587.45M,560.88M,652.55M
UA,2018-09,-44.36M,168.68M,777.77M,100.00M,0,0.17,0.17,595.00M,821.08M,665.21M,2018-09,1.173B,75.27M,-9.151M,-9.151M,821.08M,0,703.46M,137.57M,802.87M,105.52M,30.87M,1.443B,527.64M,2.006B,4.227B,0.148M,2.587B,1.300B,2.221B,1.640B,921.51M,527.64M,499.47M,867.07M
UA,2018-06,-38.49M,196.88M,648.28M,27.00M,0,-0.21,-0.21,597.04M,835.43M,526.58M,2018-06,1.299B,-95.54M,-8.552M,-8.552M,835.43M,0,752.37M,-26.04M,949.73M,-121.50M,-26.09M,1.175B,552.62M,1.924B,4.241B,0.148M,2.562B,1.338B,2.317B,1.680B,978.84M,552.62M,691.16M,724.94M
UA,2018-03,-21.08M,283.64M,661.92M,162.00M,0,-0.07,-0.07,611.13M,870.12M,523.45M,2018-03,1.148B,-30.24M,-8.564M,-8.564M,870.12M,0,758.70M,8.819M,747.27M,-34.34M,-4.093M,1.185B,514.63M,2.018B,4.264B,0.148M,2.592B,1.317B,2.247B,1.672B,929.53M,514.63M,470.38M,805.41M
UA,2017-12,-38.21M,312.48M,775.66M,152.00M,0,-0.2,-0.2,602.67M,1.413B,593.56M,2017-12,1.159B,-87.92M,-9.301M,-9.301M,885.77M,0,765.05M,-1.136M,857.95M,-48.62M,39.30M,1.369B,594.69M,2.019B,4.006B,0.146M,2.338B,1.060B,1.988B,1.669B,927.35M,594.69M,561.11M,609.67M
UA,2017-09,-36.93M,258.00M,760.26M,297.00M,0,0.12,0.12,607.96M,868.25M,648.73M,2017-09,1.181B,54.24M,-9.575M,-9.575M,868.25M,0,771.38M,147.18M,748.97M,51.54M,-2.706M,1.409B,501.55M,2.101B,4.130B,0.146M,2.457B,1.100B,2.030B,1.674B,929.24M,501.55M,482.90M,733.29M
UA,2017-06,-47.03M,165.68M,590.00M,177.00M,0,-0.03,-0.03,640.31M,875.00M,501.19M,2017-06,1.169B,-12.31M,-7.841M,-7.841M,875.00M,0,777.72M,-1.687M,715.89M,-15.51M,-3.202M,1.091B,502.88M,2.024B,3.894B,0.147M,2.166B,936.54M,1.870B,1.728B,933.93M,502.88M,483.21M,602.80M
UA,2017-03,-48.21M,172.13M,611.91M,77.00M,0,-0.01,-0.01,633.37M,830.54M,507.94M,2017-03,901.61M,-2.272M,-7.82M,-7.82M,830.54M,0,784.05M,7.536M,512.17M,2.286M,4.558M,1.120B,500.40M,2.020B,3.577B,0.147M,1.906B,627.54M,1.557B,1.671B,929.59M,500.40M,294.86M,629.24M
UA,2016-12,-52.14M,250.47M,721.57M,27.00M,0,0.24,0.23,627.90M,1.201B,591.71M,2016-12,917.49M,103.23M,-7.958M,-7.958M,804.21M,0,790.39M,163.90M,618.43M,154.21M,50.98M,1.313B,427.81M,2.031B,3.644B,0.145M,1.965B,685.82M,1.613B,1.679B,927.62M,427.81M,409.68M,622.68M
UA,2016-09,-50.03M,179.95M,772.95M,277.00M,0,0.29,0.29,645.15M,751.29M,698.62M,2016-09,970.62M,128.22M,-8.189M,-8.189M,751.29M,0,796.77M,199.31M,492.51M,190.35M,62.12M,1.472B,499.31M,1.923B,3.685B,0.145M,2.027B,857.25M,1.762B,1.659B,904.93M,499.31M,254.22M,713.73M
UA,2016-06,-45.26M,121.22M,523.14M,177.00M,0,-0.12,-0.12,650.99M,712.87M,477.65M,2016-06,1.087B,6.344M,-5.754M,-5.754M,712.87M,0,838.12M,19.38M,502.29M,10.67M,4.325M,1.001B,458.27M,1.771B,3.427B,0.146M,1.849B,709.35M,1.656B,1.578B,946.22M,458.27M,332.06M,460.96M
UA,2016-03,-43.83M,157.00M,567.07M,167.00M,0,0.04,0.04,662.11M,601.91M,480.64M,2016-03,834.29M,19.18M,-4.532M,-4.532M,601.91M,0,767.52M,34.88M,408.32M,33.05M,13.87M,1.048B,445.75M,1.741B,3.218B,0.146M,1.769B,605.90M,1.477B,1.449B,870.91M,445.75M,184.24M,566.29M
UA,2015-12,-45.01M,129.85M,609.02M,42.00M,0,0.245,0.24,660.87M,831.76M,561.67M,2015-12,783.03M,105.60M,-4.056M,-4.056M,538.53M,0,624.07M,177.58M,393.40M,171.33M,65.73M,1.171B,384.09M,1.668B,2.866B,0.144M,1.499B,478.81M,1.198B,1.367B,718.94M,384.09M,200.46M,433.64M
UA,2015-09,-39.06M,159.40M,616.95M,342.12M,0,0.23,0.23,671.56M,478.42M,587.16M,2015-09,867.08M,100.48M,-4.10M,-4.10M,478.42M,0,562.55M,171.40M,462.55M,164.06M,63.58M,1.204B,415.76M,1.535B,3.036B,0.072M,1.773B,848.60M,1.500B,1.262B,651.64M,415.76M,274.28M,551.19M
UA,2015-06,-27.40M,171.24M,404.52M,42.74M,0,0.03,0.03,675.52M,430.54M,379.05M,2015-06,836.60M,14.77M,-4.262M,-4.262M,430.54M,0,673.00M,31.90M,526.26M,27.68M,12.91M,783.58M,347.15M,1.416B,2.762B,0.072M,1.558B,591.30M,1.347B,1.204B,755.38M,347.15M,375.43M,353.41M
UA,2015-03,-27.11M,232.04M,427.28M,43.35M,0,0.03,0.03,682.57M,359.49M,377.66M,2015-03,577.95M,11.73M,-2.21M,-2.21M,359.49M,0,633.50M,27.67M,389.53M,23.62M,11.89M,804.94M,350.00M,1.385B,2.548B,0.072M,1.434B,448.22M,1.164B,1.114B,715.31M,350.00M,252.05M,395.92M
