Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
UAL,2021-03,-1.126B,12.98B,5.02B,2.585B,6.753B,-4.29,-4.29,7.367B,53.39B,-1.799B,2021-03,918.00M,-1.357B,-329.00M,-329.00M,36.43B,4.858B,31.07B,-948.00M,4.105B,-1.751B,-394.00M,3.221B,85.00M,5.206B,61.66B,4.00M,16.02B,14.17B,56.46B,45.64B,42.29B,-851.00M,1.838B,1.389B
UAL,2020-12,-1.139B,11.68B,4.79B,2.705B,5.741B,-6.083,-6.39,7.365B,52.43B,-1.378B,2020-12,932.00M,-1.897B,-329.00M,-329.00M,36.00B,5.067B,30.05B,-1.831B,3.555B,-2.373B,-476.00M,3.412B,80.00M,5.96B,59.55B,4.00M,14.80B,12.72B,53.59B,44.75B,40.86B,453.00M,1.595B,1.295B
UAL,2020-09,-1.009B,13.70B,4.453B,5.343B,5.679B,-6.33,-6.33,7.379B,52.36B,-1.964B,2020-09,961.00M,-1.841B,-321.00M,-321.00M,36.19B,5.452B,27.52B,-1.202B,3.825B,-2.332B,-491.00M,2.489B,53.00M,7.003B,61.19B,3.00M,16.48B,15.79B,54.19B,44.71B,38.40B,-762.00M,1.831B,1.171B
UAL,2020-06,-1.259B,7.463B,4.002B,5.145B,7.298B,-5.79,-5.79,7.375B,52.05B,-2.527B,2020-06,955.00M,-1.627B,-168.00M,-168.00M,36.47B,5.634B,19.75B,-1.497B,3.394B,-2.003B,-376.00M,1.475B,31.00M,8.517B,54.90B,3.00M,10.04B,16.40B,46.38B,44.86B,29.99B,-1.03B,1.725B,857.00M
UAL,2020-03,-771.00M,5.221B,7.14B,4.802B,6.664B,-6.86,-6.86,7.468B,51.68B,839.00M,2020-03,1.07B,-1.704B,-124.00M,-124.00M,36.66B,5.455B,18.63B,-909.00M,4.083B,-2.114B,-410.00M,7.979B,295.00M,9.418B,53.06B,3.00M,7.905B,16.09B,43.64B,45.15B,27.55B,1.748B,2.436B,792.00M
UAL,2019-12,-718.00M,4.944B,7.85B,2.139B,7.259B,2.552,2.53,7.532B,49.46B,3.038B,2019-12,1.072B,641.00M,-111.00M,-111.00M,34.93B,4.572B,18.31B,991.00M,4.974B,844.00M,203.00M,10.89B,417.00M,11.53B,52.61B,3.00M,8.194B,14.94B,41.08B,44.42B,26.14B,2.047B,2.703B,1.364B
UAL,2019-09,-504.00M,5.126B,7.857B,2.113B,8.052B,4.01,3.99,7.637B,48.42B,3.523B,2019-09,1.065B,1.024B,-133.00M,-133.00M,34.27B,4.276B,18.03B,1.50B,4.952B,1.349B,325.00M,11.38B,432.00M,11.30B,52.20B,3.00M,8.533B,15.69B,40.90B,43.67B,25.21B,2.023B,2.848B,1.617B
UAL,2019-06,-807.00M,5.444B,7.871B,2.009B,8.561B,4.03,4.02,7.652B,47.52B,3.531B,2019-06,996.00M,1.052B,-132.00M,-132.00M,33.83B,3.955B,18.17B,1.543B,4.904B,1.354B,302.00M,11.40B,442.00M,10.32B,52.15B,3.00M,8.91B,16.08B,41.83B,43.24B,25.75B,1.988B,3.033B,1.762B
UAL,2019-03,-793.00M,4.067B,7.208B,1.973B,8.394B,1.09,1.09,7.667B,47.39B,2.381B,2019-03,972.00M,292.00M,-137.00M,-137.00M,33.65B,3.648B,18.12B,513.00M,4.367B,367.00M,75.00M,9.589B,360.00M,9.802B,50.64B,3.00M,7.608B,15.34B,40.84B,43.03B,25.50B,1.868B,2.707B,1.789B
UAL,2018-12,-803.00M,3.95B,7.651B,2.072B,6.667B,1.712,1.7,7.682B,45.93B,2.84B,2018-12,985.00M,461.00M,-123.00M,-123.00M,32.66B,3.547B,17.72B,936.00M,4.547B,553.00M,92.00M,10.49B,396.00M,10.04B,49.02B,3.00M,7.094B,13.84B,38.98B,41.93B,25.14B,1.904B,2.363B,1.426B
