Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
UDR,2020-12,-9.144M,1.409M,251.12M,218.02M,0,0.09,0.09,200.91M,51.27M,2020-12,197.31M,26.53M,-63.55M,-63.55M,200.91M,0,4.954B,31.06M,301.50M,29.22M,0.668M,302.38M,11.98M,3.234B,9.638B,47.73M,182.16M,519.52M,6.379B,9.455B,5.859B,20.20M,256.74M,157.99M
UDR,2020-09,-10.49M,0.927M,258.54M,252.09M,0,-0.09,-0.09,201.75M,51.50M,2020-09,131.58M,-25.26M,-60.08M,-60.08M,201.75M,0,4.862B,30.12M,297.10M,-27.03M,0.187M,310.04M,11.96M,3.313B,9.551B,47.71M,378.51M,549.18M,6.218B,9.173B,5.669B,21.39M,266.49M,157.00M
UDR,2020-06,-11.94M,0.833M,257.58M,202.18M,0,0.19,0.19,202.59M,49.67M,2020-06,95.24M,57.77M,-36.18M,-36.18M,202.59M,0,4.762B,30.58M,305.56M,63.62M,1.526M,307.26M,10.97M,3.397B,9.564B,47.72M,310.42M,507.74M,6.150B,9.254B,5.642B,19.10M,258.47M,155.96M
UDR,2020-03,-12.87M,0.98M,259.31M,239.80M,0,0.01,0.01,203.41M,62.17M,2020-03,21.84M,5.221M,-36.62M,-36.62M,203.41M,0,4.843B,40.20M,262.14M,5.704M,0.164M,321.48M,14.98M,3.464B,9.691B,49.15M,269.72M,501.94M,6.213B,9.421B,5.711B,21.97M,230.65M,151.54M
UDR,2019-12,-10.45M,8.106M,239.68M,316.58M,0,0.33,0.33,204.22M,65.14M,2019-12,347.01M,97.64M,-58.03M,-58.03M,204.22M,0,4.589B,46.10M,274.06M,105.24M,0.002M,304.82M,14.53M,3.359B,9.636B,49.15M,186.94M,590.64M,6.247B,9.450B,5.657B,19.04M,228.86M,153.65M
UDR,2019-09,-9.022M,1.895M,221.06M,60.00M,0,0.09,0.09,135.89M,74.34M,2019-09,0,27.20M,-40.65M,-40.65M,135.89M,0,4.006B,57.77M,251.23M,30.92M,1.499M,295.39M,12.20M,3.247B,8.698B,49.13M,83.28M,311.23M,5.426B,8.614B,5.115B,16.57M,223.65M,37.90M
UDR,2019-06,-7.838M,0.981M,204.67M,425.38M,0,0.12,0.12,93.94M,76.64M,2019-06,0,35.62M,-33.11M,-33.11M,93.94M,0,3.533B,59.89M,234.81M,38.44M,0.125M,281.31M,12.34M,2.949B,8.197B,49.03M,61.52M,660.19M,5.229B,8.136B,4.569B,16.75M,192.78M,37.49M
UDR,2019-03,-2.97M,1.043M,198.41M,90.00M,0,0.08,0.08,94.14M,72.26M,2019-03,0,24.50M,-23.73M,-23.73M,94.14M,0,3.588B,52.49M,227.48M,28.81M,2.212M,270.67M,12.47M,2.949B,7.956B,49.02M,61.13M,317.48M,4.993B,7.895B,4.676B,19.77M,198.09M,36.97M
UDR,2018-12,-0.067M,185.22M,191.07M,101.13M,0,0.3,0.3,0,76.60M,2018-12,0,82.14M,-36.57M,-36.57M,0,0,3.447B,60.08M,233.36M,89.68M,0.07M,267.67M,10.96M,2.906B,7.712B,48.96M,251.15M,334.50M,4.789B,7.461B,4.454B,16.52M,194.62M,42.26M
UDR,2018-09,0.202M,1.084M,193.56M,466.01M,0,0.07,0.07,0,72.58M,2018-09,0,18.61M,-33.21M,-33.21M,0,0,3.345B,55.69M,235.52M,20.42M,0.158M,266.14M,11.90M,2.593B,7.679B,48.88M,416.10M,701.52M,5.071B,7.263B,4.370B,16.89M,207.76M,41.01M
UDR,2018-06,-1.407M,1.055M,186.94M,404.95M,0,0.07,0.07,0,72.81M,2018-06,335.66M,20.60M,-30.47M,-30.47M,0,0,3.347B,55.92M,229.65M,22.68M,0.233M,259.74M,12.37M,2.757B,7.707B,48.88M,407.29M,634.60M,4.939B,7.300B,4.304B,16.88M,191.45M,40.71M
