Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
UHS,2020-12,48.12M,1.224B,351.32M,391.79M,376.15M,3.63,3.6,3.883B,10.22B,2.736B,2020-12,190.42M,308.71M,-19.89M,-19.89M,5.710B,328.20M,3.803B,413.96M,1.290B,402.38M,94.64M,3.087B,1.497B,6.317B,13.48B,0.851M,3.282B,2.481B,7.075B,10.20B,4.594B,2.322B,767.17M,1.729B
UHS,2020-09,0.578M,1.101B,335.41M,151.72M,0,2.84,2.82,3.854B,9.983B,2.577B,2020-09,176.10M,241.28M,-24.58M,-24.58M,5.579B,24.90M,3.789B,349.67M,1.599B,323.26M,79.17M,2.913B,1.435B,5.963B,12.98B,0.85M,2.961B,2.634B,6.941B,10.01B,4.306B,2.227B,1.599B,1.541B
UHS,2020-06,31.89M,539.62M,283.57M,138.71M,0,2.97,2.95,3.836B,9.734B,2.446B,2020-06,167.63M,251.93M,-25.47M,-25.47M,5.440B,19.17M,3.730B,358.03M,1.498B,335.66M,79.15M,2.730B,1.336B,5.689B,12.15B,0.867M,2.297B,2.259B,6.387B,9.852B,4.128B,2.088B,1.498B,1.439B
UHS,2020-03,4.242M,54.62M,317.83M,127.29M,0,1.64,1.64,3.837B,9.574B,2.512B,2020-03,162.60M,142.04M,-36.35M,-36.35M,5.384B,34.00M,4.020B,236.69M,1.417B,190.78M,46.32M,2.830B,1.461B,5.413B,11.62B,0.914M,1.834B,1.690B,6.135B,9.786B,4.445B,2.275B,1.417B,1.487B
UHS,2019-12,0,61.27M,324.09M,143.99M,0,2.81,2.79,3.870B,9.433B,2.572B,2019-12,159.89M,245.18M,-35.76M,-35.76M,5.343B,25.07M,4.167B,340.98M,894.77M,321.16M,73.15M,2.896B,1.459B,5.504B,11.67B,0,1.916B,1.563B,6.089B,9.752B,4.526B,2.231B,521.08M,1.561B
UHS,2019-09,0,58.90M,313.94M,133.16M,0,1.1,1.1,3.828B,9.297B,2.509B,2019-09,156.28M,97.19M,-41.45M,-41.45M,5.288B,21.21M,4.145B,188.93M,1.344B,138.08M,37.20M,2.822B,1.436B,5.389B,11.59B,0,1.931B,1.622B,6.130B,9.664B,4.509B,2.320B,1.344B,1.544B
UHS,2019-06,0,61.30M,305.86M,148.28M,0,2.67,2.66,3.843B,9.191B,2.549B,2019-06,153.57M,238.32M,-42.94M,-42.94M,5.277B,37.91M,4.333B,345.56M,1.254B,310.81M,69.54M,2.855B,1.410B,5.393B,11.75B,0,1.965B,1.544B,6.288B,9.788B,4.744B,2.204B,1.254B,1.601B
UHS,2019-03,0,62.73M,307.46M,128.13M,0,2.57,2.57,3.857B,9.075B,2.497B,2019-03,149.93M,234.17M,-42.58M,-42.58M,5.257B,35.98M,4.108B,340.44M,1.400B,296.30M,58.90M,2.804B,1.392B,5.482B,11.72B,0,1.960B,1.657B,6.169B,9.761B,4.512B,2.156B,1.400B,1.602B
UHS,2018-12,0,105.22M,300.79M,63.45M,0,1.71,1.7,3.845B,8.563B,2.454B,2018-12,148.21M,158.08M,-35.67M,-35.67M,4.848B,49.66M,3.935B,259.82M,912.76M,207.45M,43.83M,2.754B,1.358B,5.389B,11.27B,0,1.938B,1.449B,5.800B,9.328B,4.351B,2.194B,504.30M,1.510B
UHS,2018-09,0,83.72M,285.20M,342.42M,0,1.85,1.84,3.853B,8.460B,2.364B,2018-09,144.47M,171.75M,-41.47M,-41.47M,4.837B,46.76M,3.684B,257.16M,1.436B,229.07M,54.19M,2.649B,1.343B,5.364B,11.27B,0,1.941B,1.778B,5.834B,9.332B,4.056B,2.107B,1.436B,1.543B
