Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
UNH,2021-03,-3.814B,22.92B,52.48B,8.838B,2.842B,5.143,5.08,82.19B,13.86B,17.27B,2021-03,4.862B,-397.00M,-397.00M,8.626B,3.367B,37.42B,6.287B,24.83B,6.342B,1.364B,69.74B,0,69.31B,205.17B,10.00M,59.51B,80.64B,135.86B,145.66B,55.22B,10.98B,24.83B,15.98B
UNH,2020-12,-4.494B,19.78B,49.70B,4.819B,2.391B,2.338,2.3,78.46B,13.70B,15.32B,2020-12,2.212B,-401.00M,-401.00M,8.151B,3.34B,38.65B,3.072B,44.37B,3.116B,764.00M,65.02B,0,65.49B,197.29B,10.00M,53.72B,72.42B,128.96B,143.57B,56.54B,12.25B,44.37B,12.87B
UNH,2020-09,-4.55B,20.81B,49.57B,3.899B,2.299B,3.34,3.3,78.42B,12.60B,15.19B,2020-09,3.172B,-395.00M,-395.00M,8.126B,3.286B,39.90B,4.30B,42.34B,4.256B,1.00B,64.76B,0,65.23B,190.97B,10.00M,54.82B,66.60B,122.86B,136.15B,56.27B,10.89B,42.34B,25.40B
UNH,2020-06,-5.36B,25.59B,42.18B,6.156B,2.509B,6.99,6.91,75.50B,0,19.62B,2020-06,6.637B,-430.00M,-430.00M,8.173B,3.03B,39.90B,8.90B,44.62B,8.811B,2.115B,61.80B,0,63.62B,192.48B,10.00M,58.92B,69.88B,125.97B,133.56B,56.08B,10.72B,44.62B,23.98B
UNH,2020-03,-3.578B,24.44B,48.69B,15.83B,2.622B,3.56,3.52,76.01B,0,15.37B,2020-03,3.382B,-437.00M,-437.00M,8.704B,2.993B,35.78B,4.631B,45.62B,4.559B,1.094B,64.06B,0,56.98B,189.07B,9.00M,58.81B,78.61B,129.20B,130.26B,50.60B,10.74B,45.62B,24.89B
UNH,2019-12,-3.709B,14.24B,45.79B,3.87B,2.50B,3.735,3.68,75.73B,0,14.68B,2019-12,3.541B,-437.00M,-437.00M,8.501B,2.902B,36.81B,4.662B,40.70B,4.658B,990.00M,60.47B,0,57.62B,173.89B,9.00M,42.63B,61.78B,113.45B,131.26B,51.67B,10.02B,40.70B,11.82B
UNH,2019-09,-3.273B,15.82B,45.67B,6.387B,2.019B,3.73,3.67,72.00B,0,14.22B,2019-09,3.538B,-449.00M,-449.00M,8.681B,2.908B,38.51B,4.548B,39.51B,4.565B,936.00M,59.88B,0,55.00B,173.71B,9.00M,43.54B,62.64B,115.95B,130.17B,53.31B,9.669B,39.51B,21.12B
UNH,2019-06,-3.758B,17.27B,46.78B,7.80B,2.53B,3.47,3.42,68.62B,0,13.23B,2019-06,3.293B,-418.00M,-418.00M,8.23B,2.786B,34.47B,4.162B,38.04B,4.326B,941.00M,60.01B,0,53.10B,167.20B,10.00M,42.04B,62.33B,111.35B,125.16B,49.02B,9.069B,38.04B,18.18B
UNH,2019-03,-4.16B,15.71B,46.32B,3.919B,2.396B,3.62,3.56,68.24B,0,13.58B,2019-03,3.467B,-400.00M,-400.00M,8.458B,2.474B,34.42B,4.427B,38.04B,4.432B,875.00M,59.90B,0,51.72B,161.20B,10.00M,42.82B,58.93B,106.75B,118.38B,47.81B,9.156B,38.04B,20.46B
UNH,2018-12,0,14.32B,44.58B,1.973B,0,3.167,3.1,0,0,13.50B,2018-12,3.04B,-374.00M,-374.00M,0,0,34.58B,4.156B,36.60B,4.123B,959.00M,58.08B,0,51.70B,152.22B,0,38.69B,53.21B,97.90B,113.53B,44.69B,9.34B,36.60B,11.39B
