Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Current Debt & Capital Lease Obligation,EPS Basic,EPS Diluted,Goodwill and Intangibles,Income (Quarterly),Net Income,Net Loan Assets,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
UNM,2020-12,374.20M,1.667B,0,0.66,0.66,436.80M,2020-12,135.40M,6.116B,-45.60M,-45.60M,498.00M,416.10M,3.346B,0,124.70M,-10.70M,4.274B,227.20M,10.87B,70.63B,30.70M,13.92B,0,59.75B,54.33B,4.111B,499.60M,0,12.26B
UNM,2020-09,477.60M,2.190B,0,1.13,1.13,350.60M,2020-09,231.10M,6.076B,-49.40M,-49.40M,508.80M,210.50M,3.379B,459.60M,299.60M,68.50M,2.996B,253.30M,10.89B,69.62B,30.70M,8.664B,459.60M,58.72B,59.14B,3.993B,485.60M,459.60M,6.474B
UNM,2020-06,327.20M,2.768B,399.90M,1.3,1.3,348.90M,2020-06,265.50M,6.118B,-47.50M,-47.50M,518.10M,155.60M,3.393B,568.90M,337.60M,72.10M,3.023B,233.20M,10.56B,69.31B,30.60M,9.179B,968.80M,58.74B,58.68B,3.990B,491.50M,568.90M,6.412B
UNM,2020-03,-217.10M,1.722B,399.80M,0.79,0.79,348.80M,2020-03,161.00M,6.196B,-45.70M,-45.70M,540.70M,93.70M,2.914B,780.30M,202.10M,41.10M,2.874B,239.50M,9.803B,65.34B,30.60M,8.027B,1.180B,55.53B,54.65B,3.422B,477.70M,780.30M,6.306B
UNM,2019-12,37.30M,1.379B,399.70M,1.44,1.44,440.40M,2019-12,296.20M,6.176B,-46.60M,-46.60M,534.10M,95.40M,2.927B,256.70M,377.40M,81.20M,3.035B,221.40M,9.965B,67.01B,30.60M,7.762B,656.40M,57.05B,56.68B,3.386B,467.40M,256.70M,6.384B
UNM,2019-09,-153.20M,1.390B,399.70M,1.16,1.16,348.60M,2019-09,242.00M,6.085B,-46.10M,-46.10M,568.30M,64.10M,3.038B,224.00M,299.40M,57.40M,2.96B,226.50M,9.632B,66.96B,30.60M,7.873B,623.70M,57.32B,56.64B,3.510B,429.00M,224.00M,6.483B
UNM,2019-06,-242.50M,1.428B,0,1.33,1.33,350.10M,2019-06,281.20M,5.852B,-42.60M,-42.60M,556.10M,37.00M,3.341B,250.20M,352.00M,70.80M,3.017B,223.90M,9.453B,65.84B,30.60M,7.897B,250.20M,56.39B,55.47B,3.826B,453.80M,250.20M,6.469B
UNM,2019-03,-502.30M,1.256B,0,1.31,1.31,351.00M,2019-03,280.90M,5.880B,-42.10M,-42.10M,548.20M,0,2.959B,268.30M,353.30M,72.40M,2.988B,226.50M,9.060B,63.92B,30.50M,7.686B,268.30M,54.86B,53.66B,3.376B,464.40M,268.30M,6.430B
UNM,2018-12,-814.20M,1.062B,0,1.15,1.15,447.00M,2018-12,249.10M,6.025B,-42.00M,-42.00M,546.90M,0,2.971B,24.00M,309.70M,60.60M,2.881B,219.80M,8.622B,61.88B,30.50M,7.34B,24.00M,53.25B,51.69B,3.335B,453.10M,24.00M,6.278B
UNM,2018-09,-868.50M,1.452B,0,-1.3,-1.3,346.00M,2018-09,-284.70M,5.942B,-42.70M,-42.70M,521.00M,0,2.984B,238.20M,-377.80M,-93.10M,2.928B,224.20M,8.518B,62.25B,30.50M,7.848B,238.20M,53.73B,51.83B,3.412B,437.10M,238.20M,6.396B
UNM,2018-06,-276.20M,1.533B,200.00M,1.29,1.29,346.50M,2018-06,285.50M,5.736B,-42.40M,-42.40M,510.80M,85.50M,2.998B,307.70M,354.80M,69.30M,2.890B,220.20M,9.446B,62.37B,30.50M,7.980B,507.70M,52.92B,52.09B,3.544B,441.00M,307.70M,6.447B
UNM,2018-03,-82.40M,1.022B,200.00M,1.23,1.23,348.90M,2018-03,273.50M,5.774B,-40.20M,-40.20M,508.40M,128.90M,2.722B,443.50M,341.10M,67.60M,2.900B,221.70M,9.500B,63.01B,30.50M,7.574B,643.50M,53.51B,52.49B,3.284B,445.90M,443.50M,6.552B
UNM,2017-12,127.50M,1.232B,199.90M,1.19,1.19,366.50M,2017-12,266.90M,5.784B,-40.10M,-40.10M,504.80M,199.00M,2.738B,399.10M,345.30M,78.40M,2.839B,201.70M,9.575B,64.01B,30.50M,7.777B,599.00M,54.44B,53.87B,3.310B,432.10M,399.10M,6.545B
UNM,2017-09,124.30M,1.117B,199.90M,1.12,1.12,338.20M,2017-09,252.30M,5.713B,-40.10M,-40.10M,489.90M,231.80M,2.754B,439.00M,366.80M,114.50M,2.819B,223.80M,9.449B,63.81B,30.40M,7.708B,638.90M,54.36B,53.64B,3.416B,415.30M,439.00M,6.591B
UNM,2017-06,104.90M,1.238B,350.70M,1.08,1.07,337.10M,2017-06,245.10M,5.491B,-39.90M,-39.90M,497.10M,247.30M,2.968B,408.30M,361.60M,116.50M,2.822B,217.80M,9.317B,63.38B,30.40M,7.718B,408.30M,54.06B,53.19B,3.673B,422.10M,408.30M,6.480B
