Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
UNP,2021-03,-1.594B,1.243B,2.688B,1.859B,2.01,2,0,77.20B,2.313B,2021-03,659.00M,1.341B,-289.00M,-289.00M,55.64B,12.31B,26.29B,1.993B,2.436B,1.754B,413.00M,5.001B,0,16.25B,61.79B,2.781B,3.719B,4.871B,45.54B,58.07B,40.67B,320.00M,1.709B,1.61B
UNP,2020-12,-1.593B,1.859B,2.622B,1.39B,2.05,2.05,0,77.03B,2.519B,2020-12,638.00M,1.38B,-278.00M,-278.00M,55.77B,12.25B,26.94B,2.006B,2.191B,1.793B,413.00M,5.141B,0,16.96B,62.40B,2.781B,4.214B,4.173B,45.44B,58.18B,41.27B,513.00M,1.348B,1.505B
UNP,2020-09,-1.351B,2.661B,2.589B,2.288B,2.02,2.01,0,77.03B,2.33B,2020-09,649.00M,1.363B,-293.00M,-293.00M,56.02B,12.33B,27.37B,2.031B,2.029B,1.773B,410.00M,4.919B,0,17.20B,63.71B,2.781B,5.13B,4.841B,46.52B,58.58B,41.67B,299.00M,1.308B,1.565B
UNP,2020-06,-1.372B,2.766B,2.355B,2.309B,1.67,1.67,0,76.72B,1.889B,2020-06,668.00M,1.132B,-286.00M,-286.00M,55.97B,12.17B,27.76B,1.654B,2.517B,1.496B,364.00M,4.244B,0,16.45B,63.56B,2.781B,5.083B,5.279B,47.10B,58.47B,41.82B,235.00M,1.648B,1.388B
UNP,2020-03,-1.329B,1.19B,2.788B,1.837B,2.15,2.15,0,76.43B,2.441B,2020-03,692.00M,1.474B,-272.00M,-272.00M,55.89B,12.09B,27.70B,2.143B,2.317B,1.918B,444.00M,5.229B,0,15.99B,62.22B,2.781B,3.804B,4.641B,46.22B,58.41B,41.58B,298.00M,1.57B,1.669B
UNP,2019-12,-1.356B,891.00M,2.881B,1.619B,2.03,2.02,0,76.06B,2.331B,2019-12,751.00M,1.403B,-271.00M,-271.00M,55.73B,11.99B,25.41B,2.10B,2.194B,1.878B,475.00M,5.212B,0,18.13B,61.67B,2.78B,3.459B,4.351B,43.54B,58.21B,39.19B,231.00M,1.345B,1.595B
UNP,2019-09,-1.305B,1.31B,3.005B,1.798B,2.22,2.22,0,76.06B,2.511B,2019-09,771.00M,1.555B,-255.00M,-255.00M,55.42B,11.74B,25.86B,2.234B,2.173B,2.021B,466.00M,5.516B,0,18.02B,61.98B,2.78B,4.073B,4.587B,43.96B,57.90B,39.38B,277.00M,1.394B,1.65B
UNP,2019-06,-1.298B,1.109B,3.089B,2.739B,2.23,2.22,0,75.61B,2.507B,2019-06,775.00M,1.57B,-250.00M,-250.00M,55.19B,11.57B,24.57B,2.26B,2.377B,2.058B,488.00M,5.596B,0,18.17B,61.71B,2.78B,4.086B,5.665B,43.54B,57.62B,37.87B,247.00M,1.497B,1.809B
UNP,2019-03,-1.378B,1.119B,3.119B,2.12B,1.94,1.93,0,75.20B,2.265B,2019-03,780.00M,1.391B,-238.00M,-238.00M,55.00B,11.41B,25.07B,1.96B,2.633B,1.79B,399.00M,5.384B,0,17.74B,61.32B,2.78B,3.953B,5.262B,43.58B,57.37B,38.32B,305.00M,1.835B,1.672B
UNP,2018-12,-1.415B,1.333B,3.326B,1.466B,2.13,2.12,0,72.80B,2.431B,2018-12,742.00M,1.554B,-229.00M,-229.00M,52.68B,11.30B,20.92B,2.21B,2.585B,2.016B,462.00M,5.757B,0,20.42B,59.15B,2.779B,4.163B,4.626B,38.72B,54.98B,34.10B,221.00M,1.673B,1.755B
