Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
UPS,2020-12,-7.113B,6.316B,20.08B,3.183B,-3.75,-3.75,5.641B,65.16B,4.813B,2020-12,620.00M,-3.347B,-175.00M,-175.00M,35.33B,488.00M,24.57B,2.037B,10.02B,-4.288B,-941.00M,24.90B,0,657.00M,62.41B,9.00M,20.22B,17.02B,61.74B,42.19B,44.72B,2.776B,6.455B,10.75B
UPS,2020-09,-6.022B,9.241B,17.26B,2.942B,2.25,2.24,6.105B,65.63B,3.977B,2020-09,511.00M,1.957B,-176.00M,-176.00M,35.19B,2.145B,25.81B,2.363B,8.749B,2.525B,568.00M,21.24B,0,5.592B,62.41B,9.00M,19.93B,15.46B,56.80B,42.48B,41.34B,1.614B,5.609B,8.993B
UPS,2020-06,-5.933B,9.216B,16.63B,4.283B,2.04,2.03,5.994B,64.40B,3.831B,2020-06,421.00M,1.768B,-183.00M,-183.00M,34.44B,1.918B,25.66B,2.212B,8.193B,2.357B,589.00M,20.46B,0,4.363B,62.06B,9.00M,20.23B,16.27B,57.68B,41.83B,41.41B,1.619B,5.271B,9.23B
UPS,2020-03,-5.876B,9.46B,15.37B,4.931B,1.12,1.11,5.952B,63.50B,2.663B,2020-03,0,965.00M,-167.00M,-167.00M,33.95B,1.787B,26.69B,1.072B,7.385B,1.25B,285.00M,18.04B,0,3.299B,60.90B,9.00M,19.39B,15.85B,57.58B,41.51B,41.74B,1.591B,4.779B,8.126B
UPS,2019-12,-5.997B,5.741B,16.61B,3.958B,-0.12,-0.12,5.98B,62.58B,3.959B,2019-12,0,-106.00M,-166.00M,-166.00M,33.34B,1.632B,24.21B,2.133B,8.107B,-198.00M,-92.00M,20.57B,0,3.267B,57.86B,9.00M,17.10B,15.41B,54.57B,40.75B,39.16B,1.826B,5.555B,9.552B
UPS,2019-09,-4.617B,4.538B,14.82B,2.661B,2.03,2.01,5.914B,60.36B,3.502B,2019-09,0,1.75B,-159.00M,-159.00M,31.58B,1.886B,23.80B,2.128B,6.701B,2.206B,456.00M,18.32B,0,5.558B,53.28B,9.00M,14.18B,12.84B,47.71B,39.10B,34.87B,1.374B,4.218B,8.155B
UPS,2019-06,-4.815B,4.797B,14.53B,3.439B,1.95,1.94,5.932B,59.03B,3.522B,2019-06,0,1.685B,-159.00M,-159.00M,30.57B,1.947B,22.45B,2.143B,7.034B,2.204B,519.00M,18.05B,0,4.405B,52.79B,9.00M,14.84B,13.63B,48.36B,37.94B,34.73B,1.379B,4.291B,8.672B
UPS,2019-03,-4.818B,5.111B,14.43B,3.281B,1.28,1.28,5.906B,57.91B,2.734B,2019-03,0,1.111B,-169.00M,-169.00M,29.79B,1.758B,22.47B,1.394B,6.82B,1.44B,329.00M,17.16B,0,3.467B,52.06B,9.00M,14.90B,13.21B,48.58B,37.16B,35.37B,1.34B,3.907B,8.46B
UPS,2018-12,-4.994B,5.035B,16.29B,2.805B,0.52,0.52,5.887B,54.49B,3.558B,2018-12,0,453.00M,-148.00M,-148.00M,26.58B,1.619B,19.93B,2.004B,8.235B,543.00M,90.00M,19.85B,0,3.021B,50.02B,9.00M,16.21B,14.09B,46.98B,33.81B,32.89B,1.554B,5.188B,9.898B
UPS,2018-09,-5.288B,4.841B,14.38B,3.20B,1.74,1.73,5.895B,53.05B,3.064B,2018-09,0,1.508B,-155.00M,-155.00M,25.38B,1.069B,20.10B,1.727B,6.437B,1.889B,381.00M,17.44B,0,3.098B,46.69B,9.00M,13.99B,12.22B,43.56B,32.70B,31.34B,1.337B,3.689B,7.814B
