Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
V,2020-12,1.154B,18.04B,1.154B,2.999B,0,1.42,1.42,44.71B,7.161B,4.533B,2020-12,3.126B,-136.00M,-136.00M,2.713B,5.343B,21.06B,3.845B,5.318B,3.748B,622.00M,5.687B,491.00M,37.68B,80.43B,3.683B,26.28B,12.39B,42.75B,54.15B,30.36B,688.00M,2.179B,3.342B
V,2020-09,354.00M,20.04B,1.113B,2.999B,1.262B,0.97,0.97,43.72B,6.57B,3.988B,2020-09,2.137B,-145.00M,-145.00M,2.737B,5.237B,21.07B,3.144B,4.664B,3.055B,918.00M,5.101B,648.00M,36.21B,80.92B,5.086B,27.64B,14.51B,44.71B,53.27B,30.20B,844.00M,1.91B,2.882B
V,2020-06,-279.00M,16.64B,1.113B,3.999B,1.284B,1.07,1.07,42.98B,5.697B,3.724B,2020-06,2.373B,-142.00M,-142.00M,2.746B,4.728B,17.88B,3.00B,6.431B,2.932B,559.00M,4.837B,527.00M,35.52B,77.88B,5.298B,25.01B,16.10B,42.36B,52.87B,26.26B,724.00M,2.878B,3.564B
V,2020-03,-444.00M,12.15B,1.123B,3.00B,1.30B,1.39,1.38,42.77B,0,4.731B,2020-03,3.084B,-118.00M,-118.00M,2.776B,4.796B,13.89B,3.932B,5.296B,3.829B,745.00M,5.854B,607.00M,34.58B,72.82B,5.462B,19.91B,15.94B,38.24B,52.91B,22.29B,799.00M,2.03B,2.948B
V,2019-12,-340.00M,12.67B,1.163B,0,0,1.46,1.46,42.90B,0,4.891B,2019-12,3.272B,-111.00M,-111.00M,2.739B,4.81B,13.69B,4.016B,8.084B,3.974B,702.00M,6.054B,693.00M,35.27B,74.78B,5.462B,22.32B,17.58B,39.51B,52.46B,21.93B,875.00M,4.41B,4.934B
V,2019-09,-650.00M,12.07B,1.064B,0,0,1.34,1.34,42.44B,0,5.073B,2019-09,3.025B,-120.00M,-120.00M,2.695B,4.807B,16.73B,4.105B,6.974B,3.711B,686.00M,6.137B,796.00M,34.68B,72.57B,5.462B,20.97B,13.42B,37.89B,51.60B,24.48B,968.00M,4.146B,4.59B
V,2019-06,110.00M,11.18B,1.056B,0,0,1.37,1.37,42.58B,0,4.784B,2019-06,3.101B,-128.00M,-128.00M,2.549B,4.93B,16.69B,3.909B,4.784B,3.866B,765.00M,5.84B,710.00M,35.00B,70.25B,5.462B,18.30B,10.83B,35.25B,51.94B,24.42B,875.00M,2.57B,3.22B
V,2019-03,-86.00M,11.52B,1.065B,0,0,1.31,1.31,42.05B,0,4.429B,2019-03,2.977B,-140.00M,-140.00M,2.456B,4.911B,16.63B,3.663B,4.321B,3.677B,700.00M,5.494B,606.00M,34.28B,69.86B,5.464B,18.49B,11.38B,35.59B,51.38B,24.21B,766.00M,2.20B,2.978B
V,2018-12,275.00M,11.75B,980.00M,0,0,1.3,1.3,42.45B,0,4.526B,2018-12,2.977B,-145.00M,-145.00M,2.437B,4.835B,16.63B,3.724B,6.99B,3.63B,653.00M,5.506B,643.00M,34.10B,71.66B,5.464B,20.11B,13.39B,37.56B,51.55B,24.17B,802.00M,4.014B,4.528B
V,2018-09,547.00M,11.71B,1.003B,0,0,1.24,1.23,42.75B,0,4.431B,2018-09,2.845B,-150.00M,-150.00M,2.472B,4.618B,16.63B,3.413B,4.945B,3.538B,693.00M,5.434B,855.00M,34.01B,69.22B,5.47B,18.22B,11.30B,35.22B,51.01B,23.91B,1.018B,2.351B,2.79B
