Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
VFC,2020-12,-995.96M,3.854B,1.345B,300.75M,8.779M,0.89,0.88,3.056B,2.432B,1.627B,2020-12,1.076B,347.24M,-31.78M,-31.78M,2.432B,265.88M,6.998B,412.00M,2.077B,386.71M,59.05M,2.972B,1.215B,3.138B,13.74B,97.75M,7.285B,2.498B,10.61B,6.459B,8.108B,1.215B,412.32M,1.412B
VFC,2020-09,-959.66M,2.677B,1.282B,14.36M,5.485M,0.66,0.66,3.025B,2.319B,1.326B,2020-09,1.435B,256.72M,-30.93M,-30.93M,2.319B,341.74M,6.809B,319.95M,1.956B,293.66M,50.42M,2.608B,1.006B,2.945B,12.94B,97.49M,6.680B,2.085B,9.996B,6.261B,7.911B,1.006B,450.11M,1.606B
VFC,2020-06,-897.54M,2.845B,506.95M,20.28M,0,-0.73,-0.73,3.018B,2.312B,569.34M,2020-06,1.403B,-285.61M,-27.95M,-27.95M,2.312B,0,6.714B,-246.81M,1.604B,-312.94M,-35.20M,1.076B,816.15M,2.913B,12.48B,97.41M,6.261B,1.715B,9.566B,6.218B,7.851B,816.15M,348.93M,934.98M
VFC,2020-03,-930.96M,1.369B,986.27M,1.582B,0,-1.24,-1.24,3.214B,3.198B,1.116B,2020-03,1.294B,-483.78M,-22.87M,-22.87M,2.228B,0,3.629B,66.46M,1.098B,-389.69M,93.40M,2.102B,1.050B,3.357B,11.13B,97.20M,5.027B,3.024B,7.776B,6.106B,4.752B,1.050B,603.76M,1.308B
VFC,2019-12,-895.37M,583.95M,1.352B,60.68M,0,1.17,1.16,3.488B,2.207B,1.804B,2019-12,1.565B,465.00M,-17.34M,-17.34M,2.207B,0,3.163B,540.04M,1.901B,500.56M,78.98M,3.156B,1.264B,4.568B,10.81B,98.63M,4.156B,1.962B,6.247B,6.659B,4.285B,1.264B,456.99M,1.642B
VFC,2019-09,-930.72M,507.60M,1.456B,489.31M,0,1.63,1.61,3.449B,2.136B,1.723B,2019-09,1.891B,649.00M,-16.39M,-16.39M,2.136B,0,3.119B,548.56M,1.915B,530.40M,-94.97M,3.180B,1.175B,4.648B,11.27B,99.72M,4.775B,2.404B,6.623B,6.495B,4.218B,1.175B,550.70M,1.976B
VFC,2019-06,-867.39M,606.08M,896.28M,72.73M,0,0.12,0.12,3.525B,2.146B,1.154B,2019-06,1.665B,49.22M,-15.58M,-15.58M,2.146B,0,3.170B,95.96M,1.874B,85.94M,20.66M,2.051B,1.058B,4.152B,10.40B,99.48M,3.991B,1.947B,6.250B,6.411B,4.303B,1.058B,588.42M,1.306B
VFC,2019-03,-902.08M,402.23M,-575.72M,664.32M,0,0.33,0.32,3.620B,1.835B,206.92M,2019-03,1.173B,128.80M,-19.49M,-19.49M,876.09M,0,2.116B,-291.27M,1.275B,-313.40M,-53.63M,-368.80M,498.19M,4.299B,10.36B,99.21M,4.673B,2.662B,6.058B,5.683B,3.397B,498.19M,689.44M,1.373B
VFC,2018-12,-886.56M,535.31M,1.896B,683.47M,0,1.17,1.16,3.812B,0,2.044B,2018-12,1.866B,463.51M,-23.85M,-23.85M,1.042B,0,2.135B,591.90M,1.880B,566.28M,103.16M,3.940B,1.452B,4.301B,10.28B,98.87M,4.612B,2.563B,5.984B,5.672B,3.421B,1.452B,645.68M,1.774B
VFC,2018-09,-862.92M,352.78M,1.951B,1.576B,0,1.28,1.26,3.847B,0,1.957B,2018-09,2.248B,507.12M,-25.51M,-25.51M,1.036B,0,2.151B,658.67M,1.921B,599.10M,91.98M,3.907B,1.298B,4.180B,11.13B,99.29M,5.418B,3.509B,6.951B,5.712B,3.442B,1.298B,732.45M,2.196B
VFC,2018-06,-882.08M,467.92M,1.385B,1.323B,38.88M,0.41,0.4,4.000B,2.490B,1.403B,2018-06,1.994B,160.36M,-23.88M,-23.88M,1.018B,345.01M,2.157B,230.88M,1.672B,186.33M,26.38M,2.788B,1.172B,3.731B,10.19B,98.88M,4.330B,2.996B,6.461B,5.862B,3.465B,1.172B,675.58M,1.429B
VFC,2018-03,-864.03M,680.76M,1.506B,1.531B,34.50M,0.64,0.63,3.813B,2.234B,1.539B,2018-03,1.861B,252.79M,-21.16M,-21.16M,1.012B,421.96M,2.213B,311.36M,1.521B,294.13M,32.97M,3.045B,1.228B,3.688B,10.31B,98.58M,4.683B,3.139B,6.623B,5.628B,3.484B,1.228B,583.00M,1.409B
