Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
VIAC,2020-12,-1.832B,2.984B,3.808B,16.00M,978.00M,1.31,1.31,19.44B,7.602B,2.417B,2020-12,1.757B,810.00M,-247.00M,-247.00M,3.596B,778.00M,21.30B,1.137B,5.431B,882.00M,158.00M,6.225B,1.399B,15.37B,52.66B,1.00M,13.78B,8.296B,36.61B,38.88B,28.31B,1.28B,2.576B,7.017B
VIAC,2020-09,-1.91B,3.086B,3.634B,18.00M,710.00M,1,1,19.83B,3.789B,2.482B,2020-09,1.869B,615.00M,-245.00M,-245.00M,3.789B,816.00M,21.47B,993.00M,5.426B,671.00M,38.00M,6.116B,1.391B,14.56B,51.42B,1.00M,13.16B,7.763B,36.18B,38.27B,28.42B,1.489B,2.536B,6.946B
VIAC,2020-06,-1.999B,2.288B,3.485B,364.00M,695.00M,0.78,0.78,20.02B,3.836B,2.79B,2020-06,1.837B,481.00M,-252.00M,-252.00M,3.836B,708.00M,21.52B,1.444B,5.254B,937.00M,202.00M,6.275B,1.222B,13.87B,51.19B,1.00M,12.44B,7.985B,36.64B,38.75B,28.65B,1.346B,2.512B,7.139B
VIAC,2020-03,-2.054B,589.00M,4.065B,532.00M,691.00M,0.84,0.84,19.92B,3.902B,2.604B,2020-03,1.431B,516.00M,-227.00M,-227.00M,3.902B,639.00M,19.85B,1.15B,5.653B,657.00M,137.00M,6.669B,1.341B,13.45B,49.04B,1.00M,10.41B,8.531B,35.52B,38.64B,26.99B,1.454B,2.759B,7.199B
VIAC,2019-12,-1.97B,632.00M,4.296B,717.00M,737.00M,-0.42,-0.42,19.54B,7.655B,1.761B,2019-12,2.813B,-258.00M,-226.00M,-226.00M,3.783B,565.00M,19.71B,852.00M,5.722B,-391.00M,-20.00M,6.057B,1.343B,13.21B,49.58B,1.00M,11.90B,9.048B,36.30B,37.68B,27.25B,909.00M,2.493B,6.837B
VIAC,2019-09,-918.00M,196.00M,3.959B,181.00M,643.00M,1.02,1.02,7.719B,3.943B,2.739B,2019-09,1.964B,630.00M,-227.00M,-227.00M,2.172B,552.00M,10.31B,1.131B,3.661B,782.00M,126.00M,6.698B,1.50B,5.052B,24.48B,1.00M,6.273B,4.122B,19.42B,18.20B,15.30B,1.608B,1.603B,3.685B
VIAC,2019-06,-922.00M,216.00M,4.21B,146.00M,0,1.59,1.58,7.722B,3.853B,2.933B,2019-06,1.945B,977.00M,-222.00M,-222.00M,2.099B,535.00M,10.22B,1.453B,3.48B,1.239B,241.00M,7.143B,1.371B,4.753B,23.84B,1.00M,6.336B,3.843B,19.08B,17.50B,15.24B,1.48B,1.515B,3.795B
VIAC,2019-03,-934.00M,500.00M,4.248B,0,0,3.2,3.18,7.727B,3.915B,2.852B,2019-03,1.533B,1.959B,-221.00M,-221.00M,2.146B,538.00M,10.22B,1.433B,4.295B,1.593B,-376.00M,7.10B,1.313B,4.349B,24.08B,1.00M,6.732B,4.492B,19.73B,17.34B,15.23B,1.419B,1.729B,4.147B
VIAC,2018-12,-1.608B,856.00M,8.893B,1.013B,0,1.5,1.49,19.47B,5.915B,7.042B,2018-12,2.785B,2.056B,-645.00M,-645.00M,2.079B,656.00M,18.10B,3.275B,5.416B,2.221B,268.00M,15.94B,3.508B,10.45B,44.50B,1.00M,11.88B,8.321B,33.99B,32.62B,25.67B,3.767B,2.33B,7.199B
VIAC,2018-09,-634.00M,182.00M,1.922B,388.00M,0,1.3,1.29,7.571B,3.004B,1.341B,2018-09,1.828B,488.00M,-103.00M,-103.00M,1.222B,563.00M,9.465B,736.00M,2.943B,570.00M,64.00M,3.263B,549.00M,2.514B,21.07B,1.00M,6.04B,3.993B,18.55B,15.03B,14.56B,605.00M,1.407B,3.697B
