Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
VLO,2021-03,-1.254B,2.254B,21.23B,1.008B,56.00M,-1.73,-1.73,508.00M,48.17B,-420.00M,2021-03,5.881B,-704.00M,-149.00M,-149.00M,31.59B,5.275B,14.84B,-666.00M,7.956B,-770.00M,-148.00M,20.81B,208.00M,17.80B,51.77B,7.00M,17.59B,12.31B,32.13B,35.93B,22.85B,246.00M,7.566B,6.109B
VLO,2020-12,-1.571B,3.313B,16.84B,636.00M,55.00M,-0.88,-0.88,543.00M,46.86B,-241.00M,2020-12,6.038B,-359.00M,-153.00M,-153.00M,30.73B,5.297B,14.58B,-470.00M,7.486B,-598.00M,-289.00M,16.60B,224.00M,18.80B,51.73B,7.00M,15.84B,9.283B,31.72B,36.31B,23.59B,229.00M,6.56B,5.601B
VLO,2020-09,-1.799B,4.047B,16.22B,587.00M,31.00M,-1.14,-1.14,567.00M,46.34B,-410.00M,2020-09,5.357B,-464.00M,-143.00M,-143.00M,30.65B,5.305B,12.09B,-621.00M,6.713B,-716.00M,-337.00M,15.81B,186.00M,19.22B,49.10B,7.00M,15.42B,8.122B,28.46B,36.34B,21.16B,211.00M,5.852B,4.152B
VLO,2020-06,-1.937B,2.319B,8.436B,886.00M,0,3.07,3.07,0,45.79B,1.961B,2020-06,5.42B,1.253B,-142.00M,-142.00M,30.53B,4.909B,10.57B,1.789B,7.846B,1.674B,339.00M,10.40B,169.00M,19.85B,47.75B,7.00M,12.76B,7.30B,28.06B,36.28B,19.33B,172.00M,6.98B,5.392B
VLO,2020-03,-1.351B,1.515B,24.20B,825.00M,0,-4.54,-4.54,0,45.62B,-2.098B,2020-03,3.675B,-1.851B,-125.00M,-125.00M,30.59B,5.103B,10.14B,-2.277B,12.18B,-2.37B,-616.00M,22.10B,177.00M,18.84B,53.86B,7.00M,11.46B,8.732B,31.33B,34.90B,18.17B,179.00M,11.72B,8.988B
VLO,2019-12,-1.529B,2.583B,25.89B,402.00M,0,2.58,2.58,0,43.54B,1.989B,2019-12,7.013B,1.06B,-119.00M,-119.00M,28.89B,4.92B,9.17B,1.739B,11.73B,1.656B,326.00M,27.88B,243.00M,21.80B,51.23B,7.00M,18.97B,13.16B,29.64B,34.20B,17.51B,250.00M,10.85B,7.994B
VLO,2019-09,-1.35B,2.137B,26.14B,323.00M,0,1.48,1.48,0,43.11B,1.108B,2019-09,6.376B,609.00M,-111.00M,-111.00M,28.78B,4.899B,9.167B,881.00M,12.22B,804.00M,165.00M,27.25B,217.00M,21.11B,52.02B,7.00M,17.03B,12.13B,30.18B,34.21B,17.64B,227.00M,11.46B,9.05B
VLO,2019-06,-1.352B,2.033B,27.82B,1.11B,0,1.47,1.47,0,42.39B,1.109B,2019-06,6.281B,612.00M,-112.00M,-112.00M,28.41B,4.867B,9.006B,908.00M,11.80B,808.00M,160.00M,28.93B,199.00M,21.34B,52.10B,7.00M,17.81B,12.55B,30.32B,33.62B,17.40B,201.00M,11.03B,8.289B
VLO,2019-03,-1.507B,2.777B,23.74B,238.00M,0,0.34,0.34,0,42.47B,519.00M,2019-03,6.554B,141.00M,-112.00M,-112.00M,28.85B,4.962B,8.871B,308.00M,10.35B,218.00M,51.00M,24.26B,209.00M,21.31B,50.16B,7.00M,18.48B,12.91B,27.42B,32.48B,16.70B,211.00M,9.856B,7.345B
VLO,2018-12,0,2.982B,27.20B,0,0,2.26,2.24,0,0,1.533B,2018-12,6.532B,952.00M,-114.00M,-114.00M,0,0,0,1.299B,0,1.227B,205.00M,28.73B,230.00M,21.67B,0,0,17.68B,10.72B,0,0,0,234.00M,0,0
VLO,2018-09,-1.235B,3.551B,29.41B,199.00M,0,2.01,2.01,142.00M,41.84B,1.438B,2018-09,7.501B,856.00M,-111.00M,-111.00M,28.43B,4.725B,8.877B,1.219B,12.28B,1.15B,276.00M,30.85B,209.00M,21.91B,51.89B,7.00M,19.89B,12.48B,28.93B,32.00B,16.45B,219.00M,11.73B,8.249B
VLO,2018-06,-1.262B,4.451B,29.49B,183.00M,0,1.96,1.96,148.00M,41.27B,1.522B,2018-06,6.42B,845.00M,-124.00M,-124.00M,28.18B,4.76B,8.876B,1.253B,11.16B,1.124B,249.00M,31.02B,248.00M,21.77B,50.68B,7.00M,18.95B,11.34B,27.87B,31.73B,16.53B,269.00M,10.52B,7.535B
VLO,2018-03,-983.00M,4.658B,25.39B,871.00M,0,1.09,1.09,0,40.54B,1.049B,2018-03,6.555B,469.00M,-121.00M,-121.00M,27.73B,4.711B,8.086B,801.00M,9.881B,731.00M,149.00M,26.44B,238.00M,21.88B,49.38B,7.00M,18.26B,10.75B,26.45B,31.12B,15.70B,248.00M,9.291B,6.814B
VLO,2017-12,-940.00M,5.85B,25.30B,122.00M,0,5.43,5.42,0,40.01B,1.097B,2017-12,6.384B,2.371B,-114.00M,-114.00M,27.48B,4.708B,8.75B,843.00M,10.73B,765.00M,-1.635B,26.39B,237.00M,21.99B,50.16B,7.00M,19.31B,11.07B,27.26B,30.85B,16.19B,254.00M,10.24B,6.922B
VLO,2017-09,-893.00M,5.176B,21.96B,121.00M,0,1.91,1.91,0,39.53B,1.601B,2017-09,6.137B,841.00M,-114.00M,-114.00M,27.27B,7.362B,8.364B,1.332B,9.009B,1.241B,378.00M,23.56B,225.00M,20.37B,47.99B,7.00M,17.44B,9.13B,26.76B,30.55B,17.63B,269.00M,8.192B,5.959B
