Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
VMC,2020-12,-181.30M,1.197B,872.38M,515.44M,0.86,0.86,4.296B,9.585B,302.74M,2020-12,448.58M,114.52M,-33.88M,-33.88M,4.849B,906.88M,3.172B,194.75M,384.67M,141.19M,25.27M,1.175B,98.63M,6.027B,11.69B,132.52M,2.277B,1.048B,5.660B,9.410B,4.612B,107.99M,273.08M,556.30M
VMC,2020-09,-206.00M,1.084B,929.39M,509.44M,1.51,1.5,4.279B,9.442B,380.50M,2020-09,455.46M,199.79M,-35.78M,-35.78M,4.775B,860.01M,3.184B,286.53M,263.30M,258.11M,56.98M,1.310B,83.51M,5.928B,11.59B,132.45M,2.265B,1.070B,5.662B,9.325B,4.592B,93.97M,265.16M,644.21M
VMC,2020-06,-208.04M,816.76M,926.06M,500.03M,1.58,1.58,4.287B,9.394B,396.52M,2020-06,451.48M,209.92M,-33.95M,-33.95M,4.810B,848.63M,3.191B,299.15M,278.10M,272.31M,61.35M,1.323B,91.20M,5.764B,11.40B,132.45M,2.030B,1.039B,5.635B,9.369B,4.596B,97.36M,216.47M,695.86M
VMC,2020-03,-209.93M,120.04M,847.52M,0.025M,0.45,0.45,4.251B,9.370B,201.72M,2020-03,470.75M,60.26M,-30.77M,-30.77M,4.822B,826.97M,3.185B,111.30M,243.02M,72.19M,12.19M,1.049B,86.43M,5.590B,10.63B,132.43M,1.277B,475.68M,5.039B,9.353B,4.563B,90.42M,233.88M,597.66M
VMC,2019-12,-197.74M,271.59M,893.07M,0.025M,1.07,1.06,4.259B,9.191B,293.08M,2019-12,458.31M,141.09M,-30.84M,-30.84M,4.724B,835.78M,3.172B,180.81M,381.55M,166.03M,23.43M,1.186B,95.80M,5.622B,10.65B,132.37M,1.379B,535.56M,5.027B,9.269B,4.491B,112.28M,0,570.12M
VMC,2019-09,-171.19M,90.41M,1.018B,0.024M,1.63,1.62,4.238B,9.094B,400.64M,2019-09,429.66M,215.71M,-32.20M,-32.20M,4.698B,809.27M,3.174B,303.14M,265.01M,271.54M,53.47M,1.419B,88.79M,5.542B,10.54B,132.35M,1.324B,535.28M,4.997B,9.215B,4.462B,97.50M,0,724.94M
VMC,2019-06,-171.53M,26.03M,957.18M,137.02M,1.49,1.48,4.244B,9.049B,370.50M,2019-06,441.42M,197.56M,-33.04M,-33.04M,4.710B,783.86M,3.179B,272.62M,284.88M,245.50M,47.60M,1.328B,95.69M,5.371B,10.48B,132.23M,1.255B,663.59M,5.109B,9.226B,4.446B,97.88M,0,697.33M
VMC,2019-03,-171.92M,30.84M,804.84M,178.52M,0.48,0.48,4.247B,8.995B,191.68M,2019-03,429.40M,63.30M,-32.93M,-32.93M,4.702B,752.97M,3.184B,97.14M,248.12M,74.63M,10.69M,996.51M,90.27M,5.217B,10.30B,132.07M,1.084B,659.61M,5.080B,9.213B,4.420B,94.54M,0,560.53M
VMC,2018-12,-172.22M,40.04M,812.76M,133.02M,0.94,0.93,4.261B,8.458B,275.28M,2018-12,429.33M,124.02M,-32.86M,-32.86M,4.237B,770.28M,2.779B,179.92M,328.06M,153.92M,29.64M,1.088B,84.38M,5.203B,9.832B,131.76M,1.079B,602.55M,4.629B,8.753B,4.027B,95.36M,0,540.78M
VMC,2018-09,-143.52M,38.03M,897.06M,200.02M,1.35,1.34,4.269B,8.386B,343.14M,2018-09,408.65M,179.15M,-33.55M,-33.55M,4.189B,767.86M,2.778B,247.08M,233.88M,220.53M,40.66M,1.240B,81.61M,5.146B,9.876B,132.04M,1.176B,690.42M,4.730B,8.700B,4.039B,96.06M,0,645.72M
VMC,2018-06,-144.67M,55.06M,876.97M,360.02M,1.21,1.19,4.321B,8.241B,323.18M,2018-06,403.76M,159.65M,-33.24M,-33.24M,4.106B,734.58M,2.777B,228.15M,231.91M,200.35M,40.05M,1.200B,89.04M,5.021B,9.845B,132.27M,1.183B,811.80M,4.824B,8.662B,4.012B,95.04M,231.91M,638.11M
VMC,2018-03,-145.81M,38.14M,695.14M,200.02M,0.4,0.39,4.191B,8.116B,159.33M,2018-03,399.75M,52.98M,-37.77M,-37.77M,4.026B,670.16M,2.776B,77.03M,188.16M,48.49M,-4.903M,854.47M,78.34M,4.913B,9.453B,132.29M,1.011B,583.31M,4.540B,8.442B,3.957B,82.30M,188.16M,489.44M
VMC,2017-12,-149.47M,141.65M,735.97M,41.38M,2.47,2.43,4.186B,7.969B,241.52M,2017-12,384.34M,327.55M,-136.51M,-136.51M,3.919B,675.41M,2.813B,136.00M,296.21M,14.34M,-313.63M,977.49M,85.92M,4.969B,9.505B,132.32M,1.180B,442.87M,4.536B,8.325B,4.093B,105.51M,197.34M,588.34M
VMC,2017-09,-136.26M,701.16M,790.96M,4.827M,0.82,0.81,3.937B,7.540B,303.76M,2017-09,365.83M,108.58M,-82.04M,-82.04M,3.538B,909.28M,2.810B,225.99M,181.21M,149.23M,39.08M,1.095B,73.61M,4.685B,9.439B,132.28M,1.747B,413.70M,4.754B,7.692B,4.341B,77.77M,181.21M,579.20M
VMC,2017-06,-137.87M,1.130B,740.75M,525.78M,0.91,0.89,3.936B,7.532B,290.02M,2017-06,374.93M,120.14M,-38.46M,-38.46M,3.539B,901.75M,2.809B,189.19M,202.75M,157.40M,45.65M,1.031B,83.06M,4.602B,9.870B,132.18M,2.185B,925.79M,5.268B,7.685B,4.342B,100.82M,202.75M,570.09M
VMC,2017-03,-138.63M,286.96M,629.11M,0.139M,0.34,0.33,3.930B,7.432B,158.22M,2017-03,363.40M,44.92M,-34.08M,-34.08M,3.452B,900.23M,2.329B,70.01M,175.91M,40.35M,-3.175M,787.33M,82.38M,4.521B,8.744B,132.22M,1.158B,360.90M,4.224B,7.587B,3.863B,88.21M,175.91M,468.83M
VMC,2016-12,-139.38M,258.99M,645.20M,0.138M,0.85,0.83,3.864B,7.186B,227.77M,2016-12,345.62M,112.60M,-33.08M,-33.08M,3.261B,920.94M,1.983B,148.77M,246.25M,141.34M,33.28M,872.97M,81.31M,4.572B,8.471B,132.34M,1.137B,372.24M,3.899B,7.334B,3.527B,79.00M,145.04M,491.82M
VMC,2016-09,-119.11M,135.36M,703.93M,0.131M,1.07,1.05,3.848B,7.105B,304.21M,2016-09,338.04M,142.02M,-33.13M,-33.13M,3.228B,908.45M,1.984B,224.36M,163.14M,194.94M,49.80M,1.008B,76.31M,4.504B,8.358B,132.31M,1.077B,360.91M,3.854B,7.281B,3.493B,79.85M,163.14M,531.98M
VMC,2016-06,-119.43M,91.90M,664.64M,0.131M,0.93,0.92,3.849B,7.052B,292.18M,2016-06,347.87M,124.71M,-33.33M,-33.33M,3.217B,887.80M,1.983B,203.33M,176.48M,180.48M,53.24M,956.82M,82.68M,4.479B,8.290B,133.03M,1.023B,332.68M,3.811B,7.267B,3.478B,88.86M,176.48M,532.80M
VMC,2016-03,-119.76M,191.89M,590.01M,0.131M,0.3,0.3,3.848B,6.984B,164.72M,2016-03,337.76M,40.16M,-33.73M,-33.73M,3.198B,869.26M,1.981B,74.01M,185.65M,30.50M,-11.47M,754.73M,76.47M,4.421B,8.247B,133.35M,1.008B,356.48M,3.826B,7.240B,3.469B,90.71M,185.65M,443.76M
VMC,2015-12,-120.07M,284.06M,603.36M,0.13M,0.67,0.65,3.861B,6.891B,253.93M,2015-12,347.07M,88.89M,-36.31M,-36.31M,3.156B,904.74M,1.980B,160.80M,276.92M,137.32M,43.77M,857.28M,79.49M,4.454B,8.302B,133.17M,1.085B,353.48M,3.847B,7.217B,3.494B,93.13M,175.73M,418.02M
