Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
VNO,2020-12,-75.10M,1.624B,188.99M,-1.09,-1.09,23.86M,367.36M,187.44M,2020-12,-194.98M,-53.98M,-53.98M,367.36M,145.67M,7.800B,19.10M,427.20M,-210.53M,-1.801M,376.43M,61.25M,6.533B,16.22B,1.190B,2.610B,427.20M,9.274B,13.61B,8.846B,168.34M,427.20M,751.73M
VNO,2020-09,-89.83M,1.411B,195.64M,0.28,0.28,25.75M,374.80M,168.32M,2020-09,65.70M,-56.54M,-56.54M,374.80M,144.02M,7.883B,28.90M,430.45M,92.52M,23.78M,363.96M,32.41M,6.469B,17.56B,898.78M,2.453B,430.45M,10.68B,15.11B,10.25B,139.42M,430.45M,781.43M
VNO,2020-06,-82.65M,1.768B,174.42M,-1.03,-1.03,27.66M,376.96M,168.60M,2020-06,-185.22M,-56.10M,-56.10M,376.96M,143.47M,8.382B,34.67M,385.96M,-215.52M,1.837M,343.03M,35.01M,6.496B,18.04B,898.79M,3.101B,385.96M,11.11B,14.94B,10.73B,133.93M,385.96M,811.20M
VNO,2020-03,-82.72M,1.587B,230.01M,0.03,0.03,29.12M,378.26M,214.52M,2020-03,17.49M,-53.45M,-53.45M,378.26M,145.88M,8.458B,61.64M,407.60M,-91.69M,12.81M,444.53M,52.83M,6.837B,18.21B,898.84M,2.908B,407.60M,10.92B,15.30B,10.51B,152.89M,407.60M,847.60M
VNO,2019-12,-40.23M,1.515B,223.98M,1.01,1.01,30.96M,379.55M,236.99M,2019-12,205.75M,-53.58M,-53.58M,379.55M,163.20M,7.905B,104.28M,838.34M,183.52M,22.90M,460.97M,39.79M,6.732B,18.29B,898.83M,2.854B,838.34M,10.98B,15.43B,10.14B,132.72M,838.34M,837.94M
VNO,2019-09,-47.36M,1.132B,226.36M,1.69,1.69,30.77M,370.60M,239.60M,2019-09,335.44M,-55.78M,-55.78M,370.60M,162.26M,7.978B,109.93M,453.33M,387.74M,23.88M,465.96M,33.24M,7.075B,18.22B,898.87M,2.377B,453.33M,10.51B,15.84B,10.05B,129.67M,430.98M,843.14M
VNO,2019-06,-38.07M,922.60M,220.75M,12.58,12.56,32.48M,380.21M,242.35M,2019-06,2.413B,-58.77M,-58.77M,380.21M,166.71M,8.011B,90.44M,392.58M,2.624B,26.91M,463.10M,38.87M,6.861B,17.91B,898.87M,2.240B,392.58M,10.42B,15.67B,10.03B,151.91M,0,834.35M
VNO,2019-03,-11.38M,307.05M,246.90M,0.95,0.95,34.16M,457.66M,287.77M,2019-03,194.02M,-98.79M,-98.79M,457.66M,173.25M,9.124B,113.04M,442.50M,242.92M,29.74M,534.67M,58.02M,4.444B,17.64B,898.87M,4.997B,1.540B,12.55B,12.64B,11.01B,174.73M,0,840.04M
VNO,2018-12,7.664M,570.92M,254.32M,0.53,0.53,136.78M,0,289.10M,2018-12,113.03M,-78.37M,-78.37M,0,264.25M,9.837B,143.29M,430.98M,130.23M,32.67M,543.42M,32.93M,4.465B,17.18B,898.89M,1.825B,430.98M,12.07B,15.36B,11.64B,145.80M,0,1.008B
VNO,2018-09,34.17M,772.52M,235.58M,1,1,139.99M,0,306.47M,2018-09,203.18M,-82.64M,-82.64M,0,278.49M,9.793B,161.33M,415.53M,221.04M,1.943M,542.05M,31.98M,4.378B,16.68B,898.88M,2.234B,415.53M,11.64B,14.44B,11.22B,145.15M,0,1.007B
VNO,2018-06,33.35M,1.091B,235.98M,0.59,0.58,146.37M,0,305.84M,2018-06,124.07M,-76.96M,-76.96M,0,288.30M,9.782B,159.56M,394.08M,105.12M,0.467M,541.82M,34.43M,4.282B,16.87B,898.91M,2.214B,394.08M,11.92B,14.65B,11.53B,146.27M,0,1.002B
VNO,2018-03,30.26M,1.327B,237.60M,-0.09,-0.09,152.83M,0,298.84M,2018-03,9.68M,-83.87M,-83.87M,0,310.17M,9.774B,147.62M,431.09M,3.199M,2.554M,536.44M,42.53M,4.360B,16.86B,898.91M,2.417B,431.09M,11.84B,14.45B,11.41B,151.22M,0,998.92M
VNO,2017-12,128.68M,1.818B,225.01M,0.14,0.14,159.26M,0,311.22M,2017-12,44.33M,-88.41M,-88.41M,0,336.25M,9.729B,162.13M,415.79M,91.16M,38.88M,536.23M,34.92M,4.338B,17.40B,899.56M,2.900B,415.79M,12.39B,14.50B,11.97B,149.08M,0,985.41M
VNO,2017-09,121.80M,1.282B,225.23M,-0.15,-0.15,166.20M,0,303.53M,2017-09,-12.90M,-82.68M,-82.68M,0,346.62M,9.352B,164.27M,412.10M,38.36M,1.188M,528.76M,34.29M,4.571B,16.84B,1.046B,2.358B,412.10M,11.55B,14.48B,11.14B,139.26M,0,972.60M
VNO,2017-06,115.84M,1.471B,215.70M,0.61,0.61,176.51M,0,295.39M,2017-06,132.10M,-82.69M,-82.69M,0,368.60M,10.84B,154.86M,427.40M,128.76M,-0.61M,511.09M,35.40M,6.916B,20.89B,1.046B,2.704B,427.40M,13.25B,18.19B,12.82B,140.53M,0,1.146B
VNO,2017-03,119.02M,1.485B,220.66M,0.25,0.25,184.01M,0,287.40M,2017-03,63.88M,-81.98M,-81.98M,0,399.41M,10.62B,135.03M,451.16M,60.38M,1.851M,508.06M,47.24M,6.842B,20.73B,1.046B,2.719B,451.16M,13.17B,18.01B,12.72B,152.36M,0,1.136B
VNO,2016-12,118.97M,1.501B,218.02M,3.45,3.43,189.67M,0,295.95M,2016-12,667.31M,-74.94M,-74.94M,0,397.46M,9.447B,160.26M,397.13M,194.43M,-0.998M,513.97M,31.05M,6.899B,20.81B,1.046B,2.542B,397.13M,13.20B,18.27B,12.80B,135.69M,0,946.24M
VNO,2016-09,82.37M,1.353B,213.76M,0.35,0.35,201.45M,0,288.99M,2016-09,92.58M,-78.97M,-78.97M,0,419.38M,11.20B,149.53M,461.23M,80.09M,4.563M,502.75M,33.58M,6.316B,20.86B,1.046B,2.586B,461.23M,13.79B,18.27B,13.33B,139.46M,0,1.121B
VNO,2016-06,72.56M,1.644B,245.14M,1.17,1.16,210.01M,0,376.57M,2016-06,240.83M,-104.83M,-104.83M,0,433.66M,11.08B,189.69M,480.09M,268.02M,2.109M,621.71M,45.56M,6.594B,21.07B,1.284B,2.826B,480.09M,13.73B,18.25B,13.25B,186.88M,0,1.088B
VNO,2016-03,53.40M,1.674B,256.35M,-0.61,-0.61,218.39M,0,356.69M,2016-03,-93.80M,-99.74M,-99.74M,0,441.84M,11.06B,165.03M,447.70M,-89.49M,2.831M,613.04M,48.70M,6.525B,20.87B,1.284B,2.854B,447.70M,13.57B,18.02B,13.13B,191.66M,0,1.071B
VNO,2015-12,46.92M,1.836B,70.77M,1.23,1.22,227.90M,0,64.04M,2015-12,251.11M,-28.93M,-28.93M,0,463.59M,11.09B,71.82M,443.96M,109.54M,-0.767M,134.81M,15.42M,6.698B,21.14B,1.284B,2.973B,443.96M,13.67B,18.17B,13.22B,-7.778M,0,1.029B
VNO,2015-09,43.59M,788.14M,256.56M,1.05,1.05,241.81M,0,371.04M,2015-09,219.23M,-94.19M,-94.19M,0,494.99M,10.01B,192.96M,465.04M,203.63M,2.856M,627.60M,36.16M,6.682B,19.97B,1.285B,1.890B,465.04M,12.53B,18.08B,12.06B,178.08M,0,993.45M
VNO,2015-06,50.61M,516.34M,242.69M,0.88,0.87,245.85M,0,373.60M,2015-06,186.02M,-90.96M,-90.96M,0,509.57M,9.810B,197.45M,437.81M,127.69M,-88.07M,616.29M,39.19M,6.538B,19.59B,1.285B,1.611B,437.81M,12.28B,17.97B,11.84B,176.15M,0,966.94M
VNO,2015-03,72.61M,1.068B,254.49M,0.45,0.45,229.58M,0,352.31M,2015-03,104.08M,-88.85M,-88.85M,0,467.56M,9.564B,169.70M,432.97M,110.04M,0.971M,606.80M,58.49M,6.286B,19.26B,1.285B,2.193B,432.97M,12.22B,17.07B,11.78B,182.61M,0,927.14M
VNO,2014-12,93.27M,1.198B,246.56M,2.74,2.72,225.16M,0,350.45M,2014-12,533.60M,-110.45M,-110.45M,0,475.90M,9.530B,188.05M,447.74M,111.26M,2.498M,597.01M,40.91M,6.745B,21.16B,1.285B,2.272B,447.74M,13.67B,18.89B,13.22B,162.40M,0,897.27M
VNO,2014-09,69.58M,1.683B,240.09M,0.7,0.69,280.21M,0,338.62M,2014-09,151.52M,-99.69M,-99.69M,0,602.80M,11.15B,183.42M,498.56M,89.68M,2.652M,578.71M,40.38M,6.517B,21.00B,1.285B,2.854B,498.56M,13.78B,18.15B,13.28B,155.21M,0,1.010B
VNO,2014-06,92.22M,1.371B,230.40M,0.41,0.41,289.48M,0,344.01M,2014-06,97.01M,-102.88M,-102.88M,0,613.24M,10.87B,190.34M,452.64M,142.02M,3.28M,574.41M,40.48M,6.454B,20.74B,1.285B,2.517B,452.64M,13.54B,18.22B,13.09B,153.68M,0,985.91M
VNO,2014-03,77.63M,1.157B,236.56M,0.33,0.33,299.76M,0,325.82M,2014-03,82.72M,-93.93M,-93.93M,0,637.85M,10.34B,146.53M,457.86M,90.54M,0.851M,562.38M,47.50M,6.570B,20.37B,1.285B,2.364B,457.86M,12.96B,18.01B,12.50B,179.29M,0,996.62M
VNO,2013-12,71.54M,583.29M,145.02M,-0.37,-0.37,307.44M,0,95.63M,2013-12,-48.52M,-59.20M,-59.20M,0,646.80M,9.979B,-2.911M,422.28M,-321.75M,-14.89M,240.65M,31.50M,6.765B,20.10B,1.285B,1.757B,422.28M,12.50B,18.34B,12.08B,98.54M,0,911.12M
VNO,2013-09,83.33M,872.32M,265.02M,0.44,0.44,275.25M,0,403.97M,2013-09,103.37M,-114.91M,-114.91M,0,599.98M,10.00B,237.67M,442.62M,110.20M,2.222M,668.99M,44.19M,7.024B,20.28B,1.285B,2.306B,442.62M,12.45B,17.97B,12.00B,166.30M,0,1.112B
VNO,2013-06,132.89M,781.66M,274.32M,0.78,0.78,289.11M,0,396.90M,2013-06,158.19M,-115.72M,-115.72M,0,613.36M,10.02B,213.41M,393.36M,115.91M,2.877M,671.22M,50.30M,7.136B,20.33B,1.285B,2.201B,393.36M,12.41B,18.13B,12.02B,183.48M,442.64M,1.107B
VNO,2013-03,120.95M,585.82M,277.12M,1.24,1.24,393.77M,0,441.59M,2013-03,262.92M,-115.27M,-115.27M,0,711.17M,10.42B,250.90M,426.62M,83.24M,1.073M,718.71M,51.38M,7.095B,21.13B,1.285B,1.901B,426.62M,13.11B,19.22B,12.68B,190.70M,431.35M,1.147B
VNO,2012-12,-18.95M,960.32M,289.16M,0.33,0.33,415.33M,0,313.26M,2012-12,86.14M,-106.54M,-106.54M,0,716.57M,11.13B,164.97M,484.75M,109.56M,-9.187M,602.42M,39.53M,6.851B,22.07B,1.248B,2.323B,484.75M,14.16B,19.74B,13.68B,148.29M,0,1.179B
VNO,2012-09,-160.11M,465.88M,331.94M,1.25,1.24,252.68M,0,371.11M,2012-09,241.31M,-116.48M,-116.48M,0,584.36M,9.811B,200.41M,442.64M,108.73M,3.015M,703.05M,48.46M,6.902B,20.40B,1.245B,1.926B,442.64M,12.71B,18.47B,12.27B,170.70M,0,1.069B
