Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
VRSK,2020-12,-375.70M,218.80M,260.50M,553.00M,466.70M,1.08,1.07,5.493B,1.737B,452.90M,2020-12,176.20M,-35.30M,-35.30M,899.90M,396.90M,2.971B,270.00M,410.50M,216.00M,39.80M,713.40M,109.10M,2.698B,7.562B,0.10M,794.20M,1.431B,4.864B,6.768B,3.433B,182.90M,103.10M,457.80M
VRSK,2020-09,-540.90M,221.80M,240.00M,499.60M,531.70M,1.14,1.12,5.241B,844.20M,462.70M,2020-09,185.80M,-35.30M,-35.30M,844.20M,369.20M,2.939B,275.40M,378.90M,240.00M,54.20M,702.70M,96.40M,2.421B,7.220B,0.10M,799.70M,1.423B,4.798B,6.420B,3.375B,187.30M,378.90M,459.40M
VRSK,2020-06,-657.20M,309.40M,235.80M,490.90M,617.50M,1.1,1.08,5.008B,802.40M,443.00M,2020-06,179.00M,-34.20M,-34.20M,802.40M,348.20M,2.936B,259.70M,369.80M,224.80M,45.80M,678.80M,96.40M,2.176B,7.008B,0.10M,878.70M,1.490B,4.832B,6.129B,3.342B,183.30M,369.80M,454.50M
VRSK,2020-03,-658.70M,204.40M,257.70M,482.70M,668.40M,1.05,1.04,5.049B,757.90M,432.10M,2020-03,171.70M,-33.50M,-33.50M,757.90M,349.60M,2.851B,252.30M,337.30M,216.70M,45.00M,689.80M,112.10M,2.080B,6.928B,0.10M,814.00M,1.598B,4.848B,6.114B,3.250B,179.80M,337.30M,523.30M
VRSK,2019-12,-486.90M,184.60M,259.80M,540.00M,440.10M,0.81,0.8,5.263B,1.499B,417.00M,2019-12,132.20M,-33.10M,-33.10M,766.70M,356.00M,2.860B,200.40M,381.80M,172.10M,39.90M,676.80M,124.80M,2.261B,7.055B,0.10M,744.90M,1.492B,4.794B,6.310B,3.303B,216.60M,86.80M,467.50M
VRSK,2019-09,-678.40M,311.80M,242.90M,64.30M,460.40M,0.2,0.2,4.508B,808.60M,409.80M,2019-09,32.90M,-31.30M,-31.30M,808.60M,322.20M,2.881B,75.70M,367.60M,38.90M,6.00M,652.70M,255.00M,2.064B,6.289B,0.10M,831.00M,973.60M,4.225B,5.458B,3.252B,334.10M,367.60M,428.80M
VRSK,2019-06,-592.20M,153.30M,242.70M,120.00M,559.90M,0.92,0.9,4.595B,797.10M,409.90M,2019-06,150.40M,-30.50M,-30.50M,797.10M,351.00M,2.668B,218.30M,240.90M,187.30M,36.90M,652.60M,112.30M,2.211B,6.234B,0.10M,710.30M,920.80M,4.023B,5.524B,3.102B,191.60M,240.90M,468.00M
VRSK,2019-03,-532.30M,179.50M,231.40M,217.50M,602.10M,0.82,0.81,4.681B,797.30M,393.60M,2019-03,134.40M,-31.90M,-31.90M,797.30M,354.20M,2.674B,202.40M,238.80M,170.10M,35.70M,625.00M,111.40M,2.170B,6.341B,0.10M,734.90M,1.058B,4.171B,5.606B,3.112B,191.20M,238.80M,444.60M
VRSK,2018-12,-591.90M,139.50M,224.00M,672.80M,383.10M,0.89,0.87,4.589B,1.266B,389.90M,2018-12,146.20M,-32.60M,-32.60M,555.90M,350.60M,2.050B,216.20M,256.10M,179.60M,33.40M,613.90M,97.70M,2.071B,5.900B,0.10M,644.50M,1.325B,3.830B,5.256B,2.505B,173.70M,79.90M,390.40M
VRSK,2018-09,-509.60M,151.60M,219.20M,542.30M,433.20M,1.01,0.99,4.594B,0,379.50M,2018-09,166.00M,-32.40M,-32.40M,518.50M,341.60M,2.045B,211.10M,243.70M,192.80M,26.80M,598.70M,95.70M,2.141B,5.851B,0.10M,593.70M,1.219B,3.710B,5.258B,2.491B,168.40M,243.70M,336.10M
