Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Research and Development Expense,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
VRSN,2021-03,-2.747M,1.181B,46.97M,4.981M,855.35M,1.33,1.33,197.53M,252.12M,276.65M,2021-03,150.35M,-22.32M,-22.32M,252.12M,290.29M,1.791B,210.41M,122.08M,188.32M,37.96M,20.31M,323.62M,45.94M,-1.404B,1.783B,14.11B,1.236B,1.010B,3.187B,547.35M,2.176B,66.25M,64.95M,6.315M
VRSN,2020-12,-2.756M,1.167B,45.97M,3.88M,833.68M,1.38,1.38,197.53M,722.90M,274.31M,2020-12,157.31M,-22.22M,-22.22M,256.85M,373.17M,1.795B,204.51M,100.42M,182.90M,25.58M,19.40M,320.28M,50.40M,-1.390B,1.767B,14.28B,1.218B,988.69M,3.157B,548.97M,2.168B,69.80M,52.09M,8.214M
VRSN,2020-09,-2.741M,1.150B,45.02M,3.183M,826.56M,1.49,1.49,197.53M,259.77M,272.86M,2020-09,170.98M,-21.73M,-21.73M,259.77M,378.08M,1.794B,206.65M,107.35M,184.89M,13.91M,19.71M,317.88M,46.50M,-1.386B,1.764B,14.44B,1.206B,978.01M,3.151B,558.18M,2.173B,66.21M,55.62M,6.356M
VRSN,2020-06,-2.358M,1.195B,43.61M,0,836.61M,1.32,1.32,197.53M,260.52M,270.76M,2020-06,152.48M,-20.26M,-20.26M,260.52M,408.54M,1.794B,206.78M,143.13M,191.65M,39.17M,18.20M,314.36M,45.78M,-1.400B,1.820B,14.59B,1.250B,1.018B,3.220B,570.48M,2.202B,63.98M,100.98M,5.338M
VRSN,2020-03,-0.358M,1.139B,45.57M,0,819.03M,2.87,2.86,197.53M,256.41M,266.95M,2020-03,334.12M,-18.11M,-18.11M,256.41M,414.89M,1.792B,206.26M,110.62M,190.81M,-143.30M,17.36M,312.52M,43.33M,-1.409B,1.754B,14.73B,1.185B,955.67M,3.163B,568.37M,2.207B,60.69M,60.78M,5.047M
VRSN,2019-12,-2.621M,1.218B,46.45M,0,807.98M,1.27,1.26,197.53M,776.07M,264.09M,2019-12,148.32M,-17.16M,-17.16M,259.42M,586.81M,1.792B,198.57M,107.32M,184.98M,36.65M,15.10M,310.54M,50.42M,-1.490B,1.854B,14.99B,1.279B,965.17M,3.344B,575.42M,2.379B,65.52M,59.76M,17.36M
VRSN,2019-09,-2.419M,1.230B,44.44M,0,820.30M,1.3,1.3,197.53M,260.55M,263.98M,2019-09,153.91M,-16.18M,-16.18M,260.55M,585.50M,1.792B,205.62M,99.40M,193.48M,39.57M,14.62M,308.42M,43.74M,-1.452B,1.887B,0.353M,1.298B,960.88M,3.339B,588.58M,2.378B,58.36M,33.42M,22.85M
VRSN,2019-06,-2.727M,1.225B,44.07M,0,814.81M,1.24,1.24,197.53M,259.96M,262.22M,2019-06,147.53M,-15.41M,-15.41M,259.96M,588.84M,1.792B,201.69M,81.41M,190.49M,42.96M,14.95M,306.29M,45.58M,-1.425B,1.890B,0.353M,1.295B,934.68M,3.315B,594.52M,2.380B,60.53M,23.71M,24.63M
VRSN,2019-03,-2.762M,1.253B,45.50M,0,809.94M,1.36,1.35,197.53M,260.35M,260.90M,2019-03,162.53M,-15.27M,-15.27M,260.35M,593.92M,1.791B,200.25M,102.35M,189.82M,27.30M,16.13M,306.41M,44.52M,-1.406B,1.920B,0.353M,1.315B,941.28M,3.326B,604.41M,2.385B,60.65M,38.82M,25.41M
VRSN,2018-12,-2.811M,1.270B,48.37M,0,789.41M,1.51,1.5,197.53M,751.17M,259.08M,2018-12,182.20M,-16.04M,-16.04M,253.90M,567.34M,1.785B,193.97M,103.44M,233.90M,51.71M,15.04M,307.45M,50.08M,-1.385B,1.915B,0.352M,1.317B,947.59M,3.300B,597.47M,2.352B,65.12M,59.87M,10.48M
VRSN,2018-09,-3.003M,1.179B,48.25M,630.82M,784.40M,1.13,1.13,197.53M,256.27M,257.53M,2018-09,137.68M,-16.81M,-16.81M,256.27M,286.74M,1.784B,195.00M,89.59M,178.30M,40.62M,13.71M,305.78M,48.82M,-1.401B,1.885B,0.352M,1.236B,913.64M,3.286B,648.65M,2.372B,62.53M,18.20M,12.07M
VRSN,2018-06,-2.681M,1.171B,47.36M,627.62M,810.10M,1.13,1.04,197.53M,256.06M,255.09M,2018-06,128.35M,-22.21M,-22.21M,256.06M,289.00M,1.784B,193.01M,74.70M,164.88M,36.53M,13.76M,302.45M,48.32M,-1.381B,1.912B,0.352M,1.229B,921.23M,3.293B,682.67M,2.371B,62.08M,13.93M,10.49M
VRSN,2018-03,-2.698M,2.356B,48.15M,624.47M,794.74M,1.38,1.09,197.53M,257.54M,251.14M,2018-03,134.26M,-33.30M,-33.30M,257.54M,504.37M,1.783B,185.42M,97.44M,152.44M,18.17M,15.38M,299.29M,50.34M,-1.235B,2.905B,0.326M,2.409B,1.549B,4.140B,496.80M,2.591B,65.72M,25.04M,10.11M
