Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables,2012-03,2011-12,2011-09,2011-06,2011-03
VTR,2020-12,-54.35M,650.88M,463.37M,193.49M,0,0.29,0.29,2.287B,0,457.79M,2020-12,110.45M,-114.21M,-114.21M,0,62.64M,11.91B,182.83M,1.245B,111.27M,-0.679M,921.16M,23.41M,10.18B,23.93B,93.64M,1.531B,1.441B,13.65B,22.40B,12.21B,274.96M,1.133B,832.36M,23.93M,22.06M,19.24M,28.21M,28.10M
VTR,2020-09,-65.04M,819.51M,495.54M,206.07M,0,0.03,0.03,2.302B,0,423.40M,2020-09,12.75M,-115.50M,-115.50M,0,53.71M,12.09B,134.80M,1.333B,10.54M,-3.195M,918.94M,34.23M,10.20B,24.22B,93.47M,1.652B,1.541B,13.93B,22.57B,12.39B,288.59M,1.235B,776.49M,53.22M,89.14M,57.48M,26.70M,41.90M
VTR,2020-06,-82.76M,1.213B,499.15M,744.36M,0,-0.42,-0.42,2.295B,0,444.05M,2020-06,-157.17M,-123.13M,-123.13M,0,56.96M,12.03B,34.82M,1.116B,-102.88M,56.36M,943.20M,29.98M,10.31B,24.59B,93.26M,2.208B,1.866B,14.19B,22.38B,12.32B,409.23M,998.19M,876.67M,218.82M,213.94M,213.77M,152.13M,92.32M
VTR,2020-03,-103.41M,3.037B,481.70M,3.041B,0,1.27,1.26,2.297B,0,530.36M,2020-03,473.12M,-116.70M,-116.70M,0,47.53M,11.38B,238.99M,1.229B,325.71M,-149.02M,1.012B,42.54M,10.63B,26.62B,93.26M,4.039B,4.274B,15.90B,22.58B,11.63B,291.37M,1.141B,888.63M,,,,,
VTR,2019-12,-34.56M,343.72M,480.85M,848.73M,0,0.03,0.03,2.364B,0,515.15M,2019-12,11.44M,-116.71M,-116.71M,0,200.83M,11.56B,131.88M,1.257B,13.59M,0.694M,996.00M,34.36M,10.45B,24.69B,93.18M,1.516B,2.111B,14.15B,23.18B,12.04B,383.27M,1.146B,1.047B,,,,,
VTR,2019-09,-59.86M,376.01M,462.12M,1.432B,0,0.23,0.23,2.390B,0,521.04M,2019-09,85.26M,-113.97M,-113.97M,0,147.52M,10.87B,245.90M,1.279B,88.92M,2.005M,983.16M,40.53M,10.67B,24.80B,93.16M,1.430B,2.713B,13.97B,23.37B,11.25B,275.13M,1.194B,989.11M,0.31,0.78,0.36,0.11,0.31
VTR,2019-06,-39.67M,312.60M,436.42M,620.55M,0,0.58,0.58,2.323B,0,514.30M,2019-06,210.53M,-110.37M,-110.37M,0,149.45M,9.869B,245.04M,1.249B,154.15M,-57.75M,950.72M,43.08M,10.82B,22.99B,92.85M,1.334B,1.871B,12.11B,21.65B,10.24B,269.27M,1.138B,963.41M,0.31,0.77,0.35,0.11,0.3
VTR,2019-03,-12.06M,82.51M,431.14M,351.76M,0,0.35,0.35,2.336B,0,511.74M,2019-03,125.78M,-110.62M,-110.62M,0,205.06M,10.55B,235.06M,1.145B,126.33M,-1.257M,942.87M,40.76M,10.15B,22.67B,89.58M,901.03M,1.498B,12.46B,21.77B,10.96B,276.68M,1.064B,754.82M,,,,,
VTR,2018-12,-19.58M,278.72M,427.50M,856.41M,0,0.17,0.17,2.559B,0,495.76M,2018-12,62.27M,-110.52M,-110.52M,0,205.22M,9.877B,219.01M,1.186B,34.65M,-28.65M,923.26M,32.47M,10.22B,22.58B,89.12M,1.143B,2.042B,12.31B,21.44B,10.27B,276.75M,1.086B,800.06M,6.764B,,,,
VTR,2018-09,-7.947M,86.11M,428.82M,578.16M,0,0.29,0.28,2.558B,0,507.72M,2018-09,101.97M,-107.58M,-107.58M,0,236.62M,9.900B,249.46M,1.212B,95.95M,-7.327M,936.54M,39.68M,10.45B,22.60B,89.10M,934.18M,1.805B,12.08B,21.66B,10.28B,258.26M,1.135B,761.45M,347.60M,336.40M,341.60M,207.38M,176.11M
