Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Research and Development Expense,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
VTRS,2020-12,-858.00M,1.048B,2.917B,3.450B,0,-1.59,-1.59,42.03B,6.046B,706.40M,2020-12,5.472B,-915.80M,-144.40M,-144.40M,3.784B,3.124B,22.66B,-809.80M,3.475B,-1.014B,-97.70M,154.80M,3.624B,1.361B,22.95B,61.55B,12.10M,12.87B,10.56B,38.60B,48.69B,28.04B,1.516B,2.193B,4.844B
VTRS,2020-09,-1.424B,795.60M,1.814B,3.251B,0,0.36,0.36,20.78B,4.448B,1.158B,2020-09,3.022B,185.70M,-117.30M,-117.30M,2.286B,1.417B,9.258B,370.30M,2.591B,241.60M,55.90M,129.80M,2.972B,658.40M,12.55B,31.24B,6.10M,7.335B,7.275B,18.70B,23.91B,11.42B,788.20M,1.791B,2.964B
VTRS,2020-06,-2.025B,420.30M,1.706B,3.213B,0,0.08,0.08,20.48B,4.343B,1.026B,2020-06,2.786B,39.40M,-116.20M,-116.20M,2.268B,1.542B,9.154B,150.00M,2.162B,20.00M,-19.40M,156.30M,2.731B,719.40M,11.75B,30.16B,6.10M,6.465B,6.971B,18.41B,23.69B,11.44B,875.70M,1.545B,2.753B
VTRS,2020-03,-2.454B,697.80M,1.713B,1.504B,0,0.04,0.04,20.37B,4.302B,906.10M,2020-03,2.640B,20.80M,-119.90M,-119.90M,2.303B,1.538B,11.36B,186.50M,2.200B,30.70M,9.90M,114.20M,2.619B,605.40M,11.26B,30.15B,6.10M,6.600B,5.228B,18.88B,23.55B,13.66B,719.60M,1.528B,2.775B
VTRS,2019-12,-1.797B,584.70M,2.104B,1.534B,0,0.04,0.04,21.24B,4.378B,1.087B,2019-12,2.671B,20.50M,-126.00M,-126.00M,2.404B,1.628B,11.39B,281.20M,2.406B,135.20M,114.70M,151.80M,3.192B,654.40M,11.88B,31.26B,6.10M,6.757B,5.569B,19.37B,24.50B,13.80B,806.20M,1.741B,3.059B
VTRS,2019-09,-2.191B,480.60M,1.889B,630.90M,0,0.37,0.37,21.21B,4.310B,1.072B,2019-09,2.764B,189.80M,-128.90M,-128.90M,2.383B,1.557B,12.64B,271.80M,2.432B,185.80M,-4.00M,167.90M,2.962B,632.70M,11.46B,31.05B,6.10M,6.645B,4.645B,19.59B,24.41B,14.95B,800.60M,1.664B,2.948B
VTRS,2019-06,-1.542B,328.90M,1.919B,779.00M,0,-0.33,-0.33,22.42B,4.306B,932.60M,2019-06,2.776B,-168.50M,-131.20M,-131.20M,2.397B,1.635B,12.76B,116.40M,2.304B,-52.10M,116.40M,147.60M,2.852B,668.60M,11.90B,31.82B,6.10M,6.265B,4.560B,19.91B,25.55B,15.35B,816.20M,1.677B,2.704B
VTRS,2019-03,-1.710B,331.60M,1.690B,735.30M,0,-0.05,-0.05,22.56B,4.249B,805.20M,2019-03,2.709B,-25.00M,-131.20M,-131.20M,2.388B,1.643B,13.24B,24.70M,1.946B,-114.50M,-89.50M,172.60M,2.496B,607.90M,11.89B,31.91B,6.00M,6.262B,4.158B,20.02B,25.64B,15.86B,780.50M,1.340B,2.778B
VTRS,2018-12,-1.441B,479.40M,2.063B,657.10M,0,0.1,0.1,23.41B,3.974B,1.016B,2018-12,2.580B,51.20M,-135.20M,-135.20M,2.170B,1.722B,13.16B,233.90M,2.329B,77.00M,25.80M,148.80M,3.079B,632.90M,12.17B,32.73B,6.00M,6.368B,4.588B,20.57B,26.37B,15.98B,781.70M,1.738B,2.881B
VTRS,2018-09,-1.491B,449.20M,1.823B,1.136B,0,0.34,0.34,24.04B,3.890B,1.039B,2018-09,2.561B,176.70M,-136.20M,-136.20M,2.120B,1.764B,13.29B,317.80M,2.174B,192.20M,15.50M,144.10M,2.862B,577.30M,12.07B,33.46B,6.00M,6.542B,5.182B,21.39B,26.91B,16.21B,721.40M,1.477B,2.949B
