Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
VZ,2021-03,640.00M,10.20B,13.52B,12.34B,4.843B,1.27,1.27,132.15B,305.06B,19.34B,2021-03,1.303B,5.245B,-1.101B,-1.101B,117.19B,36.75B,167.47B,7.77B,17.22B,7.078B,1.70B,32.87B,7.401B,71.23B,345.57B,429.00M,39.65B,38.73B,272.89B,305.93B,234.16B,11.58B,10.72B,22.51B
VZ,2020-12,-71.00M,22.17B,14.82B,9.374B,4.651B,1.11,1.11,130.28B,302.27B,19.87B,2020-12,1.796B,4.588B,-1.064B,-1.064B,117.36B,35.71B,141.17B,7.18B,23.28B,6.253B,1.535B,34.69B,8.493B,67.84B,316.48B,429.00M,54.59B,39.66B,247.21B,261.89B,207.55B,12.69B,12.06B,23.92B
VZ,2020-09,-812.00M,8.983B,12.33B,9.264B,4.207B,1.05,1.05,130.36B,298.89B,19.21B,2020-09,1.457B,4.357B,-1.031B,-1.031B,115.86B,34.57B,127.94B,7.678B,17.39B,5.851B,1.347B,31.54B,7.339B,65.07B,296.99B,429.00M,38.57B,36.18B,230.46B,258.42B,194.28B,11.53B,11.23B,22.62B
VZ,2020-06,-1.274B,7.882B,11.75B,9.921B,0,1.14,1.13,130.03B,295.14B,18.70B,2020-06,1.289B,4.70B,-1.073B,-1.073B,115.18B,33.80B,124.35B,7.361B,19.30B,6.187B,1.348B,30.45B,7.156B,62.70B,293.26B,429.00M,37.33B,38.89B,229.15B,255.93B,190.26B,11.34B,0,22.67B
VZ,2020-03,-1.502B,7.047B,12.30B,14.51B,0,1,1,126.22B,291.46B,19.31B,2020-03,1.633B,4.156B,-1.014B,-1.014B,114.65B,33.71B,124.68B,6.579B,17.42B,5.676B,1.389B,31.61B,8.585B,60.21B,294.50B,429.00M,40.70B,41.06B,232.85B,253.80B,191.79B,12.74B,0,23.80B
VZ,2019-12,998.00M,2.594B,15.63B,14.04B,0,1.23,1.23,128.95B,288.43B,19.14B,2019-12,1.422B,5.095B,-1.132B,-1.132B,114.61B,34.70B,119.10B,6.825B,24.37B,3.712B,-1.505B,34.78B,8.214B,61.40B,291.73B,429.00M,37.47B,44.87B,228.89B,254.25B,184.02B,12.32B,0,25.43B
VZ,2019-09,1.104B,3.02B,13.38B,10.79B,0,1.26,1.25,128.27B,282.27B,19.51B,2019-09,1.538B,5.194B,-1.112B,-1.112B,111.07B,34.59B,119.98B,8.18B,19.57B,6.923B,1.586B,32.89B,7.216B,58.92B,284.88B,429.00M,34.90B,39.21B,224.56B,249.98B,185.35B,11.33B,0,24.71B
VZ,2019-06,1.447B,1.949B,12.72B,11.93B,0,0.95,0.95,128.44B,279.86B,19.35B,2019-06,1.167B,3.944B,-1.184B,-1.184B,110.28B,34.22B,122.85B,7.85B,17.63B,5.31B,1.236B,32.07B,7.268B,56.58B,283.11B,429.00M,33.31B,38.21B,225.16B,249.80B,186.95B,11.50B,0,24.93B
VZ,2019-03,2.216B,2.322B,12.99B,11.61B,0,1.22,1.22,128.48B,277.56B,19.14B,2019-03,1.417B,5.032B,-1.181B,-1.181B,110.95B,34.34B,124.02B,7.709B,18.66B,6.788B,1.628B,32.13B,7.198B,55.86B,283.95B,429.00M,33.40B,38.61B,226.49B,250.55B,187.88B,11.43B,0,24.47B
VZ,2018-12,2.37B,2.745B,15.29B,7.19B,0,0.47,0.47,128.52B,252.84B,18.99B,2018-12,1.336B,1.939B,-1.166B,-1.166B,89.29B,33.80B,105.87B,5.228B,25.01B,1.367B,-698.00M,34.28B,9.41B,53.14B,264.83B,429.00M,34.64B,37.93B,210.12B,230.19B,172.19B,13.76B,0,25.10B
VZ,2018-09,3.201B,2.538B,13.33B,6.502B,4.05B,1.19,1.19,132.94B,252.03B,19.28B,2018-09,1.27B,4.924B,-1.186B,-1.186B,87.46B,35.71B,106.44B,7.675B,19.34B,6.675B,1.613B,32.61B,7.224B,54.50B,265.56B,429.00M,33.15B,34.17B,209.48B,232.41B,175.31B,11.60B,10.98B,24.01B
VZ,2018-06,3.205B,1.75B,13.63B,5.466B,2.914B,1,1,132.92B,249.29B,18.57B,2018-06,1.102B,4.12B,-1.202B,-1.202B,87.78B,35.07B,109.17B,6.617B,18.56B,5.527B,1.281B,32.20B,7.605B,52.02B,263.30B,429.00M,30.88B,32.33B,209.73B,232.43B,177.40B,11.96B,10.98B,23.10B
VZ,2018-03,3.705B,1.923B,13.26B,6.323B,0,1.11,1.11,132.81B,246.88B,18.52B,2018-03,1.285B,4.545B,-1.185B,-1.185B,87.92B,34.41B,112.73B,7.349B,17.05B,6.054B,1.388B,31.77B,6.844B,50.78B,264.52B,429.00M,31.02B,31.62B,212.17B,233.49B,180.56B,11.17B,0,22.60B
VZ,2017-12,2.659B,2.079B,15.56B,3.453B,0,4.57,4.56,127.84B,246.50B,18.40B,2017-12,1.034B,18.67B,-1.194B,-1.194B,88.57B,31.23B,113.64B,7.235B,23.66B,2.934B,-15.85B,33.96B,6.706B,43.10B,257.14B,424.00M,29.91B,33.04B,212.46B,227.23B,179.42B,11.16B,0,23.49B
VZ,2017-09,2.683B,4.487B,12.97B,2.18B,0,0.89,0.89,127.60B,242.61B,18.74B,2017-09,1.276B,3.62B,-1.141B,-1.141B,86.62B,48.34B,115.32B,6.988B,18.43B,5.511B,1.775B,31.72B,7.483B,26.85B,254.68B,424.00M,30.87B,28.93B,226.23B,223.82B,197.30B,11.76B,0,21.55B
VZ,2017-06,2.284B,4.583B,12.48B,1.153B,0,1.07,1.07,127.67B,239.23B,18.06B,2017-06,1.116B,4.362B,-1.198B,-1.198B,86.52B,47.51B,116.39B,8.014B,17.82B,6.967B,2.489B,30.55B,5.883B,25.19B,252.98B,424.00M,28.82B,27.76B,226.22B,224.16B,198.46B,10.05B,0,19.77B
