Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Research and Development Expense,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
WAT,2020-12,-117.94M,443.15M,320.57M,177.76M,198.24M,3.51,3.49,703.01M,1.221B,466.09M,2020-12,304.28M,218.31M,-6.834M,-6.834M,587.26M,0,1.275B,270.66M,159.72M,257.25M,38.94M,39.66M,786.66M,153.08M,232.14M,2.840B,1.617M,1.401B,804.98M,2.608B,1.439B,1.803B,195.43M,148.77M,573.32M
WAT,2020-09,-126.68M,397.07M,262.34M,176.74M,211.35M,2.04,2.03,686.25M,556.48M,331.44M,2020-09,326.95M,126.77M,-6.908M,-6.908M,556.48M,0,1.484B,158.38M,131.06M,150.44M,23.67M,34.97M,593.78M,135.43M,-41.58M,2.679B,1.614M,1.292B,722.19M,2.721B,1.388B,1.999B,173.06M,120.80M,494.43M
WAT,2020-06,-126.89M,355.76M,213.13M,176.86M,213.40M,1.98,1.98,676.48M,547.79M,306.85M,2020-06,344.01M,122.93M,-9.015M,-9.015M,547.79M,0,1.610B,155.63M,148.28M,145.36M,22.43M,31.16M,519.98M,117.45M,-191.74M,2.648B,1.613M,1.269B,697.32M,2.840B,1.379B,2.143B,151.22M,138.17M,496.28M
WAT,2020-03,-138.42M,393.87M,210.64M,78.00M,218.21M,0.86,0.86,667.18M,530.08M,254.30M,2020-03,344.01M,53.56M,-10.04M,-10.04M,530.08M,0,1.910B,68.95M,118.95M,57.86M,4.301M,34.99M,464.94M,147.74M,-338.00M,2.667B,1.613M,1.328B,551.05M,3.005B,1.339B,2.453B,185.35M,107.93M,522.21M
WAT,2019-12,-119.47M,337.14M,299.07M,127.49M,176.36M,3.15,3.12,596.33M,1.081B,417.23M,2019-12,320.55M,200.67M,-9.806M,-9.806M,510.70M,0,1.648B,236.42M,106.93M,224.39M,23.72M,37.07M,716.29M,141.21M,-216.28M,2.557B,1.61M,1.312B,591.33M,2.773B,1.245B,2.182B,180.81M,94.97M,587.73M
WAT,2019-09,-119.58M,404.65M,241.06M,123.99M,197.40M,2.09,2.07,591.55M,466.61M,336.22M,2019-09,368.79M,138.13M,-8.001M,-8.001M,466.61M,0,1.317B,173.24M,143.87M,164.74M,26.60M,34.33M,577.28M,126.04M,115.50M,2.561B,1.609M,1.344B,597.15M,2.446B,1.217B,1.849B,162.99M,114.38M,504.86M
WAT,2019-06,-115.10M,675.77M,249.55M,125.40M,220.71M,2.09,2.08,599.98M,459.94M,349.62M,2019-06,351.55M,144.41M,-5.577M,-5.577M,459.94M,0,1.115B,177.65M,127.37M,171.74M,27.32M,36.49M,599.16M,133.21M,556.24M,2.823B,1.608M,1.620B,611.70M,2.267B,1.203B,1.655B,171.96M,105.91M,518.52M
WAT,2019-03,-108.64M,1.167B,221.03M,127.19M,222.26M,1.52,1.51,600.05M,450.64M,292.83M,2019-03,333.31M,108.99M,-3.248M,-3.248M,450.64M,0,1.116B,121.15M,128.89M,117.38M,8.392M,35.06M,513.86M,134.34M,967.74M,3.250B,1.608M,2.078B,603.28M,2.282B,1.172B,1.679B,171.68M,92.22M,508.28M
WAT,2018-12,-117.97M,1.735B,286.87M,0.178M,164.96M,2.48,2.46,602.52M,871.87M,428.15M,2018-12,291.57M,185.15M,-1.225M,-1.225M,343.08M,0,1.148B,244.85M,103.41M,197.81M,12.65M,38.11M,715.02M,142.85M,1.567B,3.727B,1.605M,2.663B,448.93M,2.160B,1.064B,1.711B,183.30M,91.11M,568.32M
WAT,2018-09,-125.79M,2.084B,241.14M,0.284M,186.48M,1.84,1.83,610.70M,338.47M,336.88M,2018-09,313.61M,141.01M,-1.633M,-1.633M,338.47M,0,1.148B,172.60M,137.31M,169.23M,28.22M,35.17M,578.02M,127.00M,1.876B,4.043B,1.604M,2.971B,448.12M,2.167B,1.072B,1.719B,164.28M,125.11M,489.19M
WAT,2018-06,-132.90M,2.248B,243.14M,0.499M,203.72M,2,1.98,575.68M,335.71M,353.08M,2018-06,299.60M,155.68M,-2.804M,-2.804M,335.71M,0,1.148B,179.19M,148.11M,174.56M,18.88M,35.64M,596.22M,136.64M,1.975B,4.158B,1.603M,3.124B,474.92M,2.183B,1.034B,1.708B,173.89M,135.62M,492.83M
WAT,2018-03,-88.63M,2.552B,221.42M,0.354M,214.98M,1.42,1.4,594.06M,349.32M,309.25M,2018-03,299.61M,111.95M,-4.172M,-4.172M,349.32M,0,1.248B,142.70M,183.53M,140.55M,28.60M,34.48M,530.67M,130.41M,2.115B,4.489B,1.602M,3.439B,534.35M,2.375B,1.051B,1.840B,166.55M,170.90M,502.97M
