Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
WBA,2021-02,-3.306B,1.03B,26.00B,7.521B,1.19,1.19,22.95B,34.50B,6.781B,2021-02,8.541B,1.026B,-137.00M,-137.00M,34.50B,1.232B,33.13B,752.00M,17.50B,946.00M,42.00M,32.78B,6.029B,21.11B,90.92B,12.00M,26.08B,31.25B,69.30B,64.84B,38.05B,6.029B,11.10B,4.878B
WBA,2020-11,-3.682B,1.111B,29.17B,7.681B,-0.36,-0.36,26.00B,35.23B,7.139B,2020-11,11.18B,-308.00M,-140.00M,-140.00M,35.23B,1.277B,33.14B,932.00M,22.70B,-520.00M,-199.00M,36.31B,6.207B,20.06B,89.17B,12.00M,21.08B,30.38B,68.60B,68.08B,38.22B,6.207B,16.38B,7.869B
WBA,2020-08,-3.771B,516.00M,27.94B,5.965B,0.43,0.43,26.02B,47.52B,6.803B,2020-08,9.451B,373.00M,-157.00M,-157.00M,35.06B,1.498B,34.18B,593.00M,21.11B,537.00M,208.00M,34.75B,6.21B,20.64B,87.17B,12.00M,18.07B,27.07B,66.04B,69.10B,38.97B,6.21B,14.57B,7.132B
WBA,2020-05,-3.871B,768.00M,28.19B,6.668B,-1.95,-1.95,25.13B,34.68B,6.438B,2020-05,9.563B,-1.708B,-155.00M,-155.00M,34.68B,1.538B,34.05B,-1.827B,19.98B,-1.773B,-40.00M,34.63B,8.265B,20.74B,86.44B,12.00M,18.33B,26.65B,65.12B,68.12B,38.47B,8.265B,14.12B,6.982B
WBA,2020-02,-3.407B,792.00M,24.32B,8.263B,1.07,1.07,27.72B,35.24B,7.017B,2020-02,9.652B,946.00M,-156.00M,-156.00M,35.24B,1.637B,32.58B,1.108B,20.40B,1.008B,149.00M,31.34B,5.909B,23.72B,90.00B,12.00M,18.91B,28.66B,65.67B,71.09B,37.01B,5.909B,14.99B,7.572B
WBA,2019-11,-3.313B,811.00M,27.08B,8.512B,0.95,0.95,27.86B,35.29B,7.263B,2019-11,10.54B,845.00M,-166.00M,-166.00M,35.29B,1.618B,32.52B,1.001B,20.98B,882.00M,32.00M,34.34B,6.262B,23.66B,90.81B,12.00M,19.60B,29.49B,66.49B,71.20B,37.00B,6.262B,15.61B,7.435B
WBA,2019-08,-3.897B,1.023B,26.73B,5.738B,0.75,0.75,27.44B,24.79B,7.227B,2019-08,9.333B,677.00M,-175.00M,-175.00M,13.48B,1.785B,11.10B,819.00M,20.03B,708.00M,26.00M,33.95B,6.408B,23.51B,67.60B,12.00M,18.70B,25.77B,43.45B,48.90B,17.68B,6.408B,14.56B,7.226B
WBA,2019-05,-3.393B,839.00M,27.14B,5.482B,1.13,1.13,28.04B,13.72B,7.453B,2019-05,9.874B,1.025B,-187.00M,-187.00M,13.72B,1.86B,12.13B,1.218B,19.58B,1.198B,156.00M,34.59B,6.235B,24.13B,68.59B,12.00M,19.02B,25.06B,43.82B,49.56B,18.76B,6.235B,14.39B,7.239B
WBA,2019-02,-2.705B,818.00M,26.77B,5.356B,1.25,1.24,28.96B,13.83B,7.754B,2019-02,10.19B,1.156B,-181.00M,-181.00M,13.83B,1.982B,12.68B,1.434B,19.95B,1.356B,226.00M,34.53B,6.32B,24.77B,70.43B,12.00M,19.85B,25.30B,45.02B,50.58B,19.72B,6.32B,14.51B,7.828B
WBA,2018-11,-3.231B,980.00M,26.15B,4.344B,1.18,1.18,28.39B,13.82B,7.641B,2018-11,10.98B,1.123B,-161.00M,-161.00M,13.82B,1.793B,11.65B,1.361B,20.76B,1.265B,180.00M,33.79B,6.28B,25.61B,69.94B,12.00M,20.08B,25.10B,43.68B,49.86B,18.58B,6.28B,15.27B,7.144B
