Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Research and Development Expense,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
WDC,2020-12,-50.00M,2.956B,2.983B,251.00M,0.2,0.2,10.67B,10.56B,960.00M,2020-12,3.576B,62.00M,-79.00M,-79.00M,2.918B,0,8.882B,160.00M,3.752B,85.00M,23.00M,535.00M,3.943B,265.00M,9.829B,25.55B,3.00M,9.109B,4.526B,15.72B,16.44B,11.20B,800.00M,2.332B,1.833B
WDC,2020-09,-101.00M,2.995B,3.018B,286.00M,-0.2,-0.2,10.83B,10.47B,904.00M,2020-09,3.355B,-60.00M,-82.00M,-82.00M,2.897B,0,9.086B,93.00M,3.646B,-3.00M,57.00M,555.00M,3.922B,256.00M,9.576B,25.40B,3.00M,9.005B,4.429B,15.83B,16.40B,11.40B,811.00M,2.353B,2.097B
WDC,2020-06,-157.00M,3.048B,3.204B,286.00M,0.49,0.49,11.01B,10.30B,1.083B,2020-06,3.07B,148.00M,-85.00M,-85.00M,2.854B,0,9.289B,268.00M,3.648B,185.00M,37.00M,546.00M,4.287B,269.00M,9.551B,25.66B,3.00M,9.048B,4.406B,16.11B,16.61B,11.70B,815.00M,2.352B,2.379B
WDC,2020-03,-183.00M,2.943B,3.17B,286.00M,0.06,0.06,11.19B,10.08B,1.005B,2020-03,3.091B,17.00M,-93.00M,-93.00M,2.735B,0,9.343B,161.00M,3.752B,46.00M,29.00M,563.00M,4.175B,281.00M,9.243B,25.51B,3.00M,8.553B,4.471B,16.27B,16.96B,11.80B,844.00M,2.183B,1.978B
WDC,2019-12,-110.00M,3.137B,3.299B,286.00M,-0.47,-0.47,11.38B,9.957B,935.00M,2019-12,3.122B,-139.00M,-97.00M,-97.00M,2.722B,0,9.547B,59.00M,3.659B,-40.00M,99.00M,578.00M,4.234B,298.00M,9.379B,25.86B,3.00M,8.627B,4.482B,16.48B,17.23B,12.00B,876.00M,2.10B,1.791B
WDC,2019-09,-90.00M,3.248B,3.282B,251.00M,-0.93,-0.93,11.60B,9.956B,758.00M,2019-09,3.287B,-276.00M,-110.00M,-110.00M,2.796B,0,9.961B,-121.00M,3.605B,-237.00M,39.00M,574.00M,4.04B,305.00M,9.566B,26.28B,3.00M,8.50B,4.288B,16.71B,17.78B,12.43B,879.00M,2.231B,1.448B
WDC,2019-06,-68.00M,3.455B,3.169B,276.00M,-0.67,-0.67,11.79B,10.00B,465.00M,2019-06,3.283B,-197.00M,-103.00M,-103.00M,2.843B,0,10.25B,-357.00M,3.194B,-474.00M,-277.00M,523.00M,3.634B,299.00M,9.967B,26.37B,3.00M,8.477B,3.817B,16.40B,17.89B,12.59B,822.00M,1.898B,1.204B
WDC,2019-03,-55.00M,3.682B,3.095B,276.00M,-1.99,-1.99,11.99B,10.64B,579.00M,2019-03,3.44B,-581.00M,-105.00M,-105.00M,3.031B,0,10.31B,-318.00M,3.534B,-477.00M,104.00M,544.00M,3.674B,353.00M,10.21B,26.91B,3.00M,8.902B,4.212B,16.70B,18.01B,12.49B,897.00M,1.889B,1.223B
WDC,2018-12,-35.00M,4.013B,3.189B,244.00M,-1.68,-1.68,12.22B,10.52B,1.044B,2018-12,3.427B,-487.00M,-103.00M,-103.00M,3.077B,0,10.37B,196.00M,3.761B,81.00M,568.00M,539.00M,4.233B,309.00M,10.91B,27.94B,3.00M,9.742B,4.35B,17.03B,18.20B,12.68B,848.00M,2.235B,1.715B
WDC,2018-09,-76.00M,4.646B,3.364B,213.00M,1.75,1.71,12.48B,10.33B,1.664B,2018-09,3.119B,511.00M,-101.00M,-101.00M,3.054B,0,10.93B,732.00M,3.672B,583.00M,72.00M,576.00M,5.028B,356.00M,11.38B,28.70B,3.00M,10.57B,4.385B,17.33B,18.13B,12.94B,932.00M,2.367B,2.219B
