Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
WELL,2020-12,-148.50M,1.545B,741.73M,0,115.41M,0.39,0.39,1.568B,465.87M,374.94M,2020-12,163.73M,0,0,465.87M,14.22B,21.28M,355.18M,-30.15M,0.29M,1.117B,27.85M,15.97B,32.48B,418.69M,3.438B,470.59M,15.60B,29.05B,15.13B,353.67M,201.51M,1.416B
WELL,2020-09,-126.47M,1.604B,759.57M,0,183.01M,0.78,0.77,1.577B,480.86M,273.18M,2020-09,325.58M,0,0,480.86M,14.21B,-16.21M,1.041B,-81.34M,2.003M,1.033B,31.00M,16.11B,32.54B,418.36M,3.717B,1.041B,15.58B,28.82B,14.54B,289.39M,155.74M,1.562B
WELL,2020-06,-116.86M,1.679B,787.12M,0,0,0.43,0.42,455.78M,502.60M,394.81M,2020-06,179.25M,0,0,502.60M,14.88B,93.96M,1.016B,4.254M,2.233M,1.182B,34.06M,16.05B,33.16B,418.34M,3.377B,1.016B,16.23B,29.79B,15.21B,300.86M,0,1.551B
WELL,2020-03,-96.21M,303.42M,823.79M,844.98M,0,0.76,0.75,1.698B,523.22M,431.38M,2020-03,310.28M,0,0,523.22M,13.58B,114.03M,997.60M,75.69M,5.442M,1.255B,35.48M,16.13B,32.92B,418.23M,1.998B,1.843B,15.86B,30.92B,14.01B,317.35M,0,1.605B
WELL,2019-12,-112.16M,284.92M,794.17M,1.588B,0,0.55,0.55,1.685B,536.43M,462.82M,2019-12,224.32M,0,0,536.43M,13.80B,173.67M,332.15M,165.82M,-4.832M,1.257B,26.51M,15.54B,33.38B,411.00M,1.880B,2.103B,16.87B,31.50B,14.77B,289.15M,0,1.494B
WELL,2019-09,-117.68M,265.79M,792.93M,1.335B,0,1.46,1.45,1.673B,536.69M,468.97M,2019-09,589.88M,0,0,536.69M,12.81B,165.51M,1.026B,78.39M,3.968M,1.262B,31.02M,15.27B,31.86B,406.50M,1.895B,2.360B,15.64B,29.97B,13.28B,303.46M,0,1.564B
WELL,2019-06,-100.62M,268.67M,842.46M,1.869B,0,0.34,0.34,1.657B,550.34M,474.56M,2019-06,137.76M,0,0,550.34M,13.75B,192.77M,1.076B,162.37M,1.599M,1.317B,33.74M,14.99B,33.15B,406.01M,1.865B,2.945B,17.18B,31.28B,14.23B,281.79M,0,1.505B
WELL,2019-03,-144.62M,249.13M,816.04M,419.29M,0,0.72,0.71,1.608B,502.43M,448.45M,2019-03,280.47M,0,0,502.43M,12.72B,150.54M,1.001B,136.31M,2.222M,1.264B,35.28M,15.08B,30.64B,404.51M,1.843B,1.420B,14.59B,28.79B,13.17B,297.90M,0,1.435B
WELL,2018-12,-129.77M,215.38M,795.01M,1.147B,0,0.27,0.27,1.649B,0,439.04M,2018-12,113.44M,0,0,0,12.15B,165.10M,1.034B,84.09M,1.504M,1.234B,31.10M,14.63B,30.34B,1.103B,1.700B,2.181B,14.76B,28.64B,12.57B,273.94M,0,1.384B
WELL,2018-09,-138.49M,191.20M,795.19M,1.312B,0,0.17,0.17,1.631B,0,437.49M,2018-09,76.06M,0,0,0,12.19B,165.60M,1.075B,60.90M,1.741M,1.233B,28.75M,14.31B,30.25B,1.095B,1.660B,2.387B,14.98B,28.59B,12.59B,271.90M,0,1.379B
