Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Current Debt & Capital Lease Obligation,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Income (Quarterly),Net Income,Net Loan Assets,Net PP&E,Non-Current Portion of LTD and Capital Lease Obligation,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Receivables
WFC,2021-03,-1.25B,487.58B,58.92B,1.05,1.05,35.12B,33.09B,2021-03,4.742B,864.34B,8.76B,183.31B,76.91B,5.122B,326.00M,18.06B,9.874B,187.22B,1.960T,30.31B,608.25B,135.83B,1.771T,1.552T,1.635T,9.861B,15.73B
WFC,2020-12,194.00M,485.00B,12.64B,0.64,0.64,34.16B,20.97B,2020-12,2.992B,889.42B,20.59B,212.95B,76.40B,3.302B,108.00M,18.08B,8.291B,184.89B,1.955T,30.27B,635.35B,135.40B,1.769T,1.540T,1.634T,7.51B,58.82B
WFC,2020-09,-750.00M,467.34B,11.17B,0.42,0.42,34.42B,21.50B,2020-09,2.035B,908.68B,20.97B,215.71B,72.27B,2.864B,645.00M,18.84B,9.059B,181.17B,1.922T,30.23B,616.72B,127.50B,1.740T,1.526T,1.613T,8.341B,56.35B
WFC,2020-06,-798.00M,491.40B,10.83B,-0.66,-0.66,34.94B,21.88B,2020-06,-2.379B,932.51B,21.50B,230.92B,75.16B,-6.249B,-3.917B,17.93B,9.457B,179.39B,1.969T,30.23B,647.72B,135.64B,1.789T,1.550T,1.653T,9.457B,54.25B
WFC,2020-03,-1.564B,402.04B,13.25B,0.01,0.01,36.31B,34.12B,2020-03,653.00M,1.003T,21.88B,237.34B,76.24B,664.00M,159.00M,17.54B,8.873B,182.72B,1.981T,30.48B,584.88B,168.53B,1.798T,1.647T,1.629T,8.873B,71.35B
WFC,2019-12,-1.311B,404.71B,12.11B,0.61,0.6,39.76B,22.65B,2019-12,2.873B,957.20B,22.25B,228.19B,75.16B,3.602B,678.00M,19.86B,8.194B,187.15B,1.928T,30.68B,575.61B,179.68B,1.740T,1.615T,1.560T,8.194B,54.56B
WFC,2019-09,-1.639B,419.97B,13.51B,0.93,0.92,39.31B,22.87B,2019-09,4.61B,952.58B,22.65B,230.65B,76.53B,6.116B,1.304B,22.01B,9.142B,193.30B,1.944T,30.68B,603.51B,200.44B,1.750T,1.611T,1.549T,9.142B,65.81B
WFC,2019-06,-2.224B,430.41B,12.78B,1.31,1.3,40.40B,22.49B,2019-06,6.206B,945.04B,22.87B,241.48B,69.71B,7.632B,1.294B,21.58B,9.258B,199.04B,1.923T,32.16B,607.40B,185.05B,1.723T,1.581T,1.538T,9.258B,51.71B
WFC,2019-03,-3.682B,417.07B,12.70B,1.21,1.2,41.69B,29.12B,2019-03,5.86B,935.26B,22.49B,236.34B,74.72B,6.848B,881.00M,21.61B,9.89B,197.83B,1.888T,32.35B,584.73B,181.31B,1.689T,1.570T,1.508T,9.89B,57.80B
WFC,2018-12,-6.336B,443.20B,13.36B,1.22,1.21,43.06B,0,2018-12,6.064B,940.81B,17.96B,229.04B,69.32B,7.12B,966.00M,20.98B,7.639B,196.17B,1.896T,32.35B,594.24B,175.10B,1.699T,1.571T,1.524T,7.639B,60.06B
WFC,2018-09,-6.873B,422.49B,13.03B,1.14,1.13,44.63B,18.13B,2018-09,6.007B,933.52B,18.13B,221.32B,71.35B,7.598B,1.512B,21.94B,8.601B,198.74B,1.873T,32.62B,576.46B,176.80B,1.673T,1.559T,1.497T,8.601B,58.70B
WFC,2018-06,-5.461B,429.14B,15.19B,0.98,0.98,44.32B,18.27B,2018-06,5.186B,939.38B,18.27B,219.28B,72.48B,7.119B,1.81B,21.55B,9.577B,205.19B,1.880T,34.87B,578.87B,176.98B,1.674T,1.566T,1.497T,9.577B,58.45B
WFC,2018-03,-4.921B,474.05B,16.29B,0.97,0.96,44.24B,18.21B,2018-03,5.136B,939.17B,18.21B,227.30B,73.40B,6.701B,1.374B,21.93B,9.938B,204.95B,1.915T,35.36B,621.51B,170.60B,1.709T,1.565T,1.539T,9.938B,62.44B
WFC,2017-12,-2.144B,492.35B,14.57B,1.17,1.16,43.25B,29.81B,2017-12,6.151B,947.58B,18.51B,225.02B,70.62B,4.599B,-1.642B,22.05B,10.64B,206.94B,1.952T,34.49B,648.81B,173.87B,1.744T,1.579T,1.570T,10.64B,64.20B
WFC,2017-09,-1.627B,291.42B,13.99B,0.83,0.83,43.22B,18.12B,2017-09,4.542B,941.75B,18.12B,238.89B,79.21B,6.781B,2.181B,21.85B,8.502B,205.93B,1.935T,34.71B,640.18B,173.02B,1.728T,1.566T,1.555T,8.502B,63.07B
