Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
WHR,2021-03,-2.687B,2.447B,4.21B,308.00M,0,6.87,6.81,4.383B,10.31B,1.148B,2021-03,2.47B,433.00M,-19.00M,-19.00M,3.778B,0,5.817B,638.00M,5.939B,599.00M,159.00M,5.358B,493.00M,4.222B,20.34B,113.00M,9.838B,8.011B,15.20B,10.50B,7.188B,510.00M,4.673B,2.997B
WHR,2020-12,-2.811B,2.924B,4.434B,310.00M,0,7.9,7.77,4.69B,10.97B,1.364B,2020-12,2.187B,497.00M,-64.00M,-64.00M,4.188B,0,5.897B,825.00M,6.302B,652.00M,151.00M,5.798B,523.00M,3.799B,20.35B,113.00M,9.015B,8.33B,15.64B,11.34B,7.311B,539.00M,4.834B,3.109B
WHR,2020-09,-2.754B,3.528B,4.136B,2.033B,0,6.35,6.27,4.653B,10.72B,1.155B,2020-09,2.216B,397.00M,-29.00M,-29.00M,4.04B,0,5.70B,626.00M,5.617B,541.00M,143.00M,5.291B,513.00M,3.371B,20.36B,113.00M,9.307B,9.105B,16.08B,11.05B,6.976B,529.00M,4.179B,2.716B
WHR,2020-06,-2.731B,2.546B,3.411B,2.01B,0,0.55,0.55,4.611B,10.53B,631.00M,2020-06,2.129B,35.00M,-34.00M,-34.00M,4.037B,0,5.627B,195.00M,4.471B,43.00M,18.00M,4.042B,421.00M,3.018B,18.68B,112.00M,7.579B,7.725B,14.75B,11.10B,7.026B,436.00M,3.328B,1.998B
WHR,2020-03,-2.715B,2.837B,3.622B,2.392B,0,2.46,2.45,4.609B,10.43B,703.00M,2020-03,2.543B,154.00M,-41.00M,-41.00M,4.042B,0,5.382B,268.00M,5.097B,222.00M,73.00M,4.325B,420.00M,3.06B,19.40B,112.00M,8.162B,8.576B,15.42B,11.23B,6.839B,435.00M,4.065B,1.931B
WHR,2019-12,-2.618B,1.952B,4.334B,853.00M,0,4.56,4.52,4.665B,10.67B,1.048B,2019-12,2.438B,288.00M,-93.00M,-93.00M,4.222B,0,4.918B,470.00M,6.148B,331.00M,43.00M,5.382B,562.00M,3.195B,18.88B,112.00M,7.398B,8.369B,14.76B,11.48B,6.394B,578.00M,4.547B,2.198B
WHR,2019-09,-2.603B,993.00M,4.35B,1.487B,0,5.62,5.57,4.637B,10.28B,741.00M,2019-09,2.883B,358.00M,-16.00M,-16.00M,3.949B,0,4.722B,233.00M,5.61B,677.00M,313.00M,5.091B,491.00M,3.028B,18.41B,112.00M,7.375B,8.50B,14.46B,11.03B,5.957B,508.00M,4.229B,2.588B
WHR,2019-06,-2.657B,1.178B,4.254B,2.73B,0,1.04,1.04,4.71B,10.47B,932.00M,2019-06,3.008B,67.00M,11.00M,11.00M,4.106B,0,4.815B,330.00M,5.556B,202.00M,130.00M,5.186B,584.00M,2.749B,19.86B,112.00M,8.503B,10.09B,16.19B,11.35B,6.094B,602.00M,4.27B,2.387B
WHR,2019-03,-2.602B,1.163B,3.948B,2.587B,0,7.36,7.31,4.735B,10.40B,812.00M,2019-03,2.96B,471.00M,79.00M,79.00M,4.136B,0,4.786B,289.00M,5.521B,342.00M,-132.00M,4.76B,505.00M,2.802B,19.69B,112.00M,8.236B,9.878B,15.97B,11.45B,6.089B,523.00M,4.31B,2.222B
WHR,2018-12,-2.695B,1.498B,4.71B,1.981B,0,2.66,2.64,4.747B,9.604B,950.00M,2018-12,2.533B,170.00M,-53.00M,-53.00M,3.414B,0,4.046B,340.00M,6.004B,256.00M,86.00M,5.66B,593.00M,2.291B,18.35B,112.00M,7.898B,9.678B,15.14B,10.45B,5.464B,610.00M,4.487B,2.21B
WHR,2018-09,-2.59B,1.032B,4.431B,2.413B,0,3.25,3.22,4.803B,9.612B,895.00M,2018-09,2.873B,210.00M,-76.00M,-76.00M,3.396B,0,4.768B,327.00M,5.679B,223.00M,7.00M,5.326B,550.00M,2.36B,19.09B,112.00M,8.461B,9.674B,15.78B,10.63B,6.111B,568.00M,4.20B,2.881B
WHR,2018-06,-2.506B,1.057B,4.26B,2.058B,0,-9.5,-9.5,4.853B,9.522B,880.00M,2018-06,3.032B,-657.00M,-137.00M,-137.00M,3.427B,0,4.781B,319.00M,5.433B,-609.00M,30.00M,5.14B,541.00M,2.398B,19.07B,112.00M,8.383B,9.145B,15.73B,10.69B,6.581B,561.00M,4.051B,2.464B
WHR,2018-03,-2.344B,1.041B,4.099B,1.692B,0,1.31,1.3,5.761B,10.95B,812.00M,2018-03,3.346B,94.00M,-34.00M,-34.00M,3.97B,0,4.19B,287.00M,5.912B,109.00M,15.00M,4.911B,505.00M,4.289B,20.34B,112.00M,8.091B,8.943B,15.12B,12.25B,6.176B,525.00M,4.643B,2.657B
WHR,2017-12,-2.331B,1.196B,4.717B,826.00M,0,-3.74,-3.74,5.709B,10.86B,985.00M,2017-12,2.988B,-268.00M,-58.00M,-58.00M,4.033B,0,4.392B,392.00M,6.324B,209.00M,481.00M,5.702B,566.00M,4.198B,20.04B,112.00M,7.93B,8.505B,14.91B,12.11B,6.405B,593.00M,4.797B,2.665B
