Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
WLTW,2020-12,-2.359B,17.25B,1.419B,1.123B,96.00M,3.67,3.66,14.25B,3.043B,1.345B,2020-12,476.00M,-64.00M,-64.00M,1.916B,694.00M,5.601B,656.00M,1.774B,602.00M,119.00M,2.764B,0,10.82B,38.53B,0,20.30B,19.33B,27.60B,18.23B,8.267B,689.00M,1.067B,2.679B
WLTW,2020-09,-2.253B,17.21B,1.331B,1.116B,1.733B,0.93,0.93,14.26B,1.891B,678.00M,2020-09,121.00M,-62.00M,-62.00M,1.891B,587.00M,5.556B,115.00M,1.028B,168.00M,46.00M,2.009B,0,10.52B,38.04B,0,19.91B,19.22B,27.42B,18.12B,8.197B,563.00M,832.00M,2.223B
WLTW,2020-06,-2.39B,17.13B,1.363B,669.00M,26.00M,0.73,0.72,14.45B,1.883B,750.00M,2020-06,94.00M,-62.00M,-62.00M,1.883B,575.00M,5.974B,177.00M,1.017B,177.00M,75.00M,2.113B,0,10.34B,38.11B,0,19.92B,19.02B,27.65B,18.19B,8.635B,573.00M,854.00M,2.491B
WLTW,2020-03,-2.446B,16.49B,1.394B,848.00M,17.00M,2.36,2.34,14.52B,1.88B,1.072B,2020-03,305.00M,-61.00M,-61.00M,1.88B,501.00M,6.091B,369.00M,1.512B,391.00M,78.00M,2.466B,0,10.26B,37.73B,0,19.55B,18.62B,27.34B,18.18B,8.714B,703.00M,1.094B,2.669B
WLTW,2019-12,-2.227B,13.89B,1.34B,480.00M,75.00M,4.2,4.18,14.67B,2.91B,1.35B,2019-12,544.00M,-80.00M,-80.00M,2.014B,702.00M,6.287B,688.00M,1.402B,675.00M,124.00M,2.69B,0,10.25B,35.43B,0,17.04B,16.07B,25.06B,18.39B,8.987B,662.00M,1.047B,2.702B
WLTW,2019-09,-2.113B,14.65B,1.283B,635.00M,0,0.58,0.58,14.75B,1.922B,706.00M,2019-09,75.00M,-61.00M,-61.00M,1.922B,858.00M,6.361B,113.00M,967.00M,100.00M,20.00M,1.989B,0,9.887B,35.70B,0,17.40B,16.74B,25.70B,18.30B,8.966B,593.00M,793.00M,2.375B
WLTW,2019-06,-1.993B,15.42B,1.278B,341.00M,0,1.06,1.06,13.51B,1.897B,770.00M,2019-06,138.00M,-56.00M,-56.00M,1.897B,693.00M,5.249B,176.00M,831.00M,187.00M,38.00M,2.048B,0,10.09B,35.17B,0,18.33B,17.20B,24.96B,16.83B,7.758B,594.00M,688.00M,2.578B
WLTW,2019-03,-1.974B,16.12B,1.348B,345.00M,0,2.21,2.2,13.64B,1.903B,964.00M,2019-03,287.00M,-54.00M,-54.00M,1.903B,701.00M,5.504B,365.00M,1.287B,360.00M,67.00M,2.312B,0,10.09B,35.89B,0,19.02B,17.65B,25.68B,16.87B,8.025B,599.00M,907.00M,2.49B
WLTW,2018-12,-1.961B,13.64B,1.233B,186.00M,0,2.91,2.89,13.80B,1.71B,1.139B,2018-12,378.00M,-54.00M,-54.00M,942.00M,706.00M,4.538B,524.00M,811.00M,477.00M,94.00M,2.372B,0,9.852B,32.38B,0,16.42B,15.30B,22.41B,15.96B,7.113B,615.00M,679.00M,2.44B
WLTW,2018-09,-1.627B,14.08B,1.238B,186.00M,0,0.34,0.33,13.89B,0,621.00M,2018-09,44.00M,-51.00M,-51.00M,944.00M,817.00M,4.653B,67.00M,0,36.00M,-10.00M,1.859B,0,10.05B,33.04B,0,16.76B,15.56B,22.88B,16.28B,7.323B,554.00M,0,2.333B
WLTW,2018-06,-1.605B,15.04B,1.275B,85.00M,55.00M,0.44,0.44,14.03B,1.862B,715.00M,2018-06,58.00M,-52.00M,-52.00M,924.00M,829.00M,4.751B,118.00M,858.00M,74.00M,9.00M,1.99B,0,10.23B,34.21B,0,17.89B,16.38B,23.87B,16.32B,7.484B,597.00M,715.00M,2.394B
WLTW,2018-03,-1.43B,14.57B,1.377B,85.00M,1.472B,1.62,1.61,14.32B,1.481B,915.00M,2018-03,215.00M,-51.00M,-51.00M,926.00M,711.00M,4.507B,302.00M,797.00M,264.00M,43.00M,2.292B,0,10.67B,34.21B,0,17.61B,15.80B,23.41B,16.61B,7.606B,613.00M,670.00M,2.60B
WLTW,2017-12,-1.513B,13.18B,1.291B,85.00M,1.257B,1.85,1.84,14.40B,0,787.00M,2017-12,245.00M,-49.00M,-49.00M,985.00M,791.00M,4.616B,219.00M,1.30B,80.00M,-173.00M,2.078B,0,10.13B,32.46B,0,15.86B,14.76B,22.21B,16.60B,7.454B,568.00M,998.00M,2.416B
WLTW,2017-09,-1.676B,13.12B,1.212B,85.00M,1.534B,-0.4,-0.4,14.56B,0,640.00M,2017-09,-54.00M,-47.00M,-47.00M,937.00M,1.019B,4.633B,79.00M,819.00M,-35.00M,19.00M,1.852B,0,9.915B,32.27B,0,15.69B,14.56B,22.25B,16.58B,7.69B,561.00M,703.00M,2.294B
WLTW,2017-06,-1.776B,13.60B,1.211B,85.00M,1.338B,0.24,0.24,14.66B,0,742.00M,2017-06,33.00M,-46.00M,-46.00M,895.00M,990.00M,4.229B,151.00M,589.00M,49.00M,8.00M,1.953B,0,10.26B,32.77B,0,16.23B,15.03B,22.39B,16.54B,7.358B,591.00M,314.00M,2.288B
WLTW,2017-03,-1.908B,13.17B,1.253B,120.00M,1.283B,2.51,2.5,14.69B,0,1.066B,2017-03,344.00M,-46.00M,-46.00M,863.00M,799.00M,3.975B,468.00M,408.00M,398.00M,46.00M,2.319B,0,10.28B,32.23B,0,15.80B,14.58B,21.83B,16.44B,7.243B,598.00M,208.00M,2.307B
WLTW,2016-12,-1.884B,11.38B,1.33B,508.00M,1.178B,0.25,0.25,14.78B,0,597.00M,2016-12,142.00M,-46.00M,-46.00M,839.00M,1.064B,3.49B,23.00M,375.00M,43.00M,-107.00M,1.927B,0,10.06B,30.25B,0,13.79B,13.37B,20.07B,16.46B,6.70B,574.00M,200.00M,2.177B
WLTW,2016-09,-1.221B,12.37B,1.119B,519.00M,0,-0.23,-0.23,15.07B,0,658.00M,2016-09,-32.00M,-45.00M,-45.00M,811.00M,1.34B,3.407B,86.00M,421.00M,-58.00M,-26.00M,1.777B,0,10.77B,31.80B,0,14.73B,14.22B,20.90B,17.07B,6.683B,572.00M,252.00M,2.115B
