Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
WM,2020-12,39.00M,553.00M,2.50B,551.00M,539.00M,1.04,1.03,10.02B,34.24B,1.567B,2020-12,124.00M,438.00M,-97.00M,-97.00M,14.15B,1.806B,13.26B,621.00M,2.463B,547.00M,109.00M,4.067B,496.00M,7.452B,29.34B,6.00M,3.54B,3.553B,21.89B,25.80B,18.34B,946.00M,1.121B,2.624B
WM,2020-09,-16.00M,703.00M,2.332B,167.00M,496.00M,0.92,0.92,6.954B,32.11B,1.529B,2020-09,117.00M,390.00M,-97.00M,-97.00M,12.85B,1.468B,10.26B,694.00M,2.143B,516.00M,126.00M,3.861B,412.00M,7.155B,24.77B,6.00M,3.357B,2.806B,17.62B,21.42B,14.81B,835.00M,884.00M,2.217B
WM,2020-06,-41.00M,2.663B,2.18B,3.19B,494.00M,0.73,0.72,6.984B,31.95B,1.381B,2020-06,118.00M,307.00M,-119.00M,-119.00M,12.92B,1.367B,9.598B,590.00M,2.088B,395.00M,88.00M,3.561B,355.00M,6.891B,26.62B,6.00M,5.106B,5.772B,19.73B,21.51B,13.95B,791.00M,904.00M,2.107B
WM,2020-03,-91.00M,3.125B,2.329B,387.00M,497.00M,0.85,0.85,6.992B,31.66B,1.40B,2020-03,116.00M,361.00M,-112.00M,-112.00M,12.90B,1.387B,13.06B,573.00M,2.186B,435.00M,74.00M,3.729B,411.00M,6.743B,27.18B,6.00M,5.635B,3.07B,20.43B,21.54B,17.36B,827.00M,1.031B,2.168B
WM,2019-12,-8.00M,3.561B,2.314B,218.00M,534.00M,1.05,1.05,7.053B,31.55B,1.532B,2019-12,106.00M,447.00M,-110.00M,-110.00M,12.89B,1.407B,13.28B,692.00M,2.392B,531.00M,84.00M,3.846B,433.00M,7.068B,27.74B,6.00M,6.209B,3.144B,20.67B,21.53B,17.53B,840.00M,1.065B,2.319B
WM,2019-09,-33.00M,2.915B,2.441B,211.00M,517.00M,1.17,1.16,7.093B,31.30B,1.526B,2019-09,109.00M,495.00M,-105.00M,-105.00M,12.80B,1.331B,13.15B,736.00M,2.261B,615.00M,120.00M,3.967B,379.00M,6.785B,27.11B,6.00M,5.56B,2.989B,20.32B,21.55B,17.33B,790.00M,903.00M,2.28B
WM,2019-06,-22.00M,2.25B,2.443B,116.00M,526.00M,0.9,0.89,7.059B,31.28B,1.503B,2019-06,104.00M,381.00M,-100.00M,-100.00M,12.66B,1.289B,12.62B,703.00M,2.204B,497.00M,115.00M,3.946B,381.00M,6.466B,25.99B,6.00M,4.836B,2.846B,19.52B,21.15B,16.67B,800.00M,908.00M,2.26B
WM,2019-03,-53.00M,57.00M,2.298B,1.043B,512.00M,0.82,0.81,7.049B,30.74B,1.398B,2019-03,105.00M,347.00M,-96.00M,-96.00M,12.39B,1.297B,9.323B,623.00M,2.057B,462.00M,115.00M,3.696B,400.00M,6.415B,23.37B,6.00M,2.488B,3.612B,16.96B,20.88B,13.34B,775.00M,899.00M,2.081B
WM,2018-12,-87.00M,61.00M,2.379B,432.00M,522.00M,1.25,1.24,7.002B,30.21B,1.463B,2018-12,102.00M,531.00M,-97.00M,-97.00M,11.94B,1.291B,9.594B,723.00M,2.154B,659.00M,128.00M,3.842B,351.00M,6.275B,22.65B,6.00M,2.645B,3.108B,16.37B,20.00B,13.27B,740.00M,1.037B,2.275B
WM,2018-09,-16.00M,83.00M,2.373B,447.00M,512.00M,1.16,1.16,6.944B,29.99B,1.449B,2018-09,103.00M,499.00M,-93.00M,-93.00M,11.82B,1.245B,9.569B,728.00M,2.111B,597.00M,99.00M,3.822B,332.00M,6.239B,22.59B,6.00M,2.675B,3.07B,16.35B,19.92B,13.28B,721.00M,940.00M,2.342B
