Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
WMB,2020-12,-96.00M,142.00M,953.00M,921.00M,129.00M,0.09,0.09,7.444B,42.49B,1.139B,2020-12,136.00M,116.00M,-290.00M,-290.00M,28.93B,1.923B,21.45B,700.00M,1.206B,185.00M,55.00M,2.092B,112.00M,11.77B,44.16B,1.283B,1.429B,2.319B,29.58B,42.74B,27.26B,439.00M,482.00M,999.00M
WMB,2020-09,-160.00M,70.00M,827.00M,432.00M,158.00M,0.25,0.25,7.531B,42.38B,1.106B,2020-09,157.00M,309.00M,-292.00M,-292.00M,29.11B,1.846B,21.95B,641.00M,1.429B,434.00M,111.00M,1.933B,114.00M,12.06B,44.32B,1.283B,1.403B,1.861B,29.42B,42.92B,27.56B,465.00M,464.00M,1.011B
WMB,2020-06,-176.00M,1.133B,716.00M,626.00M,244.00M,0.25,0.25,7.609B,42.09B,1.065B,2020-06,134.00M,303.00M,-294.00M,-294.00M,29.14B,1.729B,22.32B,612.00M,1.812B,432.00M,117.00M,1.781B,127.00M,12.21B,45.34B,1.283B,2.338B,2.438B,30.26B,43.00B,27.82B,453.00M,769.00M,907.00M
WMB,2020-03,-205.00M,400.00M,838.00M,628.00M,0,-0.43,-0.43,7.688B,41.77B,1.075B,2020-03,105.00M,-517.00M,-296.00M,-296.00M,29.14B,1.602B,21.85B,618.00M,1.488B,-774.00M,-204.00M,1.913B,113.00M,12.35B,44.63B,1.283B,1.565B,2.116B,29.37B,43.06B,27.25B,457.00M,359.00M,930.00M
WMB,2019-12,-199.00M,289.00M,980.00M,2.161B,0,0.1,0.1,7.959B,41.51B,1.127B,2019-12,125.00M,124.00M,-298.00M,-298.00M,29.20B,1.782B,20.15B,624.00M,1.601B,40.00M,91.00M,2.107B,148.00M,13.36B,46.04B,1.282B,1.58B,3.968B,29.68B,44.46B,25.71B,503.00M,552.00M,996.00M
WMB,2019-09,-266.00M,247.00M,888.00M,1.538B,0,0.18,0.18,8.041B,41.65B,1.111B,2019-09,129.00M,221.00M,-296.00M,-296.00M,29.61B,1.651B,20.72B,628.00M,1.786B,319.00M,77.00M,1.999B,130.00M,13.62B,46.28B,1.282B,1.434B,3.324B,29.42B,44.85B,26.10B,483.00M,602.00M,875.00M
WMB,2019-06,-265.00M,806.00M,931.00M,1.563B,0,0.26,0.26,8.123B,40.87B,1.11B,2019-06,134.00M,310.00M,-296.00M,-296.00M,29.13B,1.567B,20.71B,562.00M,1.826B,422.00M,98.00M,2.041B,152.00M,13.85B,46.51B,1.281B,2.028B,3.389B,29.43B,44.48B,26.04B,548.00M,627.00M,879.00M
WMB,2019-03,-267.00M,43.00M,981.00M,2.575B,0,0.16,0.16,8.096B,40.54B,1.073B,2019-03,129.00M,195.00M,-296.00M,-296.00M,29.08B,1.601B,20.70B,561.00M,1.594B,283.00M,69.00M,2.054B,128.00M,14.41B,45.97B,1.281B,1.287B,4.169B,30.24B,44.68B,26.08B,512.00M,620.00M,929.00M
WMB,2018-12,-270.00M,168.00M,1.149B,47.00M,0,-0.4727,-0.4727,7.767B,38.66B,1.055B,2018-12,130.00M,-571.00M,-294.00M,-294.00M,27.50B,1.524B,22.37B,523.00M,1.456B,-705.00M,-159.00M,2.204B,133.00M,14.66B,45.30B,1.28B,1.464B,1.811B,29.30B,43.84B,27.49B,532.00M,662.00M,992.00M
WMB,2018-09,-291.00M,42.00M,1.245B,856.00M,0,0.13,0.13,8.324B,39.95B,1.058B,2018-09,153.00M,129.00M,-270.00M,-270.00M,28.67B,1.648B,21.41B,501.00M,1.856B,390.00M,190.00M,2.303B,174.00M,15.61B,47.15B,1.28B,1.984B,2.761B,30.19B,45.17B,27.43B,557.00M,739.00M,883.00M
