Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
WMT,2021-01,-11.77B,17.74B,115.26B,5.296B,2.31B,-0.74,-0.74,28.98B,198.22B,36.82B,2021-01,44.95B,-2.091B,-494.00M,-494.00M,109.85B,14.37B,57.95B,5.487B,67.61B,-593.00M,1.415B,152.08B,31.33B,80.92B,252.50B,282.00M,90.07B,92.64B,164.96B,162.43B,72.32B,31.33B,52.71B,6.516B
WMT,2020-10,-14.62B,14.32B,100.34B,6.897B,1.99B,1.81,1.8,30.24B,124.29B,34.37B,2020-10,51.84B,5.135B,-516.00M,-516.00M,124.29B,13.66B,61.58B,5.778B,81.22B,7.115B,1.914B,134.71B,28.59B,81.43B,250.86B,283.00M,73.60B,88.12B,163.36B,177.26B,75.24B,28.59B,56.23B,5.77B
WMT,2020-07,-15.78B,16.91B,102.69B,8.193B,1.932B,2.29,2.27,29.54B,122.89B,35.05B,2020-07,41.08B,6.476B,-635.00M,-635.00M,122.89B,12.93B,61.30B,6.059B,73.76B,8.646B,2.207B,137.74B,28.99B,75.31B,237.38B,283.00M,65.00B,81.96B,156.18B,172.39B,74.23B,28.99B,50.00B,5.111B
WMT,2020-04,-16.17B,14.93B,102.03B,12.28B,0,1.41,1.4,29.42B,123.38B,32.60B,2020-04,41.22B,3.99B,-549.00M,-549.00M,123.38B,12.99B,63.15B,5.224B,70.36B,5.396B,1.322B,134.62B,27.37B,68.24B,232.89B,284.00M,63.33B,82.65B,158.78B,169.56B,76.14B,27.37B,49.99B,5.029B
WMT,2020-01,-12.80B,9.465B,107.75B,8.241B,0,1.46,1.45,31.07B,216.87B,33.92B,2020-01,44.44B,4.141B,-611.00M,-611.00M,127.05B,12.96B,64.19B,5.322B,63.09B,5.673B,1.379B,141.67B,28.60B,74.67B,236.50B,284.00M,61.81B,77.79B,154.94B,174.69B,77.15B,28.60B,50.29B,6.284B
WMT,2019-10,-12.38B,8.606B,95.90B,11.23B,0,1.16,1.15,30.72B,125.42B,32.09B,2019-10,51.55B,3.288B,-589.00M,-589.00M,125.42B,13.02B,64.72B,4.718B,72.56B,4.373B,1.052B,127.99B,27.37B,71.65B,239.83B,284.00M,67.91B,83.78B,161.52B,171.92B,77.74B,27.37B,51.58B,5.612B
WMT,2019-07,-11.27B,9.283B,97.92B,10.31B,0,1.27,1.26,31.45B,125.86B,32.45B,2019-07,44.13B,3.61B,-585.00M,-585.00M,125.86B,13.05B,64.40B,5.583B,69.97B,4.913B,1.233B,130.38B,26.87B,70.33B,234.86B,285.00M,61.37B,80.28B,157.73B,173.49B,77.45B,26.87B,49.28B,5.382B
WMT,2019-04,-11.09B,9.255B,93.03B,8.475B,0,1.34,1.33,31.42B,125.24B,30.89B,2019-04,44.75B,3.842B,-625.00M,-625.00M,125.24B,12.79B,66.95B,4.945B,71.41B,5.157B,1.251B,123.92B,25.95B,68.20B,234.54B,286.00M,61.74B,79.89B,159.63B,172.80B,79.75B,25.95B,50.39B,5.342B
WMT,2019-01,-11.54B,7.722B,104.91B,7.83B,0,1.27,1.27,31.18B,192.89B,33.89B,2019-01,44.27B,3.687B,-605.00M,-605.00M,111.40B,11.98B,50.20B,6.067B,63.74B,5.664B,1.851B,138.79B,27.82B,72.50B,219.30B,288.00M,61.90B,77.48B,139.66B,157.40B,62.18B,27.82B,50.47B,6.283B
WMT,2018-10,-11.47B,9.174B,93.12B,11.10B,0,0.58,0.58,31.04B,197.18B,31.78B,2018-10,50.38B,1.71B,-534.00M,-534.00M,111.35B,11.47B,49.90B,4.986B,74.66B,2.576B,759.00M,124.89B,26.79B,72.00B,226.58B,291.00M,69.45B,85.75B,147.11B,157.14B,61.36B,26.79B,51.86B,5.785B
WMT,2018-07,-12.63B,15.84B,95.57B,2.228B,2.017B,-0.29,-0.29,17.84B,195.07B,32.46B,2018-07,41.98B,-861.00M,-503.00M,-503.00M,111.02B,8.999B,51.57B,5.75B,69.46B,398.00M,1.125B,128.03B,26.71B,71.18B,206.06B,294.00M,66.37B,71.68B,132.25B,139.69B,60.57B,26.71B,46.61B,5.002B
WMT,2018-04,-10.28B,7.885B,91.71B,10.04B,1.856B,0.72,0.72,18.85B,199.76B,30.98B,2018-04,43.30B,2.134B,-487.00M,-487.00M,114.80B,9.541B,36.30B,5.154B,70.72B,2.822B,546.00M,122.69B,25.83B,75.55B,204.93B,294.00M,59.24B,80.76B,126.60B,145.68B,45.85B,25.83B,49.94B,4.568B
WMT,2018-01,-10.18B,6.756B,102.64B,9.662B,0,0.74,0.73,18.24B,197.86B,33.63B,2018-01,43.78B,2.175B,-499.00M,-499.00M,114.82B,8.354B,36.82B,4.467B,63.10B,2.964B,601.00M,136.27B,29.16B,77.87B,204.52B,295.00M,59.66B,78.52B,123.70B,144.86B,45.18B,29.16B,49.81B,5.614B
WMT,2017-10,-11.13B,7.026B,91.55B,9.021B,0,0.59,0.58,18.20B,197.74B,31.63B,2017-10,50.15B,1.749B,-541.00M,-541.00M,115.30B,9.167B,40.91B,4.764B,71.41B,2.879B,975.00M,123.18B,26.87B,76.14B,209.41B,297.00M,65.37B,80.44B,130.51B,144.05B,50.07B,26.87B,49.66B,5.865B
WMT,2017-07,-11.10B,6.469B,91.52B,7.174B,0,0.96,0.96,18.04B,196.13B,31.83B,2017-07,43.44B,2.899B,-575.00M,-575.00M,115.35B,9.24B,40.47B,5.969B,65.64B,4.606B,1.502B,123.36B,25.86B,76.39B,201.57B,299.00M,56.76B,72.81B,122.52B,144.80B,49.71B,25.86B,45.95B,5.395B
WMT,2017-04,-12.95B,6.545B,87.69B,6.472B,0,1,1,17.58B,192.93B,29.85B,2017-04,43.36B,3.039B,-563.00M,-563.00M,114.17B,9.386B,40.02B,5.237B,67.72B,4.674B,1.522B,117.54B,24.62B,73.69B,199.72B,302.00M,57.34B,74.19B,123.60B,142.38B,49.41B,24.62B,48.01B,5.252B
WMT,2017-01,-14.23B,6.867B,97.74B,3.92B,0,1.23,1.22,17.04B,191.13B,33.19B,2017-01,43.05B,3.757B,-555.00M,-555.00M,114.18B,9.344B,42.02B,6.205B,57.23B,5.65B,1.664B,130.94B,26.99B,77.80B,198.82B,305.00M,57.69B,66.93B,118.29B,141.14B,51.36B,26.99B,45.17B,5.835B
WMT,2016-10,-12.34B,5.939B,87.48B,7.897B,0,0.98,0.98,17.79B,191.15B,30.70B,2016-10,49.82B,3.034B,-585.00M,-585.00M,115.09B,10.14B,42.11B,5.119B,66.23B,4.534B,1.332B,118.18B,25.58B,77.69B,206.86B,308.00M,63.40B,74.13B,126.38B,143.46B,52.25B,25.58B,44.99B,5.344B
