Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Income (Quarterly),Net Income,Net Loan Assets,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
WRB,2021-03,-62.17M,2.998B,0,0,1.24,1.23,169.65M,2021-03,229.52M,84.91M,-36.65M,-36.65M,405.93M,42.16M,2.725B,467.41M,296.07M,64.35M,2.162B,0,6.415B,29.79B,70.54M,8.769B,467.41M,29.79B,7.635B,18.47B,134.38M,467.41M,5.123B
WRB,2020-12,-170.89M,3.007B,0,0,1.68,1.67,169.65M,2020-12,312.15M,84.77M,-35.66M,-35.66M,410.23M,26.42M,3.073B,406.84M,399.41M,86.92M,2.288B,0,6.311B,28.61B,70.54M,8.401B,406.84M,22.28B,16.49B,18.54B,174.86M,406.84M,4.768B
WRB,2020-09,-249.35M,2.793B,0,0,0.82,0.81,169.65M,2020-09,151.68M,82.13M,-39.77M,-39.77M,414.34M,0,2.925B,435.73M,206.41M,54.05M,2.035B,0,5.995B,28.21B,70.54M,8.117B,435.73M,22.17B,16.29B,17.91B,129.54M,435.73M,4.715B
WRB,2020-06,-589.52M,1.321B,0,0,0.38,0.38,169.65M,2020-06,71.26M,87.06M,-38.37M,-38.37M,422.01M,0,2.631B,368.72M,105.45M,33.79M,1.943B,0,5.801B,27.32B,70.54M,6.368B,368.72M,21.48B,15.66B,17.23B,124.80M,368.72M,4.470B
WRB,2020-03,-257.30M,1.504B,0,0,-0.02,-0.02,169.65M,2020-03,-4.418M,91.80M,-36.73M,-36.73M,422.09M,0,2.626B,370.32M,-6.468M,-2.942M,1.832B,0,5.493B,26.09B,70.54M,6.650B,370.32M,20.55B,16.13B,17.04B,140.14M,370.32M,4.578B
WRB,2019-12,-322.10M,1.256B,0,0,0.62,0.62,169.65M,2019-12,119.31M,92.28M,-33.50M,-33.50M,416.97M,0,2.343B,351.83M,146.76M,26.97M,1.978B,0,6.075B,26.66B,70.54M,6.101B,351.83M,20.54B,16.51B,16.69B,171.52M,351.83M,4.298B
WRB,2019-09,-260.80M,1.675B,0,0,0.87,0.85,173.04M,2019-09,165.21M,94.70M,-38.48M,-38.48M,398.88M,0,2.782B,333.39M,202.98M,37.83M,1.988B,0,6.056B,26.22B,70.54M,6.690B,333.39M,20.12B,16.56B,17.07B,150.81M,333.39M,4.477B
WRB,2019-06,-364.98M,1.279B,0,0,1.14,1.12,173.04M,2019-06,216.71M,95.56M,-40.72M,-40.72M,406.84M,0,2.783B,306.02M,273.74M,56.31M,2.023B,0,5.977B,26.49B,70.54M,6.025B,306.02M,20.47B,16.08B,16.71B,136.08M,306.02M,4.228B
WRB,2019-03,-510.47M,1.097B,0,0,0.95,0.95,173.04M,2019-03,180.72M,94.81M,-40.72M,-40.72M,416.37M,0,2.790B,256.92M,229.44M,47.82M,1.944B,0,5.760B,25.59B,70.54M,5.683B,256.92M,19.78B,15.86B,16.44B,145.43M,256.92M,4.088B
WRB,2018-12,0,0,0,0,0.6933,0.6867,0,2018-12,132.36M,0,-40.58M,-40.58M,0,0,0,0,162.64M,26.37M,1.957B,0,5.438B,24.90B,0,0,0,19.42B,15.52B,0,173.48M,0,0
WRB,2018-09,-474.94M,1.145B,0,0,0.85,0.84,171.10M,2018-09,161.92M,96.59M,-39.85M,-39.85M,424.75M,86.76M,2.698B,231.20M,209.22M,44.78M,1.955B,0,5.438B,24.86B,47.02M,5.603B,231.20M,19.38B,15.75B,16.47B,141.73M,231.20M,3.961B
