Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Research and Development Expense,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
WRK,2020-12,-1.115B,253.80M,3.649B,168.70M,0.58,0.57,9.595B,18.22B,752.90M,2020-12,2.085B,152.00M,-93.80M,-93.80M,10.78B,2.911B,8.771B,243.20M,1.672B,202.80M,50.30M,0,4.402B,417.80M,10.96B,28.84B,2.60M,4.864B,3.049B,17.86B,23.97B,14.81B,509.70M,1.672B,2.023B
WRK,2020-09,-1.320B,251.10M,3.658B,222.90M,-4.439,-4.45,9.629B,17.92B,813.40M,2020-09,2.023B,-1.156B,-110.30M,-110.30M,10.78B,2.917B,9.208B,324.40M,1.674B,-1.114B,40.00M,0,4.472B,390.00M,10.63B,28.78B,2.60M,4.945B,2.929B,18.13B,23.84B,15.20B,489.00M,1.674B,2.143B
WRK,2020-06,-1.387B,291.50M,3.466B,213.10M,0.69,0.69,11.02B,17.80B,770.00M,2020-06,2.138B,178.50M,-92.40M,-92.40M,10.92B,2.888B,9.840B,282.30M,1.514B,199.20M,19.20M,0,4.236B,388.10M,11.71B,30.28B,2.60M,5.006B,2.787B,18.55B,25.27B,15.76B,487.70M,1.514B,2.083B
WRK,2020-03,-1.419B,640.20M,3.642B,432.00M,0.57,0.57,11.11B,17.66B,804.80M,2020-03,2.125B,148.10M,-97.30M,-97.30M,11.04B,2.878B,10.42B,285.20M,1.696B,206.70M,57.80M,0,4.447B,419.50M,11.48B,30.96B,2.60M,5.492B,3.140B,19.46B,25.47B,16.32B,519.60M,1.696B,2.222B
WRK,2019-12,-1.035B,156.40M,3.615B,565.10M,0.54,0.53,11.30B,17.81B,809.00M,2019-12,2.190B,138.50M,-93.50M,-93.50M,11.28B,2.892B,9.649B,281.50M,1.781B,186.00M,46.50M,0,4.424B,425.70M,11.83B,30.94B,2.60M,4.953B,3.447B,19.10B,25.98B,15.65B,527.50M,1.781B,2.062B
WRK,2019-09,-1.069B,151.60M,3.573B,561.10M,1.205,1.2,11.35B,17.46B,1.079B,2019-09,2.108B,310.80M,-114.00M,-114.00M,11.19B,2.878B,9.502B,553.00M,1.832B,401.70M,89.30M,0,4.652B,423.20M,11.67B,30.16B,2.60M,4.974B,3.435B,18.47B,25.18B,15.04B,525.70M,1.832B,2.193B
WRK,2019-06,-695.40M,179.10M,3.701B,779.10M,0.98,0.98,11.50B,17.21B,988.90M,2019-06,2.074B,252.60M,-111.10M,-111.10M,11.17B,2.966B,9.759B,445.80M,1.707B,331.40M,77.60M,0,4.69B,440.70M,11.83B,30.81B,2.60M,5.194B,3.590B,18.97B,25.62B,15.38B,543.10M,1.707B,2.398B
WRK,2019-03,-725.50M,154.20M,3.720B,1.422B,0.63,0.62,11.58B,16.85B,899.60M,2019-03,2.097B,160.40M,-111.80M,-111.80M,11.03B,2.955B,9.373B,353.10M,1.702B,209.10M,47.20M,0,4.62B,444.10M,11.64B,30.69B,2.60M,5.214B,4.047B,19.04B,25.48B,14.99B,546.50M,1.702B,2.367B
WRK,2018-12,-754.80M,260.70M,3.546B,1.093B,0.55,0.54,11.67B,16.53B,781.80M,2018-12,2.102B,139.10M,-94.40M,-94.40M,10.97B,2.933B,9.728B,288.00M,1.680B,202.50M,62.70M,0,4.327B,400.90M,11.60B,30.67B,2.60M,5.226B,3.730B,19.05B,25.44B,15.32B,493.80M,1.680B,2.316B
WRK,2018-09,-695.30M,636.80M,3.295B,740.70M,1.103,1.08,8.700B,14.42B,941.70M,2018-09,1.830B,279.60M,-74.00M,-74.00M,9.082B,2.322B,5.674B,490.70M,1.717B,375.40M,95.40M,0,4.237B,377.70M,11.47B,25.36B,2.50M,4.785B,3.333B,13.88B,20.58B,10.54B,451.00M,1.717B,2.011B
WRK,2018-06,-674.30M,452.60M,3.270B,594.40M,1.05,1.03,8.749B,14.06B,867.10M,2018-06,1.819B,268.20M,-76.70M,-76.70M,8.932B,2.249B,5.943B,406.60M,1.484B,355.80M,84.50M,0,4.138B,384.90M,11.39B,25.14B,2.50M,4.626B,2.968B,13.72B,20.51B,10.76B,460.50M,1.484B,1.981B
WRK,2018-03,-441.70M,266.50M,3.228B,1.114B,0.87,0.86,8.895B,14.00B,789.40M,2018-03,1.888B,223.20M,-78.30M,-78.30M,9.057B,2.306B,5.613B,318.40M,1.443B,243.30M,18.80M,0,4.017B,395.80M,11.55B,25.44B,2.60M,4.577B,3.346B,13.86B,20.86B,10.51B,471.00M,1.443B,1.950B
