Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Research and Development Expense,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
WST,2020-12,-110.60M,615.50M,369.10M,12.40M,51.00M,1.33,1.29,141.60M,2.104B,211.10M,2020-12,321.30M,98.40M,-1.90M,-1.90M,1.012B,33.30M,313.30M,121.90M,390.10M,115.10M,20.40M,12.90M,580.20M,76.30M,1.854B,2.794B,18.80M,1.374B,503.40M,939.30M,1.420B,435.90M,89.20M,267.10M,385.30M
WST,2020-09,-159.50M,519.40M,353.40M,12.20M,27.50M,1.11,1.09,139.90M,2.007B,194.60M,2020-09,294.90M,82.30M,-1.90M,-1.90M,950.90M,4.50M,313.30M,105.90M,306.60M,97.70M,21.10M,12.50M,548.00M,76.20M,1.719B,2.583B,18.80M,1.238B,447.70M,863.90M,1.344B,416.20M,88.70M,210.50M,373.00M
WST,2020-06,-187.80M,445.90M,332.10M,12.10M,25.50M,1.24,1.21,138.80M,1.927B,195.10M,2020-06,274.80M,91.20M,-1.80M,-1.80M,908.30M,0,314.80M,106.60M,261.20M,102.00M,16.00M,10.80M,527.20M,77.70M,1.606B,2.392B,18.80M,1.111B,375.20M,786.00M,1.282B,410.80M,88.50M,191.50M,340.60M
WST,2020-03,-192.30M,335.30M,324.50M,11.70M,0,1.01,0.99,135.00M,1.885B,167.00M,2020-03,251.00M,74.30M,-1.20M,-1.20M,896.80M,5.60M,315.60M,84.50M,233.00M,86.50M,15.00M,10.70M,491.50M,71.80M,1.490B,2.246B,18.80M,977.50M,344.40M,756.30M,1.269B,411.90M,82.50M,171.80M,333.00M
WST,2019-12,-149.60M,439.10M,317.40M,11.90M,0,0.86,0.84,137.60M,1.890B,153.20M,2019-12,235.70M,63.90M,-0.80M,-0.80M,909.40M,33.30M,317.40M,78.70M,273.40M,77.40M,16.50M,10.20M,470.60M,69.00M,1.573B,2.341B,18.80M,1.059B,341.60M,768.20M,1.283B,426.60M,74.50M,181.50M,319.30M
WST,2019-09,-170.40M,396.00M,308.30M,9.80M,0,0.76,0.75,135.30M,1.851B,147.80M,2019-09,230.40M,56.30M,-1.10M,-1.10M,883.40M,10.30M,258.60M,73.70M,237.00M,64.90M,10.90M,9.30M,456.10M,64.80M,1.488B,2.174B,18.80M,1.004B,335.00M,686.40M,1.170B,351.40M,74.10M,164.40M,316.10M
WST,2019-06,-152.20M,326.70M,311.80M,10.20M,0,0.9,0.88,137.90M,1.861B,157.90M,2019-06,232.30M,66.10M,-1.40M,-1.40M,897.40M,13.50M,262.40M,78.00M,216.50M,79.60M,15.50M,9.60M,469.70M,70.30M,1.445B,2.123B,18.80M,944.30M,313.20M,678.10M,1.179B,364.90M,79.90M,157.50M,330.80M
WST,2019-03,-153.40M,265.50M,296.70M,10.20M,0,0.75,0.73,124.70M,1.835B,146.80M,2019-03,226.10M,55.40M,-1.40M,-1.40M,889.90M,14.30M,262.90M,68.40M,208.50M,69.90M,16.10M,9.80M,443.50M,68.60M,1.370B,2.036B,18.80M,867.60M,301.10M,666.70M,1.169B,365.60M,78.40M,155.00M,318.20M
WST,2018-12,-154.20M,337.40M,289.30M,0.10M,0,0.7,0.69,126.10M,1.753B,133.20M,2018-12,214.50M,52.00M,-1.60M,-1.60M,822.00M,13.10M,196.00M,63.70M,235.50M,65.80M,14.90M,9.80M,422.50M,59.70M,1.396B,1.979B,18.80M,894.40M,283.70M,582.60M,1.084B,298.90M,69.50M,157.00M,288.20M
WST,2018-09,-153.80M,297.30M,296.10M,0,0,0.75,0.73,127.30M,1.746B,135.60M,2018-09,206.80M,55.20M,-1.50M,-1.50M,822.00M,11.70M,196.20M,60.60M,210.20M,61.10M,8.00M,10.10M,431.70M,64.90M,1.352B,1.946B,18.80M,850.10M,288.80M,594.30M,1.096B,305.50M,75.00M,142.90M,302.90M
