Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
WU,2020-12,-159.50M,4.114B,759.20M,80.00M,0,0.43,0.43,3.072B,999.40M,512.60M,2020-12,177.10M,-27.80M,-27.80M,339.50M,188.90M,3.222B,227.10M,5.328B,199.00M,21.90M,1.272B,285.50M,186.60M,9.496B,4.10M,5.506B,5.408B,9.310B,3.990B,3.901B,285.50M,5.251B,1.135B
WU,2020-09,-186.60M,3.779B,721.70M,50.00M,0,0.56,0.55,3.016B,812.90M,536.80M,2020-09,228.60M,-27.70M,-27.70M,156.00M,171.70M,2.986B,285.20M,4.973B,261.00M,32.40M,1.258B,251.60M,67.10M,8.827B,4.10M,4.841B,5.023B,8.760B,3.986B,3.737B,251.60M,4.973B,1.062B
WU,2020-06,-177.80M,3.470B,662.20M,100.00M,0,0.39,0.39,3.040B,811.20M,452.50M,2020-06,161.90M,-28.50M,-28.50M,167.50M,167.90M,2.986B,221.80M,4.995B,193.20M,31.30M,1.115B,230.70M,-73.40M,8.707B,4.10M,4.704B,5.095B,8.780B,4.003B,3.686B,230.70M,4.995B,1.234B
WU,2020-03,-180.30M,3.280B,683.40M,85.00M,0,0.43,0.42,3.052B,813.00M,506.60M,2020-03,176.70M,-31.30M,-31.30M,173.70M,150.60M,2.985B,233.20M,4.643B,201.90M,25.20M,1.19B,273.40M,-149.70M,8.365B,4.10M,4.207B,4.728B,8.515B,4.158B,3.787B,273.40M,4.643B,927.30M
WU,2019-12,-209.00M,3.517B,756.50M,245.00M,0,0.32,0.32,3.062B,1.003B,551.20M,2019-12,135.40M,-35.40M,-35.40M,386.60M,152.10M,3.227B,226.50M,4.934B,197.50M,62.10M,1.308B,324.70M,-39.50M,8.758B,4.20M,4.946B,5.179B,8.798B,3.812B,3.619B,324.70M,4.918B,1.230B
WU,2019-09,-183.10M,3.486B,768.60M,435.00M,0,0.32,0.32,3.081B,860.90M,538.30M,2019-09,135.00M,-35.10M,-35.10M,212.20M,161.30M,2.813B,197.40M,4.880B,162.20M,27.20M,1.307B,340.90M,-19.70M,8.804B,4.20M,4.688B,5.315B,8.823B,4.116B,3.508B,340.90M,4.880B,1.203B
WU,2019-06,-205.70M,3.548B,776.40M,268.00M,0,1.43,1.42,3.102B,923.00M,564.10M,2019-06,614.80M,-37.60M,-37.60M,224.10M,166.30M,2.812B,258.90M,5.272B,745.60M,130.80M,1.340B,305.20M,30.20M,9.043B,4.30M,4.939B,5.540B,9.013B,4.105B,3.473B,305.20M,5.272B,1.391B
WU,2019-03,-211.60M,833.10M,785.00M,310.00M,0,0.4,0.39,3.131B,897.80M,552.00M,2019-03,173.10M,-37.60M,-37.60M,229.00M,165.30M,3.060B,251.20M,1.556B,216.10M,43.00M,1.337B,300.80M,-374.20M,9.432B,4.30M,1.807B,1.866B,9.806B,7.625B,7.940B,300.80M,1.556B,1.355B
WU,2018-12,-231.00M,3.432B,833.80M,625.00M,0,0.48,0.48,3.323B,972.80M,567.80M,2018-12,212.10M,-37.00M,-37.00M,270.40M,161.10M,2.809B,271.00M,5.433B,235.00M,22.90M,1.402B,296.80M,-309.80M,8.997B,4.40M,4.946B,6.058B,9.307B,4.051B,3.249B,296.80M,5.433B,1.486B
WU,2018-09,-246.60M,3.301B,812.40M,619.00M,0,0.47,0.46,3.330B,952.60M,575.40M,2018-09,208.60M,-36.80M,-36.80M,266.80M,156.30M,2.676B,302.60M,1.670B,266.40M,57.80M,1.388B,272.80M,-415.30M,8.990B,4.40M,4.786B,2.289B,9.405B,4.203B,7.116B,272.80M,1.670B,0
