Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
WYNN,2020-12,3.604M,3.482B,478.58M,596.41M,646.86M,-2.53,-2.53,278.20M,14.76B,207.41M,2020-12,66.28M,-269.50M,-147.87M,-147.87M,9.595B,0,12.59B,-154.86M,510.78M,-309.72M,0.568M,686.00M,173.54M,-352.00M,13.87B,1.235M,3.813B,1.881B,14.61B,10.06B,12.73B,362.27M,214.82M,200.16M
WYNN,2020-09,-0.898M,3.555B,286.71M,226.62M,886.07M,-7.1,-7.1,138.74M,14.73B,83.74M,2020-09,73.63M,-758.14M,-143.11M,-143.11M,9.719B,0,12.69B,-273.10M,463.77M,-424.17M,407.36M,370.45M,160.90M,-128.70M,13.97B,1.234M,3.869B,1.689B,14.51B,10.10B,12.83B,356.85M,168.27M,178.83M
WYNN,2020-06,-0.908M,3.798B,240.27M,298.05M,954.07M,-5.97,-5.97,141.30M,14.70B,-154.57M,2020-06,84.78M,-637.56M,-129.24M,-129.24M,9.855B,0,12.63B,-516.45M,459.82M,-653.93M,80.94M,85.70M,152.08M,619.52M,14.89B,1.234M,4.236B,1.870B,14.61B,10.65B,12.74B,361.88M,223.32M,296.32M
WYNN,2020-03,-0.947M,2.881B,737.66M,236.00M,913.40M,-3.77,-3.77,143.86M,14.67B,216.06M,2020-03,86.18M,-402.04M,-120.87M,-120.87M,9.986B,0,11.29B,-220.18M,486.35M,-374.45M,75.80M,953.72M,234.33M,1.242B,14.27B,1.234M,3.415B,1.885B,13.28B,10.86B,11.40B,436.24M,242.57M,380.77M
WYNN,2019-12,-1.679M,2.352B,1.007B,323.88M,824.27M,-0.68,-0.68,146.41M,14.59B,646.34M,2019-12,88.52M,-72.94M,-108.58M,-108.58M,10.08B,0,10.24B,228.94M,654.60M,139.95M,157.42M,1.653B,230.68M,1.743B,13.87B,1.228M,2.856B,1.983B,12.33B,11.01B,10.35B,417.39M,430.48M,346.43M
WYNN,2019-09,-2.70M,1.676B,1.037B,116.12M,956.74M,-0.03,-0.03,148.97M,14.44B,611.14M,2019-09,80.49M,-3.496M,-108.22M,-108.22M,10.07B,0,9.572B,186.05M,694.77M,46.61M,19.73M,1.648B,246.44M,1.919B,13.28B,1.228M,2.111B,1.930B,11.61B,11.17B,9.681B,425.09M,480.64M,286.61M
WYNN,2019-06,-1.986M,1.502B,1.017B,74.37M,906.46M,0.88,0.88,133.07M,14.33B,641.60M,2019-06,81.77M,94.55M,-86.88M,-86.88M,10.09B,0,9.263B,225.65M,829.83M,140.24M,-1.991M,1.658B,202.22M,2.051B,13.17B,1.228M,1.967B,1.975B,11.31B,11.20B,9.339B,415.96M,646.74M,296.70M
WYNN,2019-03,-2.591M,1.823B,1.007B,54.66M,916.09M,0.98,0.98,133.84M,13.91B,644.96M,2019-03,67.37M,104.87M,-85.89M,-85.89M,9.806B,0,9.291B,257.95M,780.66M,161.42M,1.685M,1.652B,217.32M,2.078B,13.16B,1.226M,2.242B,1.878B,11.25B,10.92B,9.368B,387.01M,571.98M,259.80M
WYNN,2018-12,-1.95M,2.215B,1.035B,11.96M,955.45M,4.43,4.41,222.51M,13.47B,652.83M,2018-12,66.63M,464.87M,-91.88M,-91.88M,9.386B,0,9.411B,275.87M,750.69M,142.80M,-372.71M,1.688B,215.87M,2.034B,13.22B,1.221M,2.641B,1.882B,11.40B,10.57B,9.519B,376.96M,569.14M,276.64M
WYNN,2018-09,-2.083M,1.949B,1.052B,236.84M,836.70M,1.44,1.44,223.38M,13.21B,656.60M,2018-09,63.08M,156.12M,-86.06M,-86.06M,9.221B,0,8.695B,309.81M,832.14M,215.89M,-3.884M,1.709B,192.33M,1.805B,12.38B,1.221M,2.336B,2.047B,10.84B,10.04B,8.790B,346.78M,665.23M,232.67M
