Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
XEL,2020-12,-141.00M,129.00M,1.79B,1.219B,0.54,0.54,0,64.13B,1.157B,2020-12,535.00M,288.00M,-203.00M,-203.00M,44.44B,4.988B,20.99B,426.00M,2.249B,258.00M,-30.00M,2.947B,0,14.58B,53.96B,1.344B,3.275B,4.239B,39.38B,50.68B,35.14B,731.00M,2.046B,1.63B
XEL,2020-09,-143.00M,885.00M,1.625B,1.109B,1.15,1.14,0,63.85B,1.557B,2020-09,512.00M,603.00M,-210.00M,-210.00M,43.76B,4.943B,21.36B,813.00M,2.518B,646.00M,43.00M,3.182B,0,13.78B,53.71B,1.314B,3.837B,4.393B,39.93B,49.87B,35.54B,744.00M,2.332B,1.485B
XEL,2020-06,-145.00M,1.625B,1.477B,2.66B,0.54,0.54,0,62.05B,1.109B,2020-06,487.00M,287.00M,-196.00M,-196.00M,42.35B,4.817B,20.59B,422.00M,1.957B,274.00M,-13.00M,2.586B,0,13.38B,53.46B,1.313B,4.39B,5.473B,40.07B,49.07B,34.60B,687.00M,1.757B,1.412B
XEL,2020-03,-148.00M,244.00M,1.67B,3.01B,0.56,0.56,0,61.33B,1.141B,2020-03,488.00M,295.00M,-189.00M,-189.00M,42.04B,4.742B,18.17B,455.00M,1.942B,289.00M,-6.00M,2.811B,0,13.30B,51.13B,1.313B,2.983B,5.839B,37.83B,48.15B,31.99B,686.00M,1.775B,1.40B
XEL,2019-12,-141.00M,248.00M,1.689B,1.491B,0.56,0.56,0,60.60B,1.109B,2019-12,544.00M,292.00M,-185.00M,-185.00M,41.16B,4.761B,18.96B,450.00M,2.164B,299.00M,7.00M,2.798B,0,13.24B,50.45B,1.311B,3.113B,4.568B,37.21B,47.34B,32.64B,659.00M,1.972B,1.55B
XEL,2019-09,-142.00M,864.00M,1.596B,1.786B,1.02,1.01,0,59.60B,1.417B,2019-09,544.00M,527.00M,-192.00M,-192.00M,40.42B,4.68B,18.42B,758.00M,2.079B,599.00M,72.00M,3.013B,0,13.14B,50.24B,1.311B,3.60B,5.021B,37.10B,46.64B,32.08B,659.00M,1.913B,1.444B
XEL,2019-06,-135.00M,353.00M,1.521B,2.15B,0.46,0.46,0,58.25B,1.056B,2019-06,483.00M,238.00M,-179.00M,-179.00M,39.41B,4.568B,17.64B,410.00M,1.788B,262.00M,24.00M,2.577B,0,12.37B,48.58B,1.287B,2.939B,5.06B,36.22B,45.64B,31.16B,646.00M,1.608B,1.376B
XEL,2019-03,-127.00M,94.00M,2.00B,1.254B,0.61,0.61,0,57.18B,1.141B,2019-03,445.00M,315.00M,-179.00M,-179.00M,38.73B,4.507B,17.65B,486.00M,2.076B,340.00M,25.00M,3.141B,0,12.33B,47.85B,1.287B,2.909B,4.424B,35.52B,44.94B,31.10B,655.00M,1.917B,1.636B
XEL,2018-12,-124.00M,147.00M,1.885B,1.444B,0.42,0.42,0,55.02B,995.00M,2018-12,548.00M,214.00M,-164.00M,-164.00M,36.94B,4.418B,15.80B,339.00M,2.056B,208.00M,-6.00M,2.88B,0,12.22B,45.99B,1.285B,3.094B,4.46B,33.76B,42.89B,29.30B,656.00M,1.882B,1.615B
XEL,2018-09,-119.00M,213.00M,1.70B,993.00M,0.96,0.96,0,53.75B,1.348B,2018-09,528.00M,491.00M,-164.00M,-164.00M,35.88B,4.373B,15.51B,696.00M,1.969B,564.00M,73.00M,3.048B,0,12.16B,44.84B,1.283B,3.003B,3.838B,32.67B,41.83B,28.83B,652.00M,1.811B,1.506B
XEL,2018-06,-122.00M,332.00M,1.625B,1.538B,0.52,0.52,0,53.12B,1.033B,2018-06,511.00M,265.00M,-164.00M,-164.00M,35.29B,4.231B,15.31B,450.00M,1.777B,319.00M,54.00M,2.658B,1.00M,11.65B,44.24B,1.272B,3.056B,4.178B,32.59B,41.18B,28.41B,583.00M,1.601B,1.456B
XEL,2018-03,-124.00M,116.00M,1.872B,1.482B,0.57,0.57,0,52.28B,1.079B,2018-03,492.00M,291.00M,-160.00M,-160.00M,34.68B,4.162B,14.52B,480.00M,1.911B,350.00M,59.00M,2.951B,1.00M,11.56B,43.16B,1.272B,2.782B,4.122B,31.60B,40.38B,27.48B,599.00M,1.764B,1.473B
XEL,2017-12,-125.00M,83.00M,1.778B,1.271B,0.37,0.37,0,51.62B,1.017B,2017-12,610.00M,189.00M,-167.00M,-167.00M,34.33B,4.096B,14.52B,442.00M,2.048B,307.00M,118.00M,2.795B,1.00M,11.46B,43.03B,1.269B,2.973B,4.088B,31.58B,40.06B,27.49B,575.00M,1.874B,1.561B
XEL,2017-09,-104.81M,167.84M,1.614B,819.42M,0.97,0.97,0,51.20B,1.403B,2017-09,616.68M,492.00M,-151.00M,-151.00M,33.95B,7.613B,14.57B,823.00M,1.750B,697.00M,205.00M,3.017B,1.148M,11.44B,42.47B,1.269B,2.899B,3.340B,31.03B,39.57B,27.69B,580.00M,1.603B,1.433B
XEL,2017-06,-106.80M,61.38M,1.613B,1.289B,0.45,0.45,0,50.48B,1.032B,2017-06,542.04M,227.00M,-154.00M,-154.00M,33.54B,7.382B,14.09B,465.00M,1.672B,329.00M,102.00M,2.645B,0.92M,11.12B,41.86B,1.269B,2.757B,3.691B,30.74B,39.10B,27.05B,567.00M,1.496B,1.368B
XEL,2017-03,-108.58M,73.98M,1.879B,1.360B,0.47,0.47,0,49.95B,1.067B,2017-03,519.08M,239.00M,-155.00M,-155.00M,33.16B,7.251B,13.70B,491.00M,1.740B,356.00M,117.00M,2.946B,0.50M,11.07B,41.29B,1.269B,2.633B,3.708B,30.22B,38.65B,26.51B,576.00M,1.588B,1.337B
XEL,2016-12,-110.00M,85.00M,1.773B,647.00M,0.45,0.45,0,49.40B,1.022B,2016-12,604.00M,227.10M,-161.36M,-161.36M,32.84B,7.042B,14.20B,494.06M,1.847B,336.64M,109.54M,2.795B,0,11.02B,41.16B,1.268B,2.842B,3.247B,30.13B,38.31B,26.89B,528.13M,1.674B,1.506B
XEL,2016-09,-104.96M,353.38M,1.703B,1.076B,0.9,0.9,0,48.58B,1.337B,2016-09,614.91M,457.80M,-156.94M,-156.94M,32.21B,7.133B,13.40B,825.91M,1.667B,696.21M,238.41M,3.040B,0,10.99B,40.32B,1.270B,3.076B,3.454B,29.34B,37.25B,25.88B,510.76M,1.512B,1.322B
XEL,2016-06,-106.80M,76.71M,1.551B,1.157B,0.39,0.39,0,47.98B,948.50M,2016-06,526.78M,196.80M,-155.31M,-155.31M,31.82B,6.898B,13.10B,430.66M,1.594B,301.19M,104.40M,2.500B,0,10.70B,39.49B,1.270B,2.704B,3.506B,28.79B,36.79B,25.28B,517.84M,1.425B,1.279B
