Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Research and Development Expense,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
XLNX,2020-12,-1.822M,3.324B,256.40M,499.86M,121.94M,0.7,0.69,802.91M,1.008B,547.00M,2020-12,300.11M,170.97M,-11.65M,-11.65M,351.51M,0,1.492B,172.42M,614.23M,176.13M,5.162M,235.02M,803.40M,136.70M,2.599B,5.749B,2.451M,3.967B,1.114B,3.150B,1.782B,2.036B,374.58M,140.12M,269.60M
XLNX,2020-09,-8.288M,3.096B,224.82M,499.66M,118.56M,0.79,0.79,800.64M,999.41M,541.72M,2020-09,282.05M,193.82M,-12.26M,-12.26M,357.48M,0,1.492B,205.42M,590.91M,194.65M,0.83M,219.65M,766.54M,113.79M,2.453B,5.576B,2.45M,3.814B,1.091B,3.123B,1.762B,2.033B,336.30M,144.41M,362.50M
XLNX,2020-06,-14.24M,2.999B,232.80M,499.46M,0,0.39,0.38,809.98M,993.03M,493.87M,2020-06,292.21M,93.84M,-6.702M,-6.702M,361.53M,0,1.492B,175.52M,547.78M,163.36M,69.53M,210.11M,726.67M,105.38M,2.320B,5.445B,2.432M,3.665B,1.047B,3.125B,1.780B,2.078B,318.36M,156.76M,305.18M
XLNX,2020-03,-20.28M,2.267B,227.73M,510.37M,0,0.66,0.65,940.98M,1.047B,528.44M,2020-03,304.34M,162.26M,-0.042M,-0.042M,430.39M,0,747.11M,206.39M,354.18M,189.75M,27.49M,214.97M,756.17M,103.68M,2.315B,4.693B,2.438M,2.909B,1.086B,2.378B,1.784B,1.293B,322.04M,138.35M,273.03M
XLNX,2019-12,-12.10M,2.425B,240.02M,0,0,0.65,0.64,829.64M,983.83M,483.48M,2019-12,328.21M,162.01M,1.575M,1.575M,378.24M,0,1.246B,159.41M,515.88M,165.84M,3.831M,211.54M,723.50M,109.61M,2.641B,4.951B,2.489M,3.128B,515.88M,2.310B,1.823B,1.794B,324.07M,126.91M,253.55M
XLNX,2019-09,-17.14M,2.516B,293.11M,499.85M,0,0.9,0.89,840.91M,960.10M,540.26M,2019-09,335.26M,226.99M,4.251M,4.251M,362.16M,0,1.246B,203.52M,505.83M,215.84M,-11.15M,222.98M,833.37M,111.60M,2.696B,5.020B,2.515M,3.258B,505.83M,2.324B,1.762B,1.818B,336.74M,124.28M,335.50M
XLNX,2019-06,-13.47M,2.883B,286.77M,499.63M,0,0.95,0.94,449.49M,937.47M,562.86M,2019-06,336.76M,241.46M,7.33M,7.33M,350.56M,0,1.245B,250.94M,497.11M,262.55M,21.09M,204.10M,849.63M,107.42M,2.613B,4.968B,2.51M,3.590B,497.11M,2.355B,1.378B,1.858B,311.92M,170.82M,305.96M
XLNX,2019-03,-23.41M,3.176B,269.46M,0,0,0.96,0.95,518.85M,902.99M,558.90M,2019-03,315.36M,244.64M,8.054M,8.054M,328.93M,0,1.235B,250.38M,235.82M,259.68M,15.04M,199.50M,828.36M,107.16M,2.862B,5.151B,2.539M,3.892B,475.04M,2.290B,1.259B,1.815B,308.53M,146.21M,335.16M
XLNX,2018-12,-31.79M,3.470B,247.90M,0,0,0.95,0.93,423.25M,880.28M,552.15M,2018-12,283.33M,239.36M,8.146M,8.146M,317.26M,0,1.221B,257.92M,453.02M,256.59M,17.23M,189.33M,800.06M,103.04M,2.637B,5.355B,2.531M,4.172B,952.87M,2.718B,1.182B,1.765B,294.23M,153.76M,359.37M
XLNX,2018-09,-40.74M,3.281B,231.62M,0,0,0.85,0.84,426.91M,867.18M,514.63M,2018-09,243.64M,215.71M,4.186M,4.186M,312.81M,0,1.202B,232.74M,431.91M,239.14M,23.43M,183.37M,746.25M,97.68M,2.445B,5.148B,2.53M,3.965B,931.54M,2.703B,1.182B,1.771B,281.90M,138.53M,372.98M
XLNX,2018-06,-35.93M,3.364B,206.89M,499.41M,103.43M,0.75,0.74,166.18M,871.41M,477.48M,2018-06,247.00M,190.04M,4.025M,4.025M,312.08M,0.11M,1.207B,215.76M,443.19M,212.92M,22.88M,170.83M,684.37M,90.53M,2.319B,5.055B,2.515M,4.126B,942.60M,2.737B,929.65M,1.794B,261.72M,187.89M,456.90M
XLNX,2018-03,-34.51M,3.448B,188.94M,499.19M,32.97M,0.57,0.56,166.54M,855.02M,449.25M,2018-03,236.08M,145.47M,2.116M,2.116M,304.12M,359.32M,1.214B,196.84M,214.01M,159.70M,14.23M,162.48M,638.19M,89.35M,2.360B,5.061B,2.534M,4.155B,911.94M,2.700B,905.96M,1.788B,252.42M,146.71M,382.25M
XLNX,2017-12,-21.50M,3.542B,177.97M,456.33M,50.97M,-0.05,-0.05,167.13M,862.15M,420.63M,2017-12,226.53M,-12.48M,6.514M,6.514M,303.98M,346.57M,1.730B,161.30M,429.42M,166.77M,179.25M,166.23M,598.60M,92.75M,2.365B,5.120B,2.547M,4.198B,462.40M,2.755B,921.74M,2.293B,259.34M,131.87M,348.46M
XLNX,2017-09,-16.22M,3.560B,185.68M,594.79M,43.75M,0.7,0.67,163.65M,855.02M,441.73M,2017-09,215.40M,173.75M,2.803M,2.803M,304.12M,317.64M,1.739B,192.19M,372.26M,194.02M,20.27M,157.98M,627.42M,91.05M,2.486B,5.031B,2.486M,4.172B,423.22M,2.545B,858.62M,2.122B,249.55M,95.11M,286.86M
XLNX,2017-06,-16.63M,3.648B,190.82M,591.67M,142.68M,0.63,0.59,164.16M,846.19M,411.99M,2017-06,215.21M,157.24M,1.333M,1.333M,303.21M,323.78M,1.737B,169.06M,396.08M,170.89M,13.65M,153.05M,602.81M,89.18M,2.538B,5.087B,2.481M,4.228B,439.83M,2.549B,859.15M,2.109B,242.93M,114.52M,268.26M
XLNX,2017-03,-24.68M,3.321B,186.23M,588.54M,53.63M,0.62,0.57,164.86M,839.46M,430.64M,2017-03,227.03M,159.05M,0.71M,0.71M,303.82M,294.88M,995.25M,180.40M,216.49M,178.22M,19.17M,164.26M,616.86M,84.80M,2.509B,4.741B,2.48M,3.880B,897.20M,2.231B,860.42M,1.334B,250.24M,114.60M,243.92M
XLNX,2016-12,-30.44M,3.254B,178.23M,585.42M,57.40M,0.57,0.52,166.05M,836.48M,407.46M,2016-12,205.93M,141.85M,0.632M,0.632M,301.50M,263.41M,994.84M,162.97M,361.62M,162.58M,20.73M,159.25M,585.69M,83.78M,2.484B,4.836B,2.488M,3.916B,1.010B,2.352B,920.24M,1.342B,244.48M,124.96M,340.85M
XLNX,2016-09,-5.209M,3.490B,175.88M,0,71.54M,0.65,0.61,167.41M,834.31M,403.33M,2016-09,196.92M,164.19M,-1.772M,-1.772M,292.49M,261.47M,994.44M,176.81M,348.75M,175.66M,11.47M,141.81M,579.21M,83.46M,2.633B,4.946B,2.525M,4.019B,997.82M,2.313B,926.53M,1.315B,226.52M,111.47M,227.76M
XLNX,2016-06,-3.405M,3.518B,168.30M,0,125.94M,0.64,0.61,164.25M,826.21M,406.68M,2016-06,195.28M,163.05M,-2.402M,-2.402M,292.36M,0,994.04M,186.20M,391.29M,181.62M,18.57M,136.12M,574.98M,83.11M,2.600B,4.926B,2.534M,4.022B,1.051B,2.327B,904.78M,1.275B,220.48M,132.25M,217.01M
XLNX,2016-03,-6.631M,3.338B,175.80M,0,0,0.57,0.54,165.50M,810.58M,395.27M,2016-03,178.55M,145.03M,-2.424M,-2.424M,283.35M,0,993.64M,178.10M,159.22M,169.84M,24.80M,135.64M,571.07M,80.28M,2.603B,4.819B,2.537M,3.917B,944.40M,2.216B,902.61M,1.272B,217.17M,107.82M,307.46M
XLNX,2015-12,-21.39M,3.397B,178.51M,584.34M,47.02M,0.51,0.49,166.74M,797.87M,387.72M,2015-12,195.97M,130.82M,-1.226M,-1.226M,280.24M,348.00M,995.58M,160.10M,301.55M,155.05M,24.23M,141.38M,566.24M,84.47M,2.605B,4.898B,2.552M,4.008B,932.91M,2.293B,889.86M,1.360B,227.62M,82.38M,203.18M
XLNX,2015-09,-14.51M,3.296B,157.64M,581.58M,81.71M,0.49,0.48,168.51M,809.66M,369.93M,2015-09,212.97M,127.30M,-5.738M,-5.738M,287.38M,308.66M,995.33M,153.18M,287.06M,143.97M,16.67M,130.22M,527.57M,84.76M,2.622B,4.890B,2.569M,3.981B,950.34M,2.269B,909.19M,1.318B,216.75M,81.94M,282.63M
XLNX,2015-06,-13.19M,3.332B,159.95M,578.82M,55.73M,0.57,0.55,170.28M,806.73M,389.05M,2015-06,222.01M,147.72M,-5.887M,-5.887M,294.49M,301.13M,995.09M,178.49M,322.62M,167.97M,20.25M,126.65M,549.01M,82.14M,2.648B,4.916B,2.57M,3.980B,957.16M,2.268B,935.82M,1.311B,210.56M,99.81M,251.99M
XLNX,2015-03,-11.15M,3.303B,170.38M,576.05M,136.23M,0.52,0.5,172.05M,804.62M,396.52M,2015-03,231.33M,134.62M,-6.256M,-6.256M,301.04M,289.87M,994.84M,183.01M,162.29M,159.48M,24.86M,131.94M,566.90M,79.20M,2.636B,4.898B,2.583M,3.935B,963.21M,2.263B,963.01M,1.299B,213.51M,99.81M,246.62M
XLNX,2014-12,-7.984M,2.921B,179.64M,573.29M,51.49M,0.64,0.62,181.00M,831.50M,413.91M,2014-12,246.66M,168.47M,-2.484M,-2.484M,337.91M,293.14M,994.60M,190.01M,288.24M,186.00M,17.54M,133.46M,593.55M,88.08M,2.700B,4.915B,2.611M,3.515B,913.02M,2.215B,1.400B,1.302B,223.90M,73.60M,187.50M
XLNX,2014-09,-2.12M,2.596B,169.62M,570.53M,60.85M,0.64,0.62,183.37M,825.65M,434.64M,2014-09,262.67M,171.52M,-5.453M,-5.453M,345.48M,295.64M,994.35M,200.05M,339.27M,194.32M,22.80M,138.34M,604.26M,93.88M,2.743B,5.017B,2.644M,3.304B,970.65M,2.274B,1.713B,1.303B,234.60M,107.86M,290.63M
XLNX,2014-06,6.926M,2.485B,189.19M,567.76M,69.26M,0.65,0.62,185.74M,817.84M,423.44M,2014-06,256.79M,173.61M,-5.364M,-5.364M,350.74M,283.49M,994.11M,206.50M,296.83M,200.28M,26.67M,122.01M,612.63M,92.51M,2.830B,5.054B,2.671M,3.169B,933.85M,2.225B,1.886B,1.291B,216.94M,117.15M,281.34M
XLNX,2014-03,-0.548M,2.457B,199.94M,565.00M,114.67M,0.58,0.53,188.16M,810.03M,417.88M,2014-03,234.00M,156.03M,-5.512M,-5.512M,355.09M,253.43M,993.87M,189.52M,217.89M,175.85M,19.82M,127.81M,617.82M,98.09M,2.788B,5.037B,2.686M,3.067B,989.36M,2.250B,1.970B,1.260B,228.36M,162.63M,267.83M
