Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
XRAY,2020-12,-464.00M,438.00M,511.50M,347.00M,41.00M,0.45,0.45,6.49B,2.359B,570.80M,2020-12,466.00M,98.50M,-15.30M,-15.30M,967.00M,393.00M,2.108B,150.30M,621.00M,122.90M,24.30M,1.082B,420.50M,4.967B,9.342B,3.00M,1.791B,1.317B,4.372B,7.551B,3.055B,420.50M,378.00M,709.00M
XRAY,2020-09,-577.60M,1.272B,452.50M,296.10M,29.00M,0.25,0.25,5.341B,916.50M,442.30M,2020-09,489.10M,53.80M,-14.10M,-14.10M,916.50M,423.10M,2.035B,100.40M,882.10M,66.70M,12.50M,894.80M,341.90M,4.760B,8.896B,2.60M,2.580B,1.178B,4.134B,6.316B,2.955B,341.90M,318.00M,628.10M
XRAY,2020-06,-644.70M,1.109B,314.50M,0.30M,29.30M,-0.44,-0.44,5.267B,910.50M,176.10M,2020-06,548.90M,-95.40M,-11.30M,-11.30M,910.50M,439.20M,2.284B,-103.00M,762.70M,-119.90M,-24.00M,490.60M,279.10M,4.643B,8.604B,2.60M,2.363B,763.00M,3.959B,6.241B,3.196B,279.10M,275.80M,500.20M
XRAY,2020-03,-712.20M,235.90M,406.50M,33.00M,0,-0.63,-0.63,5.237B,923.50M,467.80M,2020-03,590.50M,-139.90M,-6.30M,-6.30M,923.50M,464.70M,1.530B,74.30M,858.50M,-129.70M,10.20M,874.30M,393.50M,4.688B,8.058B,2.60M,1.805B,891.50M,3.368B,6.253B,2.477B,393.50M,335.60M,709.10M
XRAY,2019-12,-600.00M,405.00M,500.80M,46.00M,0,0.46,0.46,5.573B,2.194B,610.50M,2019-12,562.00M,102.40M,-7.00M,-7.00M,961.00M,480.00M,1.553B,149.60M,613.00M,137.10M,34.70M,1.111B,460.90M,5.093B,8.603B,3.00M,2.00B,995.00M,3.508B,6.603B,2.513B,460.90M,375.00M,828.00M
XRAY,2019-09,-609.10M,226.10M,448.10M,11.70M,0,0.38,0.38,5.523B,939.20M,514.00M,2019-09,605.10M,85.00M,-5.90M,-5.90M,939.20M,500.70M,1.522B,114.70M,857.20M,106.50M,21.50M,962.10M,399.30M,5.057B,8.367B,2.60M,1.811B,868.90M,3.308B,6.556B,2.439B,399.30M,316.20M,698.40M
XRAY,2019-06,-502.60M,250.10M,468.60M,56.30M,0,0.16,0.16,5.709B,975.40M,540.80M,2019-06,608.30M,36.40M,-7.80M,-7.80M,975.40M,519.80M,1.561B,109.90M,824.50M,47.60M,11.20M,1.009B,430.90M,5.181B,8.575B,2.60M,1.828B,880.80M,3.392B,6.747B,2.512B,430.90M,300.10M,700.10M
XRAY,2019-03,-537.40M,225.40M,446.50M,20.70M,0,0.18,0.17,5.724B,1.018B,499.70M,2019-03,618.20M,39.20M,-7.30M,-7.30M,1.018B,535.10M,1.671B,67.80M,849.90M,53.80M,14.60M,946.20M,431.90M,5.108B,8.604B,2.60M,1.796B,870.60M,3.495B,6.809B,2.624B,431.90M,338.80M,658.50M
XRAY,2018-12,-478.70M,309.60M,534.40M,92.40M,0,0.01,0.01,5.852B,2.077B,525.00M,2018-12,598.90M,1.80M,-8.70M,-8.70M,870.60M,552.80M,1.565B,91.90M,635.20M,77.80M,76.40M,1.059B,433.10M,5.121B,8.687B,2.60M,1.888B,1.013B,3.554B,6.799B,2.541B,433.10M,352.20M,701.90M
XRAY,2018-09,-466.50M,233.10M,452.30M,154.80M,0,0.13,0.13,5.932B,0,476.10M,2018-09,672.00M,28.00M,-9.10M,-9.10M,865.70M,513.70M,1.575B,57.60M,925.30M,31.70M,4.20M,928.40M,418.50M,5.142B,8.769B,2.60M,1.903B,1.080B,3.615B,6.866B,2.535B,418.50M,356.80M,702.00M
XRAY,2018-06,-440.80M,239.30M,489.30M,218.10M,8.90M,-4.98,-4.98,6.005B,2.072B,552.80M,2018-06,666.30M,-1.122B,-9.20M,-9.20M,857.60M,538.00M,1.587B,120.60M,899.60M,-1.162B,-41.30M,1.042B,432.20M,5.127B,8.822B,2.60M,1.892B,1.118B,3.682B,6.930B,2.564B,432.20M,324.30M,710.30M
XRAY,2018-03,-281.00M,317.10M,442.00M,22.60M,14.10M,0.36,0.35,7.385B,1.855B,514.10M,2018-03,696.60M,81.20M,-8.00M,-8.00M,888.20M,641.40M,1.646B,78.90M,872.80M,94.80M,13.70M,956.10M,435.20M,6.693B,10.37B,2.60M,2.000B,895.40M,3.668B,8.372B,2.772B,435.20M,341.10M,670.40M
XRAY,2017-12,-291.00M,375.00M,497.70M,30.10M,0,-2.95,-2.95,7.340B,0,593.30M,2017-12,623.10M,-650.40M,-8.90M,-8.90M,876.00M,718.00M,1.612B,171.40M,726.70M,-712.90M,-62.70M,1.091B,421.90M,6.616B,10.37B,2.60M,2.002B,954.50M,3.747B,8.372B,2.792B,421.90M,345.90M,746.20M
XRAY,2017-09,-318.60M,370.00M,450.20M,21.40M,0,0.39,0.39,8.184B,0,559.00M,2017-09,624.40M,90.60M,-9.40M,-9.40M,859.90M,818.20M,1.601B,128.50M,827.00M,97.60M,7.10M,1.009B,430.50M,7.478B,11.20B,2.60M,1.972B,848.40M,3.709B,9.227B,2.861B,430.50M,288.70M,734.40M
XRAY,2017-06,-438.00M,268.40M,448.50M,21.60M,0,-4.58,-4.58,8.083B,0,544.20M,2017-06,596.80M,-1.05B,-9.00M,-9.00M,841.00M,802.40M,1.587B,126.60M,732.10M,-1.065B,-14.50M,992.70M,417.60M,7.262B,10.85B,2.60M,1.766B,753.70M,3.576B,9.084B,2.822B,417.60M,277.00M,664.20M
XRAY,2017-03,-658.00M,363.30M,408.50M,22.70M,0,0.26,0.26,8.913B,0,492.00M,2017-03,565.10M,59.80M,-8.60M,-8.60M,807.10M,753.20M,1.528B,87.30M,724.80M,76.60M,16.90M,900.50M,404.70M,8.152B,11.59B,2.60M,1.721B,747.50M,3.430B,9.873B,2.683B,404.70M,300.50M,598.60M
XRAY,2016-12,-705.70M,383.90M,455.00M,21.10M,0,0.46,0.46,8.910B,0,541.50M,2016-12,517.10M,107.00M,-8.40M,-8.40M,799.80M,751.70M,1.511B,141.80M,586.30M,132.60M,24.70M,996.50M,399.70M,8.114B,11.56B,2.60M,1.744B,767.60M,3.430B,9.812B,2.662B,399.70M,290.20M,636.00M
XRAY,2016-09,-479.40M,330.70M,440.60M,16.40M,0,0.4,0.39,9.192B,0,513.60M,2016-09,556.40M,92.50M,-7.90M,-7.90M,822.90M,854.50M,1.570B,134.50M,753.80M,117.10M,24.80M,954.20M,379.10M,8.344B,11.95B,2.60M,1.842B,770.20M,3.595B,10.11B,2.825B,379.10M,271.00M,672.10M
XRAY,2016-06,-514.60M,311.60M,495.10M,9.80M,0,0.45,0.44,8.823B,0,526.90M,2016-06,523.10M,105.40M,-8.90M,-8.90M,794.10M,849.80M,1.172B,124.80M,712.70M,123.80M,17.90M,1.022B,402.10M,8.312B,11.45B,2.60M,1.738B,722.50M,3.136B,9.713B,2.413B,402.10M,246.60M,637.20M
XRAY,2016-03,-431.20M,323.10M,353.70M,10.90M,0,0.72,0.7,8.974B,0,418.90M,2016-03,562.10M,125.00M,-8.70M,-8.70M,816.50M,875.50M,1.169B,76.80M,843.30M,67.40M,-57.90M,772.60M,342.10M,8.382B,11.68B,2.60M,1.806B,854.20M,3.297B,9.877B,2.443B,342.10M,343.10M,625.20M
XRAY,2015-12,-594.00M,284.60M,296.40M,12.10M,2.20M,0.42,0.41,2.588B,1.343B,374.70M,2015-12,340.40M,58.60M,-25.40M,-25.40M,558.80M,160.30M,1.141B,106.90M,340.70M,72.30M,13.80M,671.10M,267.80M,2.338B,4.403B,1.60M,1.197B,476.00M,2.064B,3.206B,1.588B,267.80M,156.50M,399.90M
XRAY,2015-09,-587.50M,236.40M,279.40M,453.20M,3.50M,0.6,0.59,2.585B,1.370B,369.50M,2015-09,361.30M,84.50M,-9.20M,-9.20M,555.20M,152.90M,701.90M,105.20M,480.20M,93.20M,19.60M,648.90M,264.30M,2.280B,4.402B,1.60M,1.208B,933.40M,2.121B,3.194B,1.187B,264.30M,171.10M,429.80M
XRAY,2015-06,-475.01M,96.47M,298.30M,119.70M,4.922M,0.32,0.31,2.615B,1.443B,399.70M,2015-06,374.82M,44.10M,-9.10M,-9.10M,568.04M,155.59M,1.078B,124.70M,493.27M,77.00M,24.80M,698.00M,275.00M,2.315B,4.497B,1.628M,1.270B,612.97M,2.180B,3.226B,1.567B,275.00M,196.99M,447.50M
XRAY,2015-03,-573.57M,100.62M,282.90M,247.63M,0,0.46,0.45,2.567B,0,373.40M,2015-03,380.10M,64.00M,-10.00M,-10.00M,556.77M,150.47M,1.079B,103.10M,414.20M,87.20M,18.90M,656.30M,270.30M,2.173B,4.385B,1.628M,1.200B,661.83M,2.211B,3.185B,1.549B,270.30M,174.16M,409.86M
XRAY,2014-12,-441.10M,209.30M,325.90M,111.80M,0,0.6,0.59,2.760B,0,393.10M,2014-12,387.10M,84.80M,-10.50M,-10.50M,588.80M,165.60M,1.150B,109.90M,415.20M,94.70M,11.20M,719.00M,283.20M,2.321B,4.646B,1.60M,1.207B,652.60M,2.324B,3.440B,1.672B,283.20M,168.80M,426.60M
XRAY,2014-09,-253.06M,97.65M,320.10M,115.25M,0,0.53,0.52,2.871B,0,388.10M,2014-09,422.48M,75.30M,-11.30M,-11.30M,606.92M,215.48M,1.166B,112.10M,619.32M,97.50M,21.20M,708.20M,276.00M,2.495B,4.884B,1.628M,1.258B,734.57M,2.388B,3.626B,1.653B,276.00M,175.80M,476.86M
XRAY,2014-06,-98.00M,66.93M,340.76M,301.29M,0,0.63,0.62,3.044B,0,424.47M,2014-06,461.20M,89.99M,-10.05M,-10.05M,639.21M,231.00M,1.066B,128.35M,595.02M,116.48M,26.10M,765.22M,296.12M,2.583B,5.072B,1.628M,1.231B,896.31M,2.488B,3.841B,1.591B,296.12M,182.17M,503.97M
XRAY,2014-03,-75.66M,55.82M,335.91M,403.14M,0,0.51,0.5,3.073B,0,394.20M,2014-03,455.07M,72.88M,-9.52M,-9.52M,642.32M,236.27M,1.065B,106.36M,564.30M,95.66M,22.45M,730.11M,287.84M,2.523B,5.089B,1.628M,1.202B,967.45M,2.565B,3.887B,1.597B,287.84M,165.42M,496.22M
XRAY,2013-12,-69.06M,74.95M,355.86M,309.86M,0,0.52,0.51,3.077B,0,397.83M,2013-12,438.56M,74.44M,-9.886M,-9.886M,637.17M,238.39M,1.166B,105.79M,312.98M,87.89M,12.60M,753.69M,292.04M,2.535B,5.078B,1.628M,1.144B,796.40M,2.500B,3.934B,1.704B,292.04M,147.24M,472.80M
