Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
YUM,2020-12,-411.00M,730.00M,925.00M,550.00M,1.1,1.08,940.00M,3.316B,818.00M,2020-12,0,332.00M,-132.00M,-132.00M,2.086B,0,10.27B,478.00M,480.00M,352.00M,20.00M,1.743B,340.00M,-7.891B,5.852B,0,1.689B,1.675B,13.74B,4.163B,12.07B,340.00M,284.00M,569.00M
YUM,2020-09,-452.00M,1.11B,725.00M,444.00M,0.94,0.92,929.00M,3.251B,723.00M,2020-09,0,283.00M,-161.00M,-161.00M,2.05B,0,10.65B,466.00M,1.109B,316.00M,33.00M,1.448B,257.00M,-7.919B,6.061B,23.00M,2.03B,1.553B,13.98B,4.031B,12.43B,257.00M,1.109B,522.00M
YUM,2020-06,-488.00M,1.243B,649.00M,434.00M,0.68,0.67,946.00M,3.226B,549.00M,2020-06,0,206.00M,-132.00M,-132.00M,2.059B,0,11.25B,290.00M,1.041B,257.00M,51.00M,1.198B,259.00M,-8.108B,6.421B,11.00M,2.398B,1.475B,14.53B,4.023B,13.05B,259.00M,1.041B,530.00M
YUM,2020-03,-549.00M,1.154B,666.00M,447.00M,0.28,0.27,943.00M,3.139B,597.00M,2020-03,0,83.00M,-118.00M,-118.00M,2.025B,0,11.06B,389.00M,1.053B,95.00M,12.00M,1.263B,208.00M,-8.229B,6.085B,15.00M,1.991B,1.50B,14.31B,4.094B,12.81B,208.00M,1.053B,511.00M
YUM,2019-12,-388.00M,605.00M,868.00M,498.00M,1.61,1.58,774.00M,2.948B,826.00M,2019-12,0,488.00M,-132.00M,-132.00M,1.812B,0,10.13B,526.00M,471.00M,397.00M,-91.00M,1.694B,300.00M,-8.016B,5.231B,0,1.527B,1.541B,13.25B,3.704B,11.71B,300.00M,375.00M,623.00M
YUM,2019-09,-428.00M,691.00M,660.00M,84.00M,0.83,0.81,764.00M,2.279B,679.00M,2019-09,0,255.00M,-120.00M,-120.00M,1.151B,0,10.49B,471.00M,903.00M,300.00M,45.00M,1.339B,208.00M,-8.097B,5.003B,0,1.548B,987.00M,13.10B,3.455B,12.11B,208.00M,903.00M,527.00M
YUM,2019-06,-380.00M,252.00M,639.00M,325.00M,0.94,0.92,769.00M,2.328B,671.00M,2019-06,0,289.00M,-119.00M,-119.00M,1.193B,0,9.869B,473.00M,861.00M,377.00M,88.00M,1.31B,198.00M,-7.994B,4.674B,0,1.122B,1.186B,12.67B,3.552B,11.48B,198.00M,861.00M,535.00M
YUM,2019-03,-324.00M,278.00M,616.00M,338.00M,0.85,0.83,772.00M,2.338B,638.00M,2019-03,0,262.00M,-115.00M,-115.00M,1.212B,0,9.736B,427.00M,989.00M,299.00M,37.00M,1.254B,211.00M,-7.904B,4.744B,0,1.186B,1.327B,12.65B,3.558B,11.32B,211.00M,989.00M,543.00M
YUM,2018-12,-334.00M,292.00M,811.00M,321.00M,1.07,1.04,767.00M,2.353B,747.00M,2018-12,0,334.00M,-122.00M,-122.00M,1.237B,0,9.751B,483.00M,427.00M,439.00M,105.00M,1.558B,264.00M,-7.926B,4.13B,0,1.207B,1.301B,12.06B,2.923B,10.76B,264.00M,319.00M,597.00M
YUM,2018-09,-317.00M,198.00M,727.00M,295.00M,1.43,1.4,573.00M,2.669B,664.00M,2018-09,0,454.00M,-111.00M,-111.00M,1.378B,0,9.405B,460.00M,899.00M,534.00M,80.00M,1.391B,204.00M,-7.458B,4.155B,0,1.169B,1.194B,11.61B,2.986B,10.42B,204.00M,899.00M,528.00M
