Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Current Debt & Capital Lease Obligation,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Income (Quarterly),Net Income,Net Loan Assets,Net PP&E,Non-Current Portion of LTD and Capital Lease Obligation,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
ZION,2021-03,148.00M,25.65B,0,1.9,1.9,1.016B,2.225B,2021-03,322.00M,52.90B,1.236B,1.299B,0,411.00M,89.00M,714.00M,300.00M,7.933B,85.12B,3.219B,26.96B,1.032B,77.19B,74.80B,75.20B,300.00M,0,0
ZION,2020-12,325.00M,17.35B,1.00B,1.66,1.66,1.018B,2.095B,2020-12,284.00M,52.78B,1.209B,1.336B,0,359.00M,75.00M,717.00M,290.00M,7.886B,81.48B,3.252B,23.11B,1.572B,73.59B,74.09B,71.05B,290.00M,0,0
ZION,2020-09,332.00M,16.09B,4.50B,1.01,1.01,1.016B,1.995B,2020-09,175.00M,53.98B,1.187B,1.347B,0,215.00M,40.00M,712.00M,283.00M,7.668B,78.36B,3.246B,18.90B,1.252B,70.69B,74.12B,68.50B,283.00M,0,0
ZION,2020-06,355.00M,16.35B,0,0.34,0.34,1.014B,0,2020-06,66.00M,54.37B,1.173B,1.353B,0,82.00M,16.00M,680.00M,277.00M,7.575B,76.45B,3.241B,16.62B,860.00M,68.87B,74.03B,67.09B,277.00M,0,0
ZION,2020-03,259.00M,16.19B,0,0.04,0.04,1.014B,0,2020-03,14.00M,49.34B,1.144B,1.795B,0,16.00M,2.00M,682.00M,282.00M,7.472B,71.47B,3.234B,16.74B,3.765B,64.00B,68.96B,59.36B,282.00M,0,0
ZION,2019-12,43.00M,15.17B,0,1.03,0.97,1.014B,0,2019-12,183.00M,48.34B,1.142B,1.723B,0,235.00M,52.00M,711.00M,314.00M,7.353B,69.17B,3.301B,15.66B,2.053B,61.82B,67.23B,58.87B,314.00M,0,0
ZION,2019-09,49.00M,15.98B,0,1.23,1.17,1.014B,0,2019-09,222.00M,48.47B,1.146B,1.242B,0,288.00M,66.00M,713.00M,286.00M,7.509B,70.36B,3.568B,16.48B,4.579B,62.85B,67.91B,57.44B,286.00M,0,0
ZION,2019-06,25.00M,15.84B,0,1.05,0.99,1.014B,0,2019-06,198.00M,48.22B,1.133B,1.236B,0,256.00M,58.00M,701.00M,285.00M,7.599B,70.06B,3.837B,16.46B,6.023B,62.47B,68.27B,55.63B,285.00M,0,0
ZION,2019-03,-122.00M,16.14B,0,1.1,1.04,1.014B,0,2019-03,213.00M,47.18B,1.125B,1.228B,0,274.00M,61.00M,708.00M,298.00M,7.588B,69.20B,566.00M,16.58B,4.944B,61.61B,67.51B,55.82B,298.00M,0,0
ZION,2018-12,-250.00M,15.97B,0,1.14,1.08,1.015B,0,2018-12,226.00M,46.31B,1.124B,724.00M,0,290.00M,64.00M,716.00M,282.00M,7.578B,68.75B,4.372B,17.43B,5.653B,61.17B,66.05B,54.88B,282.00M,0,0
ZION,2018-09,-361.00M,15.73B,3.60B,1.11,1.04,1.015B,1.941B,2018-09,223.00M,45.39B,1.111B,879.00M,0,292.00M,69.00M,701.00M,290.00M,7.553B,66.73B,566.00M,16.29B,3.78B,59.18B,65.06B,54.72B,290.00M,0,0
ZION,2018-06,-315.00M,15.79B,500.00M,0.95,0.89,1.015B,1.865B,2018-06,197.00M,44.82B,1.099B,383.00M,0,253.00M,56.00M,686.00M,287.00M,7.621B,66.46B,4.797B,16.35B,4.158B,58.84B,64.73B,54.02B,287.00M,0,0
ZION,2018-03,-267.00M,16.08B,0,1.16,1.09,1.016B,0,2018-03,238.00M,44.70B,1.098B,383.00M,0,308.00M,70.00M,680.00M,287.00M,7.644B,66.48B,4.912B,16.78B,4.867B,58.84B,64.59B,53.40B,287.00M,0,0
ZION,2017-12,-139.00M,16.49B,0,0.57,0.54,1.016B,0,2017-12,123.00M,44.31B,1.094B,383.00M,0,260.00M,137.00M,666.00M,271.00M,7.679B,66.29B,5.011B,17.00B,4.976B,58.61B,64.44B,53.06B,271.00M,0,0
ZION,2017-09,-57.00M,16.55B,0,0.75,0.72,1.017B,0,2017-09,160.00M,43.69B,1.083B,383.00M,0,243.00M,83.00M,661.00M,272.00M,7.761B,65.56B,5.118B,17.02B,4.624B,57.80B,63.79B,52.54B,272.00M,0,0
ZION,2017-06,-49.00M,16.99B,0,0.76,0.73,1.019B,0,2017-06,168.00M,43.19B,1.069B,383.00M,0,248.00M,80.00M,660.00M,259.00M,7.749B,65.45B,5.226B,17.42B,4.342B,57.70B,63.37B,52.82B,259.00M,0,0
ZION,2017-03,-111.00M,17.93B,0,0.63,0.61,1.021B,0,2017-03,139.00M,42.33B,1.047B,383.00M,0,184.00M,45.00M,621.00M,278.00M,7.73B,65.46B,5.406B,18.30B,3.137B,57.73B,62.77B,53.92B,278.00M,0,0
ZION,2016-12,-122.00M,15.52B,0,0.61,0.6,1.022B,0,2016-12,137.00M,42.25B,1.02B,535.00M,0,207.00M,70.00M,609.00M,253.00M,7.634B,63.24B,5.435B,16.09B,827.00M,55.60B,60.52B,53.84B,253.00M,0,0
ZION,2016-09,10.00M,12.40B,0,0.57,0.57,1.024B,0,2016-09,127.00M,42.10B,986.55M,570.38M,0,192.00M,65.00M,614.00M,260.00M,7.679B,61.04B,5.458B,14.08B,1.116B,53.36B,57.31B,51.48B,262.00M,0,0
ZION,2016-06,23.65M,12.19B,0,0.44,0.44,1.026B,0,2016-06,114.00M,42.04B,955.54M,698.71M,0,174.00M,60.00M,591.00M,256.00M,7.626B,59.64B,5.493B,12.81B,270.26M,52.02B,56.30B,51.03B,258.00M,0,0
ZION,2016-03,-11.65M,12.26B,0,0.38,0.38,1.028B,1.723B,2016-03,91.00M,40.92B,925.43M,802.45M,0,132.00M,41.00M,570.00M,271.00M,7.626B,59.18B,5.606B,13.85B,232.19M,51.55B,54.03B,50.76B,273.00M,0,0
ZION,2015-12,-54.61M,14.55B,1.20M,0.43,0.43,1.030B,1.617B,2015-12,102.02M,40.19B,905.46M,812.37M,0,146.56M,44.54M,566.97M,250.48M,7.508B,59.66B,5.595B,15.17B,346.99M,52.16B,52.13B,51.26B,252.50M,0,0
ZION,2015-09,-16.98M,13.16B,0,0.41,0.41,1.033B,1.488B,2015-09,101.00M,39.66B,873.80M,944.75M,0,141.78M,40.78M,551.32M,256.66M,7.638B,58.41B,5.760B,14.49B,272.39M,50.77B,49.91B,49.95B,258.96M,0,0
ZION,2015-06,-35.17M,13.07B,0,-0.01,-0.01,1.035B,0,2015-06,13.96M,39.57B,856.58M,1.051B,0,19.46M,5.499M,419.02M,266.25M,7.530B,58.37B,5.742B,14.48B,227.12M,50.84B,48.53B,50.07B,266.18M,0,0
ZION,2015-03,-114.91M,11.96B,0,0.37,0.37,1.037B,0,2015-03,92.02M,39.69B,844.90M,1.089B,0,143.20M,51.18M,534.68M,258.61M,7.454B,57.56B,5.733B,13.48B,203.60M,50.10B,48.51B,49.29B,260.97M,0,0
ZION,2014-12,-128.04M,11.86B,0,0.36,0.36,1.040B,0,2014-12,81.81M,39.59B,829.81M,1.092B,0,125.57M,43.76M,543.90M,252.57M,7.370B,57.21B,5.728B,13.25B,244.22M,49.84B,47.78B,49.02B,255.21M,0,0
ZION,2014-09,-110.93M,11.62B,0,0.4,0.4,1.042B,0,2014-09,95.89M,39.24B,811.13M,1.114B,0,149.00M,53.11M,532.89M,259.82M,7.322B,55.46B,5.721B,11.97B,191.80M,48.14B,47.02B,47.46B,218.06M,0,0
ZION,2014-06,-136.84M,11.23B,0,0.56,0.56,1.045B,0,2014-06,119.55M,39.12B,803.21M,1.933B,0,189.52M,69.97M,541.13M,253.58M,6.700B,55.11B,5.196B,11.71B,258.40M,48.41B,46.83B,47.70B,256.32M,0,0
ZION,2014-03,-145.46M,12.92B,0,0.41,0.41,1.048B,0,2014-03,101.21M,38.59B,785.52M,2.159B,0,157.33M,56.12M,554.78M,247.72M,6.586B,56.08B,5.189B,13.30B,279.84M,49.49B,46.16B,48.78B,250.60M,0,0
ZION,2013-12,-192.10M,13.05B,0,-0.32,-0.32,1.051B,0,2013-12,-41.47M,38.47B,726.37M,2.274B,0,-63.33M,-21.86M,400.88M,240.96M,6.465B,56.03B,5.183B,13.33B,340.35M,49.57B,46.35B,48.73B,164.27M,0,0
ZION,2013-09,-384.50M,12.88B,0,1.13,1.12,1.054B,1.426B,2013-09,111.51M,37.59B,720.36M,2.304B,0,172.62M,61.11M,537.71M,244.67M,6.333B,55.19B,5.177B,13.09B,273.77M,48.86B,45.37B,48.06B,248.24M,0,0
ZION,2013-06,-374.56M,12.56B,0,0.3,0.3,1.057B,1.389B,2013-06,83.03M,37.54B,717.30M,2.173B,0,126.12M,43.09M,555.80M,243.26M,6.860B,54.90B,5.896B,12.78B,256.62M,48.04B,45.24B,47.29B,206.74M,0,0
ZION,2013-03,-406.90M,10.00B,0,0.48,0.48,1.061B,0,2013-03,110.72M,37.08B,706.75M,2.353B,0,171.02M,60.63M,539.33M,245.39M,6.355B,54.11B,5.472B,12.34B,326.77M,47.76B,44.97B,46.94B,249.21M,0,0
ZION,2012-12,-446.16M,10.91B,5.409M,0.19,0.19,1.065B,0,2012-12,58.25M,37.02B,708.88M,2.337B,0,87.50M,29.82M,484.12M,236.77M,6.052B,55.51B,5.294B,13.69B,352.62M,49.46B,44.82B,48.58B,240.98M,0,0
ZION,2012-09,-534.74M,6.580B,6.608M,0.34,0.34,1.070B,0,2012-09,109.85M,36.47B,709.19M,2.327B,0,170.30M,60.70M,563.39M,238.83M,5.921B,53.09B,5.285B,8.541B,457.82M,47.17B,44.43B,46.10B,243.07M,0,0
ZION,2012-06,-576.15M,9.012B,7.621M,0.3,0.3,1.074B,0,2012-06,91.74M,36.04B,714.91M,2.275B,0,142.50M,51.04M,555.01M,237.83M,6.492B,53.41B,5.958B,9.095B,767.21M,46.92B,44.17B,45.43B,242.09M,0,0
ZION,2012-03,-571.57M,8.712B,19.84M,0.14,0.14,1.079B,0,2012-03,89.68M,35.77B,715.82M,2.283B,0,141.26M,51.86M,549.30M,241.36M,6.389B,52.90B,5.900B,8.764B,506.65M,46.51B,43.97B,45.38B,245.65M,0,0
ZION,2011-12,-592.08M,11.48B,70.27M,0.24,0.24,1.083B,0,2011-12,89.02M,36.41B,719.28M,1.954B,0,136.65M,47.88M,573.24M,240.08M,6.985B,53.15B,6.541B,11.58B,722.86M,46.17B,44.65B,44.93B,252.77M,0,0
ZION,2011-09,-588.83M,6.221B,125.29M,0.35,0.35,1.088B,0,2011-09,109.09M,35.73B,726.50M,1.898B,0,168.07M,59.35M,595.62M,235.94M,6.921B,51.53B,2.355B,6.386B,756.19M,44.61B,44.94B,43.26B,229.58M,0,0
ZION,2011-06,-504.49M,5.960B,147.94M,0.16,0.16,1.093B,0,2011-06,72.88M,35.74B,722.60M,1.880B,0,126.94M,54.32M,532.44M,243.33M,6.915B,51.36B,6.488B,6.083B,778.00M,44.45B,45.04B,43.07B,244.93M,0,0
