Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Research and Development Expense,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
ZTS,2020-12,-730.00M,3.602B,601.00M,604.00M,0.75,0.75,4.404B,4.346B,1.206B,2020-12,1.628B,359.00M,-55.00M,-55.00M,2.394B,378.00M,6.758B,513.00M,1.178B,420.00M,62.00M,133.00M,1.807B,520.00M,3.769B,13.61B,5.00M,6.611B,2.17B,9.836B,6.998B,7.666B,693.00M,622.00M,1.013B
ZTS,2020-09,-735.00M,3.654B,546.00M,1.101B,1.01,1,4.484B,4.187B,1.24B,2020-09,1.626B,479.00M,-61.00M,-61.00M,2.293B,410.00M,6.762B,664.00M,1.018B,597.00M,118.00M,112.00M,1.786B,424.00M,3.602B,13.72B,5.00M,6.757B,2.40B,10.12B,6.968B,7.718B,576.00M,502.00M,1.012B
ZTS,2020-06,-856.00M,3.353B,451.00M,501.00M,0.79,0.79,4.412B,4.01B,1.097B,2020-06,1.584B,377.00M,-56.00M,-56.00M,2.192B,395.00M,7.349B,553.00M,1.075B,482.00M,106.00M,111.00M,1.548B,393.00M,2.982B,13.07B,5.00M,6.285B,1.811B,10.08B,6.784B,8.271B,544.00M,600.00M,984.00M
ZTS,2020-03,-781.00M,1.951B,459.00M,500.00M,0.89,0.88,4.404B,3.928B,1.075B,2020-03,1.481B,423.00M,-47.00M,-47.00M,2.159B,421.00M,6.122B,539.00M,959.00M,497.00M,74.00M,107.00M,1.534B,389.00M,2.753B,11.53B,5.00M,4.772B,1.721B,8.775B,6.756B,7.054B,536.00M,483.00M,965.00M
ZTS,2019-12,-726.00M,1.932B,530.00M,500.00M,0.81,0.8,4.482B,3.866B,1.144B,2019-12,1.41B,384.00M,-48.00M,-48.00M,2.129B,434.00M,6.111B,500.00M,975.00M,437.00M,53.00M,132.00M,1.674B,472.00M,2.708B,11.54B,5.00M,4.748B,1.806B,8.837B,6.797B,7.031B,644.00M,432.00M,1.086B
ZTS,2019-09,-699.00M,1.823B,479.00M,9.00M,0.91,0.9,4.485B,3.731B,1.105B,2019-09,1.439B,433.00M,-46.00M,-46.00M,2.006B,473.00M,6.616B,564.00M,787.00M,528.00M,95.00M,112.00M,1.584B,391.00M,2.678B,11.27B,5.00M,4.618B,1.052B,8.594B,6.654B,7.542B,541.00M,336.00M,1.03B
ZTS,2019-06,-669.00M,1.776B,465.00M,0,0.77,0.77,4.421B,3.619B,1.082B,2019-06,1.404B,371.00M,-46.00M,-46.00M,1.934B,446.00M,6.615B,526.00M,842.00M,455.00M,84.00M,111.00M,1.547B,406.00M,2.411B,10.99B,5.00M,4.484B,1.075B,8.575B,6.502B,7.50B,556.00M,399.00M,994.00M
ZTS,2019-03,-598.00M,1.793B,518.00M,0,0.65,0.65,4.511B,3.483B,937.00M,2019-03,1.361B,312.00M,-46.00M,-46.00M,1.841B,464.00M,6.578B,428.00M,827.00M,381.00M,69.00M,102.00M,1.455B,369.00M,2.317B,10.88B,5.00M,4.379B,1.082B,8.566B,6.504B,7.484B,509.00M,379.00M,970.00M
ZTS,2018-12,-629.00M,1.696B,544.00M,0,0.72,0.71,4.565B,3.257B,1.02B,2018-12,1.391B,345.00M,-48.00M,-48.00M,1.658B,474.00M,6.443B,436.00M,914.00M,418.00M,73.00M,125.00M,1.564B,420.00M,2.185B,10.78B,5.00M,4.399B,1.223B,8.592B,6.378B,7.369B,584.00M,427.00M,1.036B
ZTS,2018-09,-619.00M,1.391B,473.00M,0,0.72,0.71,4.657B,3.115B,1.007B,2018-09,1.441B,347.00M,-48.00M,-48.00M,1.556B,446.00M,6.441B,500.00M,738.00M,418.00M,71.00M,108.00M,1.48B,367.00M,2.118B,10.46B,5.00M,4.076B,1.003B,8.341B,6.383B,7.338B,507.00M,313.00M,929.00M
